a2-lattices-embed-in-fp-simple-groups	claim	0	Every discrete cocompact group of automorphisms of a locally finite thick Ã₂ building, with or without torsion, exotic or not, embeds in a finitely presented simple group of type F_∞	**ESTABLISHED** (lane proof, bh-groupoid 2026-09-18, below; not independently reviewed; no
a2-lattices-lie-in-permutational-bh-class	claim	0	Every discrete cocompact group acting on a locally finite thick Ã₂ building lies in the permutational Boone–Higman class B_A, so finite direct products and finite-index overgroups of such lattices also embed in finitely presented simple groups	**ESTABLISHED** (lane proof, bh-groupoid 2026-09-18, below; not independently reviewed; no
a2-lattices-pbh-via-stabilized-orbit-category	route	0	Take bh-groupoid's orbit category and host, split the rescaled category into strongly connected pieces, and apply the stabilized comparison to get a type (A) action	Notation as in `a2-lattices-embed-in-fp-simple-groups` (bh-groupoid).
a2-lattices-satisfy-permutational-boone-higman	claim	0	Every cocompact lattice of a locally finite thick Ã2 building, exotic or not and torsion allowed, lies in the type (A) class	**ESTABLISHED** through `a2-lattices-pbh-via-stabilized-orbit-category` (lane proof;
admissible-artin-pbh-reduces-to-free-partial-mapping-tori	claim	0	An admissibly oriented Artin group A *_C B (C of index 2 in B) has an index-two twisted double of A, which embeds in the HNN extension of the free group A that twists the single subgroup C by an automorphism	**ESTABLISHED** (lane proof, in the body; not independently reviewed). No priority is claimed.
admissibly-oriented-artin-groups-satisfy-boone-higman	claim	0	Every Artin group whose defining graph admits an admissible partial orientation embeds in a finitely presented simple group	**OPEN.** Let Γ be a labelled simple graph admitting an admissible partial
aff-q-bh-via-stein-interval-exchange-groups	route	0	Aff(Q) inside a finitely presented Stein interval-exchange group would give Boone–Higman for Aff(Q) through its breakpoint-orbit type (A) action	Deduction.
aff-q-embeds-in-a-stein-interval-exchange-group	claim	0	Aff(Q) embeds in some Stein interval-exchange group V(1; Z[1/M], ⟨p : p | M⟩)	**OPEN.**
affine-self-similar-groups-are-function-field-linear	claim	0	A finitely generated self-similar group of affine maps of F_p[[X]]^d is linear over a finite separable extension of F_p(X), so it has polynomial-time word problem and cannot host a two-counter KMS top with its lamps as translations	**ESTABLISHED** by the proof below (lane bh-free-25, 2026-09-18; elementary, not
amir-lazarovich-simple-lattice-has-torsion-iff-index-four	claim	0	In every Amir–Lazarovich lattice Λ' all square diagonals DD' are conjugate, so the simple lattice Λ is torsion-free (hence of cd 3) iff Λ ≠ Λ'^+, iff Λ'^+ is not simple	**ESTABLISHED** (lane proof, elementary, not reviewed; no priority claimed).
annular-free-factor-germ-extensions-fail-bhm-singfix	claim	0	In a finite germ extension of V whose germ group at 0^∞ has the zoom as a free factor, with the other factor preserving every cone 0^nC, the one-point SingFix group is not finitely presented; finite annular actions also exclude the ascending alternative	**ESTABLISHED** by `annular-free-factor-singfix-colimit-proof` (lane proof, elementary
aperiodic-point-stabilizers-in-germ-extensions-of-v-are-not-fg	claim	0	In a group of Cantor homeomorphisms containing V, the stabilizer of a non-eventually-periodic point where every element is locally a prefix replacement is not finitely generated	**ESTABLISHED** (lane proof, elementary, not independently reviewed; no priority claimed).
arbitrarily-complex-fp-simple-via-transcendental-slope-thompson	route	0	Finitely presented simple hosts of the Liouville-slope Thompson groups D(V_λ) inherit their arbitrarily hard word problems	Fix a recursive `T` and put `T^+(m) = m + max_(k<=m) T(k)`.
artin-groups-embed-in-decorated-garside-odometer-groups	claim	0	Every finite-type Artin group with at least two generators embeds in the type F_infinity full group of its decorated Garside odometer category	**ESTABLISHED** (corrected 2026-09-18; lane proof, not reviewed). The statement is
artin-groups-mod-central-garside-power-are-continuous-automatic	claim	0	Modulo a central power of its Garside element, a finite-type Artin group is continuous automatic, with normal forms the positive Deligne forms having fewer leading Delta letters than that power	**ESTABLISHED** (lane proof, not reviewed; no priority claimed). Proof:
ascending-hnn-of-isolated-groups-embed-in-isolated-groups	claim	0	Groups embeddable in isolated groups are closed under finite products and finite extensions, and contain every ascending HNN extension of an isolated group	**ESTABLISHED** through `ascending-hnn-of-isolated-groups-proof`. Lane proof (bh-free-05),
aut-free-groups-quasi-isometrically-embed-in-fp-simple-groups	claim	0	Every Aut(F_n) quasi-isometrically embeds in a finitely presented simple group, and the BFFHZ host distorts a subgroup of Aut(F_n) exactly as Aut(F_n) does	**ESTABLISHED** through `aut-free-qi-embedding-in-twisted-brin-thompson-proof` (a lane proof, not
baumslag-gersten-group-is-highly-transitive-and-mif	claim	0	The Baumslag--Gersten group is acylindrically hyperbolic, highly transitive and mixed-identity-free, yet every faithful action of it with finitely many orbits of two-element subsets has an infinitely generated point stabilizer	**ESTABLISHED** (lane proof from imported theorems read at source; not reviewed; no
baumslag-gersten-group-maps-onto-higman-groups	claim	0	Killing the n-th power of the stable letter turns the Baumslag--Gersten group into Higman's group H_n extended by a cyclic group of order n	**ESTABLISHED** (lane proof, elementary Reidemeister--Schreier; not reviewed; no priority
