a2-action-kernels-are-recursive	Every type [A_2] action has a recursive kernel, so every action image has solvable word problem
a2-boone-higman-via-rs-two-graph-full-groups	Embed the Ã₂ group in the full group of its Robertson–Steger 2-graph, then embed that full group in a finitely presented simple full group
a2-group-embeds-in-full-group-of-its-rs-two-graph	A type rotating group acting freely on the vertices of an Ã₂ building embeds in the topological full group of its Robertson–Steger 2-graph groupoid
a2-group-embeds-in-rs-two-graph-geometric-proof	Proof by sector geometry that every vertex-free type rotating Ã₂ group acts on its Robertson–Steger boundary by finitely many cylinder exchanges, with no C*-algebra, simplicity or irreducibility input
a2-lattice-boundary-skew-shifts-are-quantum-rigid	Every cocompact lattice of a thick Ã2 building carries a minimal, topologically free, quantum-rigid SFT, obtained by transferring finite presentation of its boundary full-group host through the necessity theorem
a2-lattices-embed-in-fp-simple-groups	Every discrete cocompact group of automorphisms of a locally finite thick Ã₂ building, with or without torsion, exotic or not, embeds in a finitely presented simple group of type F_∞
a2-lattices-lie-in-permutational-bh-class	Every discrete cocompact group acting on a locally finite thick Ã₂ building lies in the permutational Boone–Higman class B_A, so finite direct products and finite-index overgroups of such lattices also embed in finitely presented simple groups
a2-lattices-pbh-via-stabilized-orbit-category	Take bh-groupoid's orbit category and host, split the rescaled category into strongly connected pieces, and apply the stabilized comparison to get a type (A) action
a2-lattices-satisfy-permutational-boone-higman	Every cocompact lattice of a locally finite thick Ã2 building, exotic or not and torsion allowed, lies in the type (A) class
a2-rs-matrices-irreducible-and-primitive-iff-type-transitive	For every group acting freely by type rotating automorphisms on the vertices of a thick Ã₂ building with finitely many orbits, both Robertson–Steger transition matrices are irreducible, and they are primitive exactly when the group is not type preserving (period 3 otherwise), by a local combinatorial argument in the vertex links
abelian-lamp-wreaths-are-rf-iff-stabilizers-are-closed	A permutational wreath product with nontrivial abelian lamps is residually finite exactly when lamps and acting group are residually finite and every point stabilizer is profinitely closed
abelian-subgroups-of-out-free-virtually-lift-to-aut	Every abelian subgroup of Out(F_n) has a finite-index subgroup that lifts homomorphically to Aut(F_n)
abstract-btb-pairs-fp-via-colored-stein-complex	Take finite presentation from the colored-Stein-complex criterion instead of FFWZ Theorem B(ii), and import relative simplicity and the pair embedding
abstract-twisted-bt-colored-subgroup-proof	Check the defining relations in the faithful groupoid, then read off triviality from the action on the Cantor cube with the free coordinates
abstract-twisted-bt-group-is-colored-subgroup-of-faithful-one	Every abstract twisted Brin--Thompson group is the subgroup of S-colored elements of a faithful twisted Brin--Thompson group, obtained by adding a free orbit to the action
