LINE:775	structural	 	Section-opening prose (proof strategy overview); no standalone mathematical claim; content already carried by FullDefectRingSentences.manuscriptSentence_finitelyGeneratedPropertyT and UniversalGroupB.hasKazhdanPropertyT
LINE:787	formalized	GroupApproximation.Manuscript.OneSidedMFRadical.RankDescentPrinted.manuscriptTwoCopiesLemma	lem:two-copies statement (iff form, both directions); already landed pre-session
LINE:797	partial	GroupApproximation.Manuscript.NonMFSentences.OneSidedSentences.manuscriptSentence_twoCopiesSetup	proof sentence: e=1-st, es=te=0; written, unlanded, pending probe/land
LINE:799	partial	GroupApproximation.Manuscript.NonMFSentences.OneSidedSentences.manuscriptSentence_twoCopiesDefine	proof sentence: define v0,w0,v1,w1; written, unlanded, pending probe/land
LINE:802	partial	GroupApproximation.Manuscript.NonMFSentences.OneSidedSentences.manuscriptSentence_twoCopiesOrthogonality	proof sentence: et^i s^j e = delta_ij e; written, unlanded, pending probe/land
LINE:804	partial	GroupApproximation.Manuscript.NonMFSentences.OneSidedSentences.manuscriptSentence_twoCopiesFourEquations	proof sentence: w0v0=1, w1v1=1, w0v1=0, w1v0=0; written, unlanded, pending probe/land
LINE:806	partial	GroupApproximation.Manuscript.NonMFSentences.OneSidedSentences.manuscriptSentence_twoCopiesConverse	proof sentence: converse w1(1-v0w0)v1=1; written, unlanded, pending probe/land
LINE:809	formalized	GroupApproximation.Manuscript.OneSidedMFRadical.RankDescentPrinted.manuscriptRankTwoNormalGeneration	lem:rank-two statement; already landed pre-session
LINE:820	partial	GroupApproximation.Manuscript.NonMFSentences.OneSidedSentences.manuscriptSentence_rankTwoGeneratorValueAndClosure	proof sentence: D=diag(1+vb,1), D in N; written, unlanded, pending probe/land
LINE:824	partial	GroupApproximation.Manuscript.NonMFSentences.OneSidedSentences.manuscriptSentence_rankTwoUpperRootInClosure	proof sentence: [D,e12(ar)]=e12(vr), e12(vR)<=N; written, unlanded, pending probe/land
LINE:826	partial	GroupApproximation.Manuscript.NonMFSentences.OneSidedSentences.manuscriptSentence_rankTwoInvolutionSetup	proof sentence: f=1-vw idempotent, z=vf+fw+1-f-vfw; written, unlanded, pending probe/land
LINE:828	partial	GroupApproximation.Manuscript.NonMFSentences.OneSidedSentences.manuscriptSentence_rankTwoInvolutionSquareAndFix	proof sentence: z=x+y+c decomposition, z^2=1, zf=vf; written, unlanded, pending probe/land
LINE:834	partial	GroupApproximation.Manuscript.NonMFSentences.OneSidedSentences.manuscriptSentence_rankTwoInvolutionDiag	proof sentence: diag(z,z^-1) factorization, h=diag(z,z); written, unlanded, pending probe/land
LINE:836	partial	GroupApproximation.Manuscript.NonMFSentences.OneSidedSentences.manuscriptSentence_rankTwoConjugateInClosure	proof sentence: h e12(fr) h^-1 = e12(v.frz) in N; written, unlanded, pending probe/land
LINE:838	partial	GroupApproximation.Manuscript.NonMFSentences.OneSidedSentences.manuscriptSentence_rankTwoUpperRootInClosure	proof sentence: e12(r)=e12(vwr)e12(fr) in N; glue step not separately named, discharged inline in RankDescent.normalClosure_gen_eq_top (landed pre-session)
LINE:840	partial	 	proof sentence: conjugating by Weyl element gives e21(R)<=N; uses ElementaryWeyl.weyl, discharged inline in RankDescent.normalClosure_gen_eq_top (landed pre-session), not extracted as a standalone sentence carrier
