window [0, 1, 2, 3, 4, 5, 7] edges 17
seed 1 c<= 10.561421 moduli [1.0, 1.0, 1.0, 1.0, 1.0, 1.0001, 1.0, 1.001, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.246, 1.0, 1.0]
seed 2 c<= 10.538159 moduli [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.013, 1.0, 1.0, 1.0, 1.0, 1.0, 1.3116, 1.0, 1.0, 1.0, 1.0]
seed 3 c<= 10.479873 moduli [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
seed 4 c<= 10.479866 moduli [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
seed 5 c<= 10.480140 moduli [1.0, 1.0, 1.0001, 1.0001, 1.0, 1.0, 1.0, 1.0001, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
seed 6 c<= 10.479866 moduli [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
seed 7 c<= 10.479866 moduli [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
seed 8 c<= 10.481791 moduli [1.0, 1.0, 1.01, 1.0, 1.0, 1.0001, 1.0, 1.0001, 1.0, 1.0001, 1.0001, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0001]
seed 9 c<= 10.499640 moduli [1.0, 1.0, 1.0016, 1.0, 1.0, 1.0, 1.0023, 1.0, 1.0, 1.0001, 1.0, 1.0, 1.0, 1.0004, 1.0008, 1.0, 1.0001]
seed 10 c<= 10.480013 moduli [1.0, 1.0, 1.0008, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
