CERT TTTATAAtaaTAtATA k=1 a=[0] t=[0] cp=[-1, 1]
CERT TTTATAAtaaTAtATA k=1 a=[0] t=[0] cp=[1, -1]
CERT TTTATAAtataaTAtA k=1 a=[0] t=[0] cp=[-1, 1]
CERT TTTATAAtataaTAtA k=1 a=[0] t=[0] cp=[1, -1]
CERT TTTATAtATATaatAA k=1 a=[0] t=[0] cp=[-1, 1]
CERT TTTATAtATATaatAA k=1 a=[0] t=[0] cp=[1, -1]
CERT TTTAAtataaTATAtA k=1 a=[0] t=[0] cp=[-1, 1]
CERT TTTAAtataaTATAtA k=1 a=[0] t=[0] cp=[1, -1]
CERT TTATTATTaaTAAtaa k=1 a=[0] t=[0] cp=[-1, 0]
CERT TTATTATTaaTAAtaa k=1 a=[0] t=[0] cp=[1, 0]
CERT TTATTATaaTAAttaa k=1 a=[0] t=[0] cp=[-1, 0]
CERT TTATTATaaTAAttaa k=1 a=[0] t=[0] cp=[1, 0]
CERT TTATTATaatAATTaa k=1 a=[0] t=[0] cp=[-1, 0]
CERT TTATTATaatAATTaa k=1 a=[0] t=[0] cp=[1, 0]
CERT TTATTAtaaTAATTaa k=1 a=[0] t=[0] cp=[-1, 0]
CERT TTATTAtaaTAATTaa k=1 a=[0] t=[0] cp=[1, 0]
CERT TTATTAtaaTAAttaa k=1 a=[0] t=[0] cp=[-1, 0]
CERT TTATTAtaaTAAttaa k=1 a=[0] t=[0] cp=[1, 0]
CERT TTATTAttaaTAATaa k=1 a=[0] t=[0] cp=[-1, 0]
CERT TTATTAttaaTAATaa k=1 a=[0] t=[0] cp=[1, 0]
CERT TTATTAttaaTAAtaa k=1 a=[0] t=[0] cp=[-1, 0]
CERT TTATTAttaaTAAtaa k=1 a=[0] t=[0] cp=[1, 0]
CERT TTATATTaTaTAAtaa k=1 a=[0] t=[0] cp=[-1, 0]
CERT TTATATTaTaTAAtaa k=1 a=[0] t=[0] cp=[1, 0]
CERT TTATATTaTatAATaa k=1 a=[0] t=[0] cp=[-1, 0]
CERT TTATATTaTatAATaa k=1 a=[0] t=[0] cp=[1, 0]
CERT TTATATTaaTAtAtaa k=1 a=[0] t=[0] cp=[-1, 0]
CERT TTATATTaaTAtAtaa k=1 a=[0] t=[0] cp=[1, 0]
CERT TTATATTaatAATata k=1 a=[0] t=[0] cp=[-1, 0]
CERT TTATATTaatAATata k=1 a=[0] t=[0] cp=[1, 0]
CERT TTATATaTaTAAttaa k=1 a=[0] t=[0] cp=[-1, 0]
CERT TTATATaTaTAAttaa k=1 a=[0] t=[0] cp=[1, 0]
CERT TTATATaTatAATTaa k=1 a=[0] t=[0] cp=[-1, 0]
CERT TTATATaTatAATTaa k=1 a=[0] t=[0] cp=[1, 0]
CERT TTATATaaTAAttaTa k=1 a=[0] t=[0] cp=[-1, 0]
CERT TTATATaaTAAttaTa k=1 a=[0] t=[0] cp=[1, 0]
CERT TTATATaaTAtAttaa k=1 a=[0] t=[0] cp=[-1, 0]
CERT TTATATaaTAtAttaa k=1 a=[0] t=[0] cp=[1, 0]
CERT TTATATaatAATTata k=1 a=[0] t=[0] cp=[-1, 0]
CERT TTATATaatAATTata k=1 a=[0] t=[0] cp=[1, 0]
CERT TTATATaatAtATTaa k=1 a=[0] t=[0] cp=[-1, 0]
CERT TTATATaatAtATTaa k=1 a=[0] t=[0] cp=[1, 0]
CERT TTATATataTAAttaa k=1 a=[0] t=[0] cp=[-1, 0]
CERT TTATATataTAAttaa k=1 a=[0] t=[0] cp=[1, 0]
CERT TTATAtaTaTAATTaa k=1 a=[0] t=[0] cp=[-1, 0]
CERT TTATAtaTaTAATTaa k=1 a=[0] t=[0] cp=[1, 0]
CERT TTATAtaTaTAAttaa k=1 a=[0] t=[0] cp=[-1, 0]
CERT TTATAtaTaTAAttaa k=1 a=[0] t=[0] cp=[1, 0]
CERT TTATAtaaTAAttaTa k=1 a=[0] t=[0] cp=[-1, 0]
CERT TTATAtaaTAAttaTa k=1 a=[0] t=[0] cp=[1, 0]
CERT TTATAtaaTAtATTaa k=1 a=[0] t=[0] cp=[-1, 0]
CERT TTATAtaaTAtATTaa k=1 a=[0] t=[0] cp=[1, 0]
CERT TTATAtaatAAttata k=1 a=[0] t=[0] cp=[1, 0]
CERT TTATAtaatAAttata k=1 a=[0] t=[0] cp=[-1, 0]
CERT TTATAtataTAATTaa k=1 a=[0] t=[0] cp=[-1, 0]
CERT TTATAtataTAATTaa k=1 a=[0] t=[0] cp=[1, 0]
CERT TTATAttaTaTAATaa k=1 a=[0] t=[0] cp=[-1, 0]
CERT TTATAttaTaTAATaa k=1 a=[0] t=[0] cp=[1, 0]
CERT TTATAttaTaTAAtaa k=1 a=[0] t=[0] cp=[-1, 0]
CERT TTATAttaTaTAAtaa k=1 a=[0] t=[0] cp=[1, 0]
CERT TTATAttaaTAtATaa k=1 a=[0] t=[0] cp=[-1, 0]
CERT TTATAttaaTAtATaa k=1 a=[0] t=[0] cp=[1, 0]
CERT TTATAttaatAAtata k=1 a=[0] t=[0] cp=[1, 0]
CERT TTATAttaatAAtata k=1 a=[0] t=[0] cp=[-1, 0]
CERT TTATAttaatAtAtaa k=1 a=[0] t=[0] cp=[1, 0]
CERT TTATAttaatAtAtaa k=1 a=[0] t=[0] cp=[-1, 0]
CERT TTATaTAATTaTAtaa k=1 a=[0] t=[0] cp=[-1, 0]
CERT TTATaTAATTaTAtaa k=1 a=[0] t=[0] cp=[1, 0]
CERT TTATaTAATTatATaa k=1 a=[0] t=[0] cp=[-1, 0]
CERT TTATaTAATTatATaa k=1 a=[0] t=[0] cp=[1, 0]
CERT TTATaTAATTatAtaa k=1 a=[0] t=[0] cp=[-1, 0]
CERT TTATaTAATTatAtaa k=1 a=[0] t=[0] cp=[1, 0]
CERT TTATaTAATaTAttaa k=1 a=[0] t=[0] cp=[-1, 0]
CERT TTATaTAATaTAttaa k=1 a=[0] t=[0] cp=[1, 0]
CERT TTATaTAATatATTaa k=1 a=[0] t=[0] cp=[-1, 0]
CERT TTATaTAATatATTaa k=1 a=[0] t=[0] cp=[1, 0]
