F-ball 187 N-ball 23437 (max NF length 13) 1 s
hashes ready 124 s
sorted 4344656 nontrivial commutators 131 s
HBALL a=p1' p0 | b=p1' p2 | |U_a|=9 |U_b|=3 common=1 | u=x0 x1 | v=x0 x1 x0'
HBALL a=p1' p0 | b=p1' p2' | |U_a|=9 |U_b|=3 common=1 | u=x0 x1 | v=x0 x1 x0'
HBALL a=p1' p0 | b=p1' p2 p2 | |U_a|=9 |U_b|=3 common=1 | u=x0 x1 | v=x0 x1 x0'
HBALL a=p1' p0 | b=p1' p2' p2' | |U_a|=9 |U_b|=3 common=1 | u=x0 x1 | v=x0 x1 x0'
HBALL a=p1' p0' | b=p1' p2 | |U_a|=9 |U_b|=3 common=1 | u=x0 x1 | v=x0 x1 x0'
HBALL a=p1' p0' | b=p1' p2' | |U_a|=9 |U_b|=3 common=1 | u=x0 x1 | v=x0 x1 x0'
HBALL a=p1' p0' | b=p1' p2 p2 | |U_a|=9 |U_b|=3 common=1 | u=x0 x1 | v=x0 x1 x0'
HBALL a=p1' p0' | b=p1' p2' p2' | |U_a|=9 |U_b|=3 common=1 | u=x0 x1 | v=x0 x1 x0'
HBALL a=p1' p2 | b=p1' p0 p0 | |U_a|=3 |U_b|=9 common=1 | u=x0 x1 x0' | v=x0 x1
HBALL a=p1' p2 | b=p1' p0' p0' | |U_a|=3 |U_b|=9 common=1 | u=x0 x1 x0' | v=x0 x1
HBALL a=p1' p2' | b=p1' p0 p0 | |U_a|=3 |U_b|=9 common=1 | u=x0 x1 x0' | v=x0 x1
HBALL a=p1' p2' | b=p1' p0' p0' | |U_a|=3 |U_b|=9 common=1 | u=x0 x1 x0' | v=x0 x1
HBALL a=p1' p0 p0 | b=p1' p2 p2 | |U_a|=9 |U_b|=3 common=1 | u=x0 x1 | v=x0 x1 x0'
HBALL a=p1' p0 p0 | b=p1' p2' p2' | |U_a|=9 |U_b|=3 common=1 | u=x0 x1 | v=x0 x1 x0'
HBALL a=p1' p0' p0' | b=p1' p2 p2 | |U_a|=9 |U_b|=3 common=1 | u=x0 x1 | v=x0 x1 x0'
HBALL a=p1' p0' p0' | b=p1' p2' p2' | |U_a|=9 |U_b|=3 common=1 | u=x0 x1 | v=x0 x1 x0'
HBALL a=p1 p1 p0 | b=p1 p1 p2 | |U_a|=9 |U_b|=7 common=1 | u=x0 x1' | v=x0 x1' x0'
HBALL a=p1 p1 p0 | b=p1 p1 p2' | |U_a|=9 |U_b|=7 common=1 | u=x0 x1' | v=x0 x1' x0'
HBALL a=p1 p1 p0' | b=p1 p1 p2 | |U_a|=9 |U_b|=7 common=1 | u=x0 x1' | v=x0 x1' x0'
HBALL a=p1 p1 p0' | b=p1 p1 p2' | |U_a|=9 |U_b|=7 common=1 | u=x0 x1' | v=x0 x1' x0'
HBALL a=p1 p0 | b=p1 p2 | |U_a|=9 |U_b|=7 common=1 | u=x0 x1' | v=x0 x1' x0'
HBALL a=p1 p0 | b=p1 p2' | |U_a|=9 |U_b|=7 common=1 | u=x0 x1' | v=x0 x1' x0'
HBALL a=p1 p0 | b=p1 p2 p2 | |U_a|=9 |U_b|=7 common=1 | u=x0 x1' | v=x0 x1' x0'
HBALL a=p1 p0 | b=p1 p2' p2' | |U_a|=9 |U_b|=7 common=1 | u=x0 x1' | v=x0 x1' x0'
HBALL a=p1 p0' | b=p1 p2 | |U_a|=9 |U_b|=7 common=1 | u=x0 x1' | v=x0 x1' x0'
HBALL a=p1 p0' | b=p1 p2' | |U_a|=9 |U_b|=7 common=1 | u=x0 x1' | v=x0 x1' x0'
HBALL a=p1 p0' | b=p1 p2 p2 | |U_a|=9 |U_b|=7 common=1 | u=x0 x1' | v=x0 x1' x0'
HBALL a=p1 p0' | b=p1 p2' p2' | |U_a|=9 |U_b|=7 common=1 | u=x0 x1' | v=x0 x1' x0'
HBALL a=p1 p2 | b=p1 p0 p0 | |U_a|=7 |U_b|=9 common=1 | u=x0 x1' x0' | v=x0 x1'
