U_0 = primitive 7-th roots, L=6, ||U_0-1||=1.9499
L=6 start rand0: max defect=0.3543 defects=[np.float64(0.3539), np.float64(0.3543), np.float64(0.3541), np.float64(0.352)] ||U_i-1||=[np.float64(1.95), np.float64(1.968), np.float64(1.887), np.float64(1.744)]
L=6 start rand1: max defect=0.3426 defects=[np.float64(0.3426), np.float64(0.3414), np.float64(0.3415), np.float64(0.3408)] ||U_i-1||=[np.float64(1.95), np.float64(1.98), np.float64(1.958), np.float64(1.972)]
L=6 start rand2: max defect=0.3885 defects=[np.float64(0.3885), np.float64(0.3884), np.float64(0.3878), np.float64(0.3874)] ||U_i-1||=[np.float64(1.95), np.float64(1.909), np.float64(1.91), np.float64(1.971)]
L=6 start rand3: max defect=0.3935 defects=[np.float64(0.3935), np.float64(0.3929), np.float64(0.3927), np.float64(0.3924)] ||U_i-1||=[np.float64(1.95), np.float64(1.953), np.float64(1.97), np.float64(1.961)]
L=6 start rand4: max defect=0.3423 defects=[np.float64(0.3423), np.float64(0.3401), np.float64(0.3404), np.float64(0.3409)] ||U_i-1||=[np.float64(1.95), np.float64(1.95), np.float64(1.973), np.float64(1.978)]
L=6 start rand5: max defect=0.3487 defects=[np.float64(0.3487), np.float64(0.3484), np.float64(0.3481), np.float64(0.3478)] ||U_i-1||=[np.float64(1.95), np.float64(1.97), np.float64(1.953), np.float64(1.978)]
L=6 start rand6: max defect=0.4079 defects=[np.float64(0.407), np.float64(0.4071), np.float64(0.4079), np.float64(0.4066)] ||U_i-1||=[np.float64(1.95), np.float64(1.952), np.float64(1.944), np.float64(1.967)]
L=6 start rand7: max defect=0.4076 defects=[np.float64(0.4076), np.float64(0.4069), np.float64(0.4076), np.float64(0.407)] ||U_i-1||=[np.float64(1.95), np.float64(1.956), np.float64(1.983), np.float64(1.964)]
L=6 start rand8: max defect=0.3703 defects=[np.float64(0.37), np.float64(0.3692), np.float64(0.3703), np.float64(0.3696)] ||U_i-1||=[np.float64(1.95), np.float64(1.956), np.float64(1.978), np.float64(1.964)]
L=6 start rand9: max defect=0.3602 defects=[np.float64(0.3601), np.float64(0.3596), np.float64(0.3602), np.float64(0.36)] ||U_i-1||=[np.float64(1.95), np.float64(1.976), np.float64(1.977), np.float64(1.954)]
L=6 start rand10: max defect=0.3531 defects=[np.float64(0.3528), np.float64(0.3531), np.float64(0.3529), np.float64(0.3518)] ||U_i-1||=[np.float64(1.95), np.float64(1.976), np.float64(1.901), np.float64(1.74)]
L=6 start rand11: max defect=0.3511 defects=[np.float64(0.3511), np.float64(0.351), np.float64(0.3505), np.float64(0.351)] ||U_i-1||=[np.float64(1.95), np.float64(1.964), np.float64(1.994), np.float64(1.977)]
L=6 start rand12: max defect=0.3895 defects=[np.float64(0.3894), np.float64(0.3894), np.float64(0.3895), np.float64(0.3891)] ||U_i-1||=[np.float64(1.95), np.float64(1.967), np.float64(1.881), np.float64(1.918)]
L=6 start rand13: max defect=0.3856 defects=[np.float64(0.3852), np.float64(0.3855), np.float64(0.3856), np.float64(0.3853)] ||U_i-1||=[np.float64(1.95), np.float64(1.952), np.float64(1.969), np.float64(1.951)]
