# Output of run_all.sh (dyadic.c). Critical box proxy p=1/2, target = boundary of [-M,M]^2.
# Columns: J qS qA qB K K*theta se(K) se(K*theta). Chain's exact output at J=1 is 1/(qA qB).

## ./dyadic p=0.5 M=32 base=2 samples=20000 theta_proxy=0.65570
# p=0.5 M=32 base=2 samples=20000 theta_proxy=0.65570
# J  qS qA qB  K  K*theta  se(K) se(K*theta)
 1 0.698400 0.736900 0.736700 1.2865 0.8435 0.0054 0.0025
 2 0.767500 0.783650 0.783950 1.2493 0.8192 0.0054 0.0026
 3 0.658800 0.734850 0.731550 1.2255 0.8036 0.0050 0.0030
 4 0.484500 0.633000 0.632250 1.2106 0.7938 0.0056 0.0033
 5 0.321250 0.513150 0.518900 1.2065 0.7911 0.0083 0.0055

## ./dyadic p=0.5 M=64 base=2 samples=40000 theta_proxy=0.61867
# p=0.5 M=64 base=2 samples=40000 theta_proxy=0.61867
# J  qS qA qB  K  K*theta  se(K) se(K*theta)
 1 0.654525 0.691850 0.693075 1.3650 0.8445 0.0051 0.0020
 2 0.719850 0.736475 0.736100 1.3278 0.8215 0.0043 0.0018
 3 0.620300 0.690725 0.690000 1.3015 0.8052 0.0045 0.0020
 4 0.452000 0.592900 0.593350 1.2848 0.7949 0.0049 0.0026
 5 0.287900 0.477725 0.473875 1.2717 0.7868 0.0054 0.0030

## ./dyadic p=0.5 M=128 base=2 samples=30000 theta_proxy=0.57723
# p=0.5 M=128 base=2 samples=30000 theta_proxy=0.57723
# J  qS qA qB  K  K*theta  se(K) se(K*theta)
 1 0.610867 0.645867 0.645133 1.4661 0.8463 0.0036 0.0024
 2 0.673367 0.687300 0.687000 1.4261 0.8232 0.0030 0.0024
 3 0.574900 0.643200 0.640633 1.3952 0.8054 0.0031 0.0028
 4 0.419467 0.552567 0.549733 1.3809 0.7971 0.0050 0.0033
 5 0.262933 0.440533 0.435333 1.3710 0.7914 0.0065 0.0036
 6 0.143767 0.328600 0.325233 1.3452 0.7765 0.0145 0.0074

## ./dyadic p=0.5 M=128 base=4 samples=30000 theta_proxy=0.57467
# p=0.5 M=128 base=4 samples=30000 theta_proxy=0.57467
# J  qS qA qB  K  K*theta  se(K) se(K*theta)
 1 0.605667 0.642767 0.639067 1.4745 0.8473 0.0047 0.0019
 2 0.478967 0.575767 0.573267 1.4511 0.8339 0.0047 0.0024
 3 0.280067 0.440500 0.439333 1.4472 0.8316 0.0085 0.0052
