PASS AAtATataTattAtAATataTTT pres=y=ta P=AAtATataTatAtAAtAATataTaTaT top=(4, 4, 3, 'PASS sZ=(3, 3)', 'PASS sZ=(3, 3)') l1=ZSTABLE via s=a0 kb=kb96.out:default
PASS AAtATataTattAtATataaTTT pres=y=ta P=AAtATataTatAtAAtATataaTaTaT top=(5, 5, 3, 'PASS sZ=(4, 4)', 'PASS sZ=(4, 4)') l1=ZSTABLE via s=a0 kb=kb96.out:default
PASS AAtATataTattAtaTatAATTT pres=y=ta P=AAtATataTatAtAAtaTatAATaTaT top=(4, 4, 3, 'PASS sZ=(3, 3)', 'PASS sZ=(3, 3)') l1=ZSTABLE via s=a0 kb=kb96.out:default
PASS AAtATataTattAtaaTatATTT pres=y=ta P=AAtATataTatAtAAtaaTatATaTaT top=(4, 4, 3, 'PASS sZ=(3, 3)', 'PASS sZ=(3, 3)') l1=ZSTABLE via s=a0 kb=kb96.out:default
PASS AAtATataTattatAATAtaTTT pres=y=ta P=AAtATataTatAttAATAtaTaTaT top=(5, 5, 3, 'PASS sZ=(4, 4)', 'PASS sZ=(4, 4)') l1=ZSTABLE via s=a0 kb=kb96.out:default
PASS AAtATataTattatATAtaaTTT pres=y=ta P=AAtATataTatAttATAtaaTaTaT top=(4, 4, 3, 'PASS sZ=(3, 3)', 'PASS sZ=(3, 3)') l1=ZSTABLE via s=a0 kb=kb29large.out:-large
PASS AAtATataTattataTAtAATTT pres=y=ta P=AAtATataTatAttaTAtAATaTaT top=(4, 4, 3, 'PASS sZ=(3, 3)', 'PASS sZ=(3, 3)') l1=ZSTABLE via s=a0 kb=kb96.out:default
PASS AAtATataTattataaTAtATTT pres=y=ta P=AAtATataTatAttaaTAtATaTaT top=(4, 4, 3, 'PASS sZ=(3, 3)', 'PASS sZ=(3, 3)') l1=ZSTABLE via s=a0 kb=kb96.out:default
PASS AAtATataTatttAATAtaTaTT pres=y=ta P=AAtATataTatAtAtAATAtaTaaTaT top=(5, 5, 3, 'PASS sZ=(4, 4)', 'PASS sZ=(4, 4)') l1=ZSTABLE via s=a0 kb=kb29large.out:-large
PASS AAtATataTatttAATataTATT pres=y=ta P=AAtATataTatAtAtAATataTTaT top=(4, 4, 3, 'PASS sZ=(3, 3)', 'PASS sZ=(3, 3)') l1=ZSTABLE via s=a0 kb=kb96.out:default
PASS AAtATataTatttATAtaaTaTT pres=y=ta P=AAtATataTatAtAtATAtaaTaaTaT top=(4, 4, 3, 'PASS sZ=(3, 3)', 'PASS sZ=(3, 3)') l1=ZSTABLE via s=a0 kb=kb96.out:default
PASS AAtATataTatttATataaTATT pres=y=ta P=AAtATataTatAtAtATataaTTaT top=(5, 5, 3, 'PASS sZ=(4, 4)', 'PASS sZ=(4, 4)') l1=ZSTABLE via s=a0 kb=kb29large.out:-large
PASS AAtATataTatttaTAtAATaTT pres=y=ta P=AAtATataTatAtAtaTAtAATaaTaT top=(4, 4, 3, 'PASS sZ=(3, 3)', 'PASS sZ=(3, 3)') l1=ZSTABLE via s=a0 kb=kb29large.out:-large
PASS AAtATataTatttaTatAATATT pres=y=ta P=AAtATataTatAtAtaTatAATTaT top=(4, 4, 3, 'PASS sZ=(3, 3)', 'PASS sZ=(3, 3)') l1=ZSTABLE via s=a0 kb=kb29large.out:-large
PASS AAtATataTatttaaTAtATaTT pres=y=ta P=AAtATataTatAtAtaaTAtATaaTaT top=(4, 4, 3, 'PASS sZ=(3, 3)', 'PASS sZ=(3, 3)') l1=ZSTABLE via s=a0 kb=kb29large.out:-large
PASS AAtATataTatttaaTatATATT pres=y=ta P=AAtATataTatAtAtaaTatATTaT top=(4, 4, 3, 'PASS sZ=(3, 3)', 'PASS sZ=(3, 3)') l1=ZSTABLE via s=a0 kb=kb29large.out:-large
PASS AAtATatattAATTTatttaTTT pres=y=ta P=AAtATattAtAATaTaTatAtAtaTaTaT top=(3, 3, 2, 'PASS sZ=(2, 2)', 'PASS sZ=(2, 2)') l1=ZSTABLE via s=a0 kb=kb29large.out:-large
PASS AAtATatattAATataTAtaTTT pres=y=ta P=AAtATattAtAATataTAtaTaTaT top=(4, 4, 3, 'PASS sZ=(3, 3)', 'PASS sZ=(3, 3)') l1=ZSTABLE via s=a1 kb=kb29large.out:-large
PASS AAtATatattATTTatttaaTTT pres=y=ta P=AAtATattAtATaTaTatAtAtaaTaTaT top=(3, 3, 2, 'PASS sZ=(2, 2)', 'PASS sZ=(2, 2)') l1=ZSTABLE via s=a0 kb=kb96.out:default
PASS AAtATatattATAtaaTatATTT pres=orig P=AAtATatattATAtaaTatATTT top=(4, 4, 3, 'PASS sZ=(3, 3)', 'PASS sZ=(3, 3)') l1=ZSTABLE via s=a1 kb=kb96.out:default
PASS AAtATatattATatATAtaaTTT pres=y=ta P=AAtATattAtATatATAtaaTaTaT top=(4, 4, 3, 'PASS sZ=(3, 3)', 'PASS sZ=(3, 3)') l1=ZSTABLE via s=a1 kb=kb96.out:default
PASS AAtATatattATataaTAtATTT pres=orig P=AAtATatattATataaTAtATTT top=(4, 4, 3, 'PASS sZ=(3, 3)', 'PASS sZ=(3, 3)') l1=ZSTABLE via s=a1 kb=kb29large.out:-large
PASS AAtATatattaTTTatttAATTT pres=y=ta P=AAtATattAtaTaTaTatAtAtAATaTaT top=(3, 3, 2, 'PASS sZ=(2, 2)', 'PASS sZ=(2, 2)') l1=ZSTABLE via s=a0 kb=kb96.out:default
PASS AAtATatattaTAtAATataTTT pres=orig P=AAtATatattaTAtAATataTTT top=(4, 4, 3, 'PASS sZ=(3, 3)', 'PASS sZ=(3, 3)') l1=ZSTABLE via s=a1 kb=kb96.out:default
PASS AAtATatattaTAtaTatAATTT pres=y=ta P=AAtATattAtaTAtaTatAATaTaT top=(4, 4, 3, 'PASS sZ=(3, 3)', 'PASS sZ=(3, 3)') l1=ZSTABLE via s=a1 kb=kb29large.out:-large
PASS AAtATatattaTatAATAtaTTT pres=orig P=AAtATatattaTatAATAtaTTT top=(4, 4, 3, 'PASS sZ=(3, 3)', 'PASS sZ=(3, 3)') l1=ZSTABLE via s=a1 kb=kb29large.out:-large
PASS AAtATatattaaTTTatttATTT pres=y=ta P=AAtATattAtaaTaTaTatAtAtATaTaT top=(3, 3, 2, 'PASS sZ=(2, 2)', 'PASS sZ=(2, 2)') l1=ZSTABLE via s=a0 kb=kb96.out:default
PASS AAtATatattaaTAtATatATTT pres=y=ta P=AAtATattAtaaTAtATatATaTaT top=(4, 4, 3, 'PASS sZ=(3, 3)', 'PASS sZ=(3, 3)') l1=ZSTABLE via s=a1 kb=kb96.out:default
PASS AAtATattAtAATataTTTataT pres=orig P=AAtATattAtAATataTTTataT top=(4, 4, 3, 'PASS sZ=(3, 3)', 'PASS sZ=(3, 3)') l1=ZSTABLE via s=a0 kb=kb96.out:default
PASS AAtATattAtaTatAATTTataT pres=orig P=AAtATattAtaTatAATTTataT top=(4, 4, 3, 'PASS sZ=(3, 3)', 'PASS sZ=(3, 3)') l1=ZSTABLE via s=a0 kb=kb96.out:default
PASS AAtATattAtaaTatATTTataT pres=orig P=AAtATattAtaaTatATTTataT top=(4, 4, 3, 'PASS sZ=(3, 3)', 'PASS sZ=(3, 3)') l1=ZSTABLE via s=a0 kb=kb96.out:default
PASS AAtATattatAATAtaTTTataT pres=orig P=AAtATattatAATAtaTTTataT top=(4, 4, 3, 'PASS sZ=(3, 3)', 'PASS sZ=(3, 3)') l1=ZSTABLE via s=a0 kb=kb96.out:default
PASS AAtATattatATAtaaTTTataT pres=orig P=AAtATattatATAtaaTTTataT top=(4, 4, 3, 'PASS sZ=(3, 3)', 'PASS sZ=(3, 3)') l1=ZSTABLE via s=a0 kb=kb96.out:default
PASS AAtATattataaTAtATTTataT pres=orig P=AAtATattataaTAtATTTataT top=(4, 4, 3, 'PASS sZ=(3, 3)', 'PASS sZ=(3, 3)') l1=ZSTABLE via s=a0 kb=kb96.out:default
PASS AAtATatttAATTTatattaTTT pres=y=ta P=AAtATatAtAtAATaTaTattAtaTaTaT top=(3, 3, 2, 'PASS sZ=(2, 2)', 'PASS sZ=(2, 2)') l1=ZSTABLE via s=a0 kb=kb96.out:default
PASS AAtATatttAATTTatttaTTaT pres=y=ta P=AAtATatAtAtAATaTaTatAtAtaTaTaaT top=(3, 3, 2, 'PASS sZ=(2, 2)', 'PASS sZ=(2, 2)') l1=ZSTABLE via s=a0 kb=kb96.out:default
PASS AAtATatttAATTaTatttaTTT pres=y=ta P=AAtATatAtAtAATaTaaTatAtAtaTaTaT top=(3, 3, 2, 'PASS sZ=(2, 2)', 'PASS sZ=(2, 2)') l1=ZSTABLE via s=a0 kb=kb29large.out:-large
PASS AAtATatttAATataTATTataT pres=orig P=AAtATatttAATataTATTataT top=(4, 4, 3, 'PASS sZ=(3, 3)', 'PASS sZ=(3, 3)') l1=ZSTABLE via s=a0 kb=kb96.out:default
PASS AAtATatttAATataTAtaTTaT pres=y=ta P=AAtATatAtAtAATataTAtaTaTaaT top=(4, 4, 3, 'PASS sZ=(3, 3)', 'PASS sZ=(3, 3)') l1=ZSTABLE via s=a1 kb=kb96.out:default
PASS AAtATatttATTTatattaaTTT pres=y=ta P=AAtATatAtAtATaTaTattAtaaTaTaT top=(3, 3, 2, 'PASS sZ=(2, 2)', 'PASS sZ=(2, 2)') l1=ZSTABLE via s=a0 kb=kb96.out:default
PASS AAtATatttATTTatttaaTTaT pres=y=ta P=AAtATatAtAtATaTaTatAtAtaaTaTaaT top=(3, 3, 2, 'PASS sZ=(2, 2)', 'PASS sZ=(2, 2)') l1=ZSTABLE via s=a0 kb=kb96.out:default
PASS AAtATatttATTaTatttaaTTT pres=y=ta P=AAtATatAtAtATaTaaTatAtAtaaTaTaT top=(3, 3, 2, 'PASS sZ=(2, 2)', 'PASS sZ=(2, 2)') l1=ZSTABLE via s=a0 kb=kb96.out:default
PASS AAtATatttATAtaaTaTTataT pres=orig P=AAtATatttATAtaaTaTTataT top=(4, 4, 3, 'PASS sZ=(3, 3)', 'PASS sZ=(3, 3)') l1=ZSTABLE via s=a0 kb=kb96.out:default
PASS AAtATatttATatATAtaaTTaT pres=y=ta P=AAtATatAtAtATatATAtaaTaTaaT top=(4, 4, 3, 'PASS sZ=(3, 3)', 'PASS sZ=(3, 3)') l1=ZSTABLE via s=a1 kb=kb96.out:default
PASS AAtATatttATataaTATTataT pres=orig P=AAtATatttATataaTATTataT top=(4, 4, 3, 'PASS sZ=(3, 3)', 'PASS sZ=(3, 3)') l1=ZSTABLE via s=a0 kb=kb96.out:default
PASS AAtATatttaTTTatattAATTT pres=y=ta P=AAtATatAtAtaTaTaTattAtAATaTaT top=(3, 3, 2, 'PASS sZ=(2, 2)', 'PASS sZ=(2, 2)') l1=ZSTABLE via s=a0 kb=kb96.out:default
PASS AAtATatttaTTTatttAATTaT pres=y=ta P=AAtATatAtAtaTaTaTatAtAtAATaTaaT top=(3, 3, 2, 'PASS sZ=(2, 2)', 'PASS sZ=(2, 2)') l1=ZSTABLE via s=a0 kb=kb96.out:default
PASS AAtATatttaTTaTatttAATTT pres=y=ta P=AAtATatAtAtaTaTaaTatAtAtAATaTaT top=(3, 3, 2, 'PASS sZ=(2, 2)', 'PASS sZ=(2, 2)') l1=ZSTABLE via s=a0 kb=kb96.out:default
PASS AAtATatttaTAtAATaTTataT pres=orig P=AAtATatttaTAtAATaTTataT top=(4, 4, 3, 'PASS sZ=(3, 3)', 'PASS sZ=(3, 3)') l1=ZSTABLE via s=a0 kb=kb96.out:default
PASS AAtATatttaTAtaTatAATTaT pres=y=ta P=AAtATatAtAtaTAtaTatAATaTaaT top=(4, 4, 3, 'PASS sZ=(3, 3)', 'PASS sZ=(3, 3)') l1=ZSTABLE via s=a1 kb=kb96.out:default
PASS AAtATatttaTatAATATTataT pres=orig P=AAtATatttaTatAATATTataT top=(4, 4, 3, 'PASS sZ=(3, 3)', 'PASS sZ=(3, 3)') l1=ZSTABLE via s=a0 kb=kb96.out:default
PASS AAtATatttaaTTTatattATTT pres=y=ta P=AAtATatAtAtaaTaTaTattAtATaTaT top=(3, 3, 2, 'PASS sZ=(2, 2)', 'PASS sZ=(2, 2)') l1=ZSTABLE via s=a0 kb=kb96.out:default
PASS AAtATatttaaTTTatttATTaT pres=y=ta P=AAtATatAtAtaaTaTaTatAtAtATaTaaT top=(3, 3, 2, 'PASS sZ=(2, 2)', 'PASS sZ=(2, 2)') l1=ZSTABLE via s=a0 kb=kb96.out:default
