AAtATataTatAtAAtAATataTaTaT AAtATataTattAtAATataTTT
AAtATataTatAtAAtATataaTaTaT AAtATataTattAtATataaTTT
AAtATataTatAtAAtaTatAATaTaT AAtATataTattAtaTatAATTT
AAtATataTatAtAAtaaTatATaTaT AAtATataTattAtaaTatATTT
AAtATataTatAttAATAtaTaTaT AAtATataTattatAATAtaTTT
AAtATataTatAttATAtaaTaTaT AAtATataTattatATAtaaTTT
AAtATataTatAttaTAtAATaTaT AAtATataTattataTAtAATTT
AAtATataTatAttaaTAtATaTaT AAtATataTattataaTAtATTT
AAtATataTatAtAtAATAtaTaaTaT AAtATataTatttAATAtaTaTT
AAtATataTatAtAtAATataTTaT AAtATataTatttAATataTATT
AAtATataTatAtAtATAtaaTaaTaT AAtATataTatttATAtaaTaTT
AAtATataTatAtAtATataaTTaT AAtATataTatttATataaTATT
AAtATataTatAtAtaTAtAATaaTaT AAtATataTatttaTAtAATaTT
AAtATataTatAtAtaTatAATTaT AAtATataTatttaTatAATATT
AAtATataTatAtAtaaTAtATaaTaT AAtATataTatttaaTAtATaTT
AAtATataTatAtAtaaTatATTaT AAtATataTatttaaTatATATT
AAtATattAtAATaTaTatAtAtaTaTaT AAtATatattAATTTatttaTTT
AAtATattAtAATataTAtaTaTaT AAtATatattAATataTAtaTTT
AAtATattAtATaTaTatAtAtaaTaTaT AAtATatattATTTatttaaTTT
AAtATattAtATatATAtaaTaTaT AAtATatattATatATAtaaTTT
AAtATattAtaTaTaTatAtAtAATaTaT AAtATatattaTTTatttAATTT
AAtATattAtaTAtaTatAATaTaT AAtATatattaTAtaTatAATTT
AAtATattAtaaTaTaTatAtAtATaTaT AAtATatattaaTTTatttATTT
AAtATattAtaaTAtATatATaTaT AAtATatattaaTAtATatATTT
AAtATatAtAtAATaTaTattAtaTaTaT AAtATatttAATTTatattaTTT
AAtATatAtAtAATaTaTatAtAtaTaTaaT AAtATatttAATTTatttaTTaT
AAtATatAtAtAATaTaaTatAtAtaTaTaT AAtATatttAATTaTatttaTTT
AAtATatAtAtAATataTAtaTaTaaT AAtATatttAATataTAtaTTaT
AAtATatAtAtATaTaTattAtaaTaTaT AAtATatttATTTatattaaTTT
AAtATatAtAtATaTaTatAtAtaaTaTaaT AAtATatttATTTatttaaTTaT
AAtATatAtAtATaTaaTatAtAtaaTaTaT AAtATatttATTaTatttaaTTT
AAtATatAtAtATatATAtaaTaTaaT AAtATatttATatATAtaaTTaT
AAtATatAtAtaTaTaTattAtAATaTaT AAtATatttaTTTatattAATTT
AAtATatAtAtaTaTaTatAtAtAATaTaaT AAtATatttaTTTatttAATTaT
AAtATatAtAtaTaTaaTatAtAtAATaTaT AAtATatttaTTaTatttAATTT
AAtATatAtAtaTAtaTatAATaTaaT AAtATatttaTAtaTatAATTaT
AAtATatAtAtaaTaTaTattAtATaTaT AAtATatttaaTTTatattATTT
AAtATatAtAtaaTaTaTatAtAtATaTaaT AAtATatttaaTTTatttATTaT
AAtATatAtAtaaTaTaaTatAtAtATaTaT AAtATatttaaTTaTatttATTT
AAtATatAtAtaaTAtATatATaTaaT AAtATatttaaTAtATatATTaT
AAtAAtAtAATaTaTataTatAtAtaTaTaT AAtAttAATTTataTatttaTTT
AAtAAtAtAATaTaTatAtAtaTaTaTataT AAtAttAATTTatttaTTTataT
AAtAAtAtAATataTAtaTaTaTataT AAtAttAATataTAtaTTTataT
AAtAAtAtATaTaTataTatAtAtaaTaTaT AAtAttATTTataTatttaaTTT
AAtAAtAtATaTaTatAtAtaaTaTaTataT AAtAttATTTatttaaTTTataT
AAtAAtAtATatATAtaaTaTaTataT AAtAttATatATAtaaTTTataT
AAtAAtAtaTaTaTataTatAtAtAATaTaT AAtAttaTTTataTatttAATTT
AAtAAtAtaTaTaTatAtAtAATaTaTataT AAtAttaTTTatttAATTTataT
AAtAAtAtaTAtaTatAATaTaTataT AAtAttaTAtaTatAATTTataT
AAtAAtAtaaTaTaTataTatAtAtATaTaT AAtAttaaTTTataTatttATTT
