2e0bf7506f2a	33	34		abstract		formalized	GroupApproximation.Full.SK05.printedMainTheoremSK01 GroupApproximation.Full.SK05.main_printed_sk01 GroupApproximation.Full.SK13.sturmian_infinite_minimal	Infinite simple groups with property~\textup{(T)} can be limits of finite simple groups.
4d5974e8776d	34	38		abstract		formalized	GroupApproximation.Full.SK05.printedMainTheoremSK01 GroupApproximation.Full.SK05.main_printed_sk01 GroupApproximation.Full.SK06.exists_gx_brownForm	For every infinite minimal subshift $X$, the group $G_X=\EL_3(\LC(X,\F_2)\rtimes\Z)$ is an infinite, finitely generated, simple group with property~\textup{(T)} and a limit of finite simple groups $\SL_{3N}(\F_2)$ whose Cayley graphs form expanders, so it is locally embeddable into finite groups (LEF), sofic and hyperlinear.
93bcebbc8293	38	40		abstract		formalized	GroupApproximation.Full.SK06.exists_gx_brownForm GroupApproximation.Full.SK05.printedMainTheoremSK01 GroupApproximation.Full.SK01.printedIsHyperlinear_of_isSofic GroupApproximation.SimpleKazhdanSofic.printedBrownOzawaPestovAnswer GroupApproximation.SimpleKazhdanSofic.printedGXAnswersBrownOzawaPestov_of_main GroupApproximation.SimpleKazhdanSofic.toeplitzSubshift_isMinimal GroupApproximation.SimpleKazhdanSofic.toeplitzSubshift_infinite GroupApproximation.SimpleKazhdanSofic.printedSimpleKazhdanSoficMain	This answers the question of Brown and Ozawa whether an infinite simple Kazhdan group can be hyperlinear, and Pestov's sofic version of it.
ea436a85317e	41	45		abstract		formalized	GroupApproximation.Full.SK12.corLef_lefIffSubgroupOfSameTuringDegreeHost GroupApproximation.Full.SK12.corLef_hostWithSameTuringDegree GroupApproximation.Manuscript.SimpleKazhdanSofic.TuringHost.manuscriptSentence_lefIffSubgroupOfSimpleKazhdanExpanderLimitSameTuringDegree GroupApproximation.Manuscript.SimpleKazhdanSofic.TuringHost.exists_isLEFHost_sameTuringDegree GroupApproximation.Manuscript.SimpleKazhdanSofic.TuringHost.lefIffSubgroupOfSameTuringDegreeHost	A finitely generated group is LEF if and only if it is a subgroup of an infinite, finitely generated, simple Kazhdan group that is a limit of finite simple groups whose Cayley graphs form expanders, and the host can be chosen with a word problem of the same Turing degree as that of the group.
11e5734b503c	45	46		abstract		formalized	GroupApproximation.Full.SK12.corHost_recursivelyPresentedInstances	One such host contains every recursively presented finitely generated LEF group.
562e5e07a357	50	50				structural		Can an infinite simple group with property~\textup{(T)} be hyperlinear?
5c1db38e8d0c	51	53				attribution	GroupApproximation.Full.SK06.exists_gx_brownForm	Brown asked this in 2001 as a question about embeddings into unitary groups of McDuff factors that embed in an ultrapower $\mathcal R^\omega$ of the hyperfinite $\mathrm{II}_1$ factor~\cite[\S11, Question~7]{Brown}.
5b6a5a222cdd	54	57				formalized	GroupApproximation.Full.A2Endpoint.ozawa_not_hasLocalLiftingProperty GroupApproximation.Full.SKRoot.intro_ozawa_thom GroupApproximation.Full.A2LocalLifting.not_hasLocalLiftingProperty_of_not_hasFactorizationProperty GroupApproximation.Full.A2Kirchberg.not_hasFactorizationProperty_of_isSimpleGroup_of_infinite_of_kazhdan GroupApproximation.Full.A2LocalLifting.HasLocalLiftingProperty	Ozawa stated the hyperlinear form in 2003, noting that the full $C^*$-algebra of such a group cannot have the local lifting property~\cite[\S7]{Ozawa}, and Pestov asked the sofic form as Open question~9.1~\cite{Pestov}.
6e81aea57b64	57	60				formalized	GroupApproximation.Full.A2Endpoint.not_hasFactorizationProperty_of_kazhdan_of_not_residuallyFinite GroupApproximation.Full.A2Endpoint.exists_fg_kazhdan_lef_not_rf_not_fp_not_simple GroupApproximation.Full.A2Endpoint.not_isSimpleGroup_thomGroup_zmod GroupApproximation.Full.SKRoot.intro_ozawa_thom GroupApproximation.Full.A2Kirchberg.isResiduallyFinite_of_hasKazhdanPropertyT_of_hasFactorizationProperty	Thom constructed a finitely generated Kazhdan group that is locally embeddable into finite groups but not residually finite, and so lacks the factorization property~\cite{Thom}, but his example is not simple.
7fa04e9ea602	60	63				attribution		Pestov and Kwiatkowska wrote that a hope of constructing groups that are not hyperlinear from property~\textup{(T)} remained, since it was unknown whether finitely generated simple Kazhdan groups could be hyperlinear~\cite{PestovKwiatkowska}.
