GroupApproximation.ChainRadical.exists_cornerUnitHom_eq	GroupApproximation.Leavitt.CornerUnitHom	theorem	0	1	0
GroupApproximation.ClopenCrossedProduct.unit_mul_coeff_mul_inv	GroupApproximation.Dynamics.ClopenCrossedProduct	theorem	0	3	0
GroupApproximation.elementaryUnit_commutator	GroupApproximation.Leavitt.ElementaryGroup	theorem	0	1	0
GroupApproximation.FinitaryLinear.elementaryGroup_zmodTwo_eq_top	GroupApproximation.Algebra.FinitaryLinearBinarySimple	theorem	0	1	0
GroupApproximation.FinitaryLinear.isSimpleGroup_units_matrix_zmodTwo	GroupApproximation.Algebra.FinitaryLinearBinarySimple	theorem	0	1	0
GroupApproximation.Full.A2Endpoint.exists_fg_kazhdan_lef_not_rf_not_fp_not_simple	GroupApproximation.Manuscript.SimpleKazhdanSofic.Full.A2Endpoint.Endpoint	theorem	0	0	1
GroupApproximation.Full.A2Endpoint.not_hasFactorizationProperty_of_kazhdan_of_not_residuallyFinite	GroupApproximation.Manuscript.SimpleKazhdanSofic.Full.A2Endpoint.Endpoint	theorem	0	0	0
GroupApproximation.Full.A2Endpoint.not_isSimpleGroup_thomGroup_zmod	GroupApproximation.Manuscript.SimpleKazhdanSofic.Full.A2Endpoint.ThomGroup	theorem	0	3	0
GroupApproximation.Full.A2Endpoint.ozawa_not_hasLocalLiftingProperty	GroupApproximation.Manuscript.SimpleKazhdanSofic.Full.A2Endpoint.Endpoint	theorem	0	0	0
GroupApproximation.Full.A2Kirchberg.isResiduallyFinite_of_hasKazhdanPropertyT_of_hasFactorizationProperty	GroupApproximation.Manuscript.SimpleKazhdanSofic.Full.A2Kirchberg.Theorem	theorem	0	0	0
GroupApproximation.Full.A2Kirchberg.not_hasFactorizationProperty_of_isSimpleGroup_of_infinite_of_kazhdan	GroupApproximation.Manuscript.SimpleKazhdanSofic.Full.A2Kirchberg.Theorem	theorem	0	0	0
GroupApproximation.Full.A2LocalLifting.HasLocalLiftingProperty	GroupApproximation.Manuscript.SimpleKazhdanSofic.Full.A2LocalLifting.Property	def	0	1	0
GroupApproximation.Full.A2LocalLifting.not_hasLocalLiftingProperty_of_not_hasFactorizationProperty	GroupApproximation.Manuscript.SimpleKazhdanSofic.Full.A2LocalLifting.Factorization	theorem	0	2	0
GroupApproximation.Full.SK01.IsFiniteSimpleSL3NF2	GroupApproximation.Manuscript.SimpleKazhdanSofic.Full.Definitions.MarkedGroups	def	0	0	0
GroupApproximation.Full.SK01.limitsOfFiniteGroupsAreLEF	GroupApproximation.Manuscript.SimpleKazhdanSofic.Full.Definitions.MarkedGroups	theorem	0	0	0
GroupApproximation.Full.SK01.limitsOfFiniteGroupsAreLEFPrinted	GroupApproximation.Manuscript.SimpleKazhdanSofic.Full.Definitions.MarkedGroups	theorem	0	0	0
GroupApproximation.Full.SK01.printedIsHyperlinear_of_isSofic	GroupApproximation.Manuscript.SimpleKazhdanSofic.Full.Definitions.SoficPrinted	theorem	0	1	0
