x0 | 4 p2 p3 p2' p3'
x1 | 2 p3 p3'
x2 | 2 p3 p3'
x3 | 2 p3 p3'
x0' | 4 p2 p3 p2' p3'
x1' | 2 p3 p3'
x2' | 2 p3 p3'
x3' | 2 p3 p3'
x0 x0 | 4 p2 p3 p2' p3'
x0 x1 | 2 p3 p3'
x0 x2 | 2 p3 p3'
x0 x3 | 2 p3 p3'
x0 z2 | 4 p2 p3 p2' p3'
x0 z3 | 2 p3 p3'
x0 x1' | 2 p3 p3'
x0 x2' | 2 p3 p3'
x0 x3' | 2 p3 p3'
x0 z2' | 4 p2 p3 p2' p3'
x0 z3' | 2 p3 p3'
x1 x0 | 2 p3 p3'
x1 x1 | 2 p3 p3'
x1 x2 | 2 p3 p3'
x1 x3 | 2 p3 p3'
x1 z3 | 4 p1 p3 p1' p3'
x1 x0' | 2 p3 p3'
x1 x2' | 2 p3 p3'
x1 x3' | 2 p3 p3'
x1 z3' | 2 p3 p3'
x11 z2 | 2 p2 p2'
x2 x0 | 2 p3 p3'
x2 x1 | 2 p3 p3'
x2 x2 | 2 p3 p3'
x2 x3 | 2 p3 p3'
x2 z3 | 2 p3 p3'
x2 x0' | 2 p3 p3'
x2 x1' | 2 p3 p3'
x2 x3' | 2 p3 p3'
x2 z3' | 2 p3 p3'
x3 x0 | 2 p3 p3'
x3 x1 | 2 p3 p3'
x3 x2 | 2 p3 p3'
x3 x3 | 2 p3 p3'
x3 z3 | 2 p3 p3'
x3 x0' | 2 p3 p3'
x3 x1' | 2 p3 p3'
x3 x2' | 2 p3 p3'
x3 z3' | 2 p3 p3'
x4 z2 | 2 p2 p2'
x4 z23 | 2 p1 p1'
x5 z2 | 2 p2 p2'
z2 x0 | 4 p2 p3 p2' p3'
z2 x1 | 2 p3 p3'
z2 x2 | 2 p3 p3'
z2 x3 | 2 p3 p3'
z2 x0' | 4 p2 p3 p2' p3'
z2 x1' | 2 p3 p3'
z2 x2' | 2 p3 p3'
z2 x3' | 2 p3 p3'
z23 x0 | 4 p2 p3 p2' p3'
z23 x1 | 2 p3 p3'
z23 x2 | 2 p3 p3'
z23 x3 | 2 p3 p3'
z23 x0' | 4 p2 p3 p2' p3'
z23 x1' | 2 p3 p3'
z23 x2' | 2 p3 p3'
z23 x3' | 2 p3 p3'
z3 x0 | 4 p2 p3 p2' p3'
z3 x1 | 2 p3 p3'
z3 x2 | 2 p3 p3'
z3 x3 | 2 p3 p3'
z3 x0' | 4 p2 p3 p2' p3'
z3 x1' | 2 p3 p3'
z3 x2' | 2 p3 p3'
z3 x3' | 2 p3 p3'
x0' x1 | 2 p3 p3'
x0' x2 | 2 p3 p3'
x0' x3 | 2 p3 p3'
x0' z2 | 4 p2 p3 p2' p3'
x0' z3 | 2 p3 p3'
x0' x0' | 4 p2 p3 p2' p3'
x0' x1' | 2 p3 p3'
x0' x2' | 2 p3 p3'
x0' x3' | 2 p3 p3'
x0' z2' | 4 p2 p3 p2' p3'
x0' z3' | 2 p3 p3'
x1' x0 | 2 p3 p3'
x1' x2 | 2 p3 p3'
x1' x3 | 2 p3 p3'
x1' z3 | 4 p1 p3 p1' p3'
x1' x0' | 2 p3 p3'
x1' x1' | 2 p3 p3'
x1' x2' | 2 p3 p3'
x1' x3' | 2 p3 p3'
x1' z3' | 2 p3 p3'
x11' z2 | 2 p2 p2'
x2' x0 | 2 p3 p3'
x2' x1 | 2 p3 p3'
x2' x3 | 2 p3 p3'
x2' z3 | 2 p3 p3'
x2' x0' | 2 p3 p3'
x2' x1' | 2 p3 p3'
x2' x2' | 2 p3 p3'
x2' x3' | 2 p3 p3'
x2' z3' | 2 p3 p3'
x3' x0 | 2 p3 p3'
x3' x1 | 2 p3 p3'
x3' x2 | 2 p3 p3'
x3' z3 | 2 p3 p3'
x3' x0' | 2 p3 p3'
x3' x1' | 2 p3 p3'
x3' x2' | 2 p3 p3'
x3' x3' | 2 p3 p3'
x3' z3' | 2 p3 p3'
x4' z2 | 2 p2 p2'
x4' z23 | 2 p1 p1'
x5' z2 | 2 p2 p2'
z2' x0 | 4 p2 p3 p2' p3'
z2' x1 | 2 p3 p3'
z2' x2 | 2 p3 p3'
z2' x3 | 2 p3 p3'
z2' x0' | 4 p2 p3 p2' p3'
z2' x1' | 2 p3 p3'
z2' x2' | 2 p3 p3'
z2' x3' | 2 p3 p3'
z23' x0 | 4 p2 p3 p2' p3'
z23' x1 | 2 p3 p3'
z23' x2 | 2 p3 p3'
z23' x3 | 2 p3 p3'
z23' x0' | 4 p2 p3 p2' p3'
z23' x1' | 2 p3 p3'
z23' x2' | 2 p3 p3'
z23' x3' | 2 p3 p3'
z3' x0 | 4 p2 p3 p2' p3'
z3' x1 | 2 p3 p3'
z3' x2 | 2 p3 p3'
z3' x3 | 2 p3 p3'
z3' x0' | 4 p2 p3 p2' p3'
z3' x1' | 2 p3 p3'
z3' x2' | 2 p3 p3'
z3' x3' | 2 p3 p3'
