# non-left-orderability certificate: group=a6 ball L=6 kernel short=2
# each line p ; q ; r asserts p*q = r; all elements nontrivial
a2^-1 a2^-1 ; b3^-1 b1 ; a2^-1 a2^-1 b3^-1 b1
b1^-1 b2^-1 b3^-1 b1^-1 ; a1^-1 a2 ; a2 a1 b2 b1^-1 b3^-1 b1
a2 a2 ; b1^-1 b3 b2 b1 ; a2 a2 b1^-1 b3 b2 b1
a1^-1 a2 ; b3 b2^-1 b3^-1 b2^-1 ; a1^-1 a2 b3 b2^-1 b3^-1 b2^-1
a3^-1 a1 ; b3 b2^-1 b3^-1 b1^-1 ; a3^-1 a1 b3 b2^-1 b3^-1 b1^-1
a1^-1 a2^-1 b3^-1 b1^-1 ; a2^-1 a2^-1 ; a1^-1 a2^-1 a1^-1 a2 b3^-1 b3^-1
a2 a1 a2 a1 ; a1^-1 a2 ; a2 a1 a2 a2
a2 a1 b3^-1 b1 ; a3^-1 a2^-1 ; a2 a1 a3^-1 a1 b1 b3
a1^-1 a2^-1 a1^-1 a2 ; b3^-1 b2^-1 ; a1^-1 a2^-1 a1^-1 a2 b3^-1 b2^-1
a3^-1 a2^-1 ; b3^-1 b3^-1 b1^-1 b1^-1 ; a3^-1 a2^-1 b3^-1 b3^-1 b1^-1 b1^-1
b1 b2^-1 b3^-1 b1 ; a1^-1 a2^-1 ; a2 a2 b3 b1 b3^-1 b1^-1
b2 b1^-1 b3 b1 ; a2 a3 ; a2 a1 b1 b1 b3 b2^-1
a3^-1 a2 ; b1 b1 b3 b3 ; a3^-1 a2 b1 b1 b3 b3
a1^-1 a2 ; a2^-1 a3 ; a1^-1 a3
b1^-1 b3 b1 b2^-1 ; a1^-1 a2^-1 ; a2^-1 a1 b1 b3 b2 b1
b1^-1 b3 b3 b1 ; a1^-1 a2 ; a3^-1 a1 b3^-1 b1 b1 b3^-1
a2 a1 ; a2^-1 a1 ; a2 a1 a2^-1 a1
a3^-1 a2 a2 a2 ; b2 b3 ; a3^-1 a2 a2 a2 b2 b3
a2^-1 a3 ; b2 b3^-1 b1^-1 b1^-1 ; a2^-1 a3 b2 b3^-1 b1^-1 b1^-1
a3^-1 a2 ; b1^-1 b3 b3 b2^-1 ; a3^-1 a2 b1^-1 b3 b3 b2^-1
a1^-1 a2^-1 ; b1 b3 b2 b1 ; a1^-1 a2^-1 b1 b3 b2 b1
a2^-1 a1 ; b2 b1 b3^-1 b1 ; a2^-1 a1 b2 b1 b3^-1 b1
b2 b3^-1 b1 b3 ; a1^-1 a2 ; a2^-1 a2^-1 b1^-1 b1^-1 b3 b3
a2^-1 a3 ; b2 b2 b1^-1 b3^-1 ; a2^-1 a3 b2 b2 b1^-1 b3^-1
a1^-1 a2 ; b2 b3^-1 b1^-1 b3 ; a1^-1 a2 b2 b3^-1 b1^-1 b3
a1^-1 a2 a1^-1 a2^-1 ; b3^-1 b1^-1 ; a1^-1 a2 a1^-1 a2^-1 b3^-1 b1^-1
b3^-1 b2^-1 b1 b1 ; a2^-1 a2^-1 ; a1^-1 a2 b3^-1 b1 b3 b2^-1
b2 b3 ; b2 b1 ; b2 b3 b2 b1
a3^-1 a2 ; a1^-1 a2 ; a3^-1 a2 a1^-1 a2
a2 a1 ; b2 b1^-1 b1^-1 b3 ; a2 a1 b2 b1^-1 b1^-1 b3
b2 b1 b3^-1 b1^-1 ; a1^-1 a2^-1 ; a2 a2 b1^-1 b2^-1 b3^-1 b2^-1
b1 b2^-1 b1^-1 b3 ; a2^-1 a2^-1 ; a2 a1 b1^-1 b1^-1 b2 b3
