pi_s=a pi_t=e s|0=s A t|0=t A s|3=t | stable-from-3
pi_s=a pi_t=e s|0=s A t|0=t E s|3=t | stable-from-2
pi_s=a pi_t=e s|0=s E t|0=t A s|3=t | stable-from-3
pi_s=a pi_t=e s|0=s E t|0=t E s|3=t | stable-from-2
pi_s=a pi_t=e s|0=A s t|0=A t s|3=t | stable-from-3
pi_s=a pi_t=e s|0=A s t|0=E t s|3=t | stable-from-2
pi_s=a pi_t=e s|0=E s t|0=A t s|3=t | stable-from-3
pi_s=a pi_t=e s|0=E s t|0=E t s|3=t | stable-from-2
pi_s=a pi_t=a e s|0=A s t|0=A t A s|3=t | stable-from-3
pi_s=a pi_t=a e s|0=A s t|0=A t E s|3=t | stable-from-2
pi_s=a pi_t=a e s|0=A s t|0=E t E s|3=t | stable-from-3
pi_s=a pi_t=a e s|0=E s t|0=A t E s|3=t | stable-from-2
pi_s=a pi_t=a e s|0=E s t|0=E t E s|3=t | stable-from-3
pi_s=a pi_t=a E s|0=s A t|0=t s|3=t | stable-from-3
pi_s=a pi_t=a E s|0=s E t|0=t s|3=t | stable-from-2
pi_s=a pi_t=a E s|0=A s t|0=A t a s|3=t | stable-from-3
pi_s=a pi_t=a E s|0=A s t|0=A t e s|3=t | stable-from-2
pi_s=a pi_t=a E s|0=A s t|0=E t a s|3=t | stable-from-3
pi_s=a pi_t=a E s|0=A s t|0=E t e s|3=t | stable-from-3
pi_s=a pi_t=a E s|0=E s t|0=A t a s|3=t | stable-from-2
pi_s=a pi_t=a E s|0=E s t|0=A t e s|3=t | stable-from-2
pi_s=a pi_t=a E s|0=E s t|0=E t a s|3=t | stable-from-2
pi_s=a pi_t=a E s|0=E s t|0=E t e s|3=t | stable-from-2
pi_s=a pi_t=e a s|0=A s t|0=A t A s|3=t | growing S: orders [55, 275, 1100]
pi_s=a pi_t=e a s|0=A s t|0=E t E s|3=t | growing S: orders [55, 330, 1320]
pi_s=a pi_t=e a s|0=E s t|0=A t A s|3=t | growing S: orders [220, 1100, 4400]
pi_s=a pi_t=e e s|0=A s t|0=A t A s|3=t | stable-from-3
pi_s=a pi_t=e e s|0=A s t|0=A t E s|3=t | stable-from-3
pi_s=a pi_t=e e s|0=A s t|0=E t A s|3=t | stable-from-3
pi_s=a pi_t=e e s|0=A s t|0=E t E s|3=t | stable-from-2
pi_s=a pi_t=e e s|0=E s t|0=A t E s|3=t | stable-from-3
pi_s=a pi_t=e e s|0=E s t|0=E t E s|3=t | stable-from-2
pi_s=e pi_t=a s|0=A s t|0=E t s|3=t | growing S: orders [220, 1320, 58080]
pi_s=e pi_t=a s|0=E s t|0=E t s|3=t | growing S: orders [55, 330, 14520]
pi_s=e pi_t=a e s|0=A s t|0=A t E s|3=t | stable-from-2
pi_s=e pi_t=a e s|0=A s t|0=E t E s|3=t | stable-from-3
pi_s=e pi_t=a e s|0=E s t|0=A t A s|3=t | stable-from-3
pi_s=e pi_t=a e s|0=E s t|0=A t E s|3=t | stable-from-2
pi_s=e pi_t=a e s|0=E s t|0=E t A s|3=t | stable-from-3
pi_s=e pi_t=a e s|0=E s t|0=E t E s|3=t | stable-from-3
pi_s=e pi_t=a E s|0=s A t|0=t s|3=t | stable-from-2
pi_s=e pi_t=a E s|0=s E t|0=t s|3=t | stable-from-3
pi_s=e pi_t=a E s|0=A s t|0=A t a s|3=t | stable-from-2
pi_s=e pi_t=a E s|0=A s t|0=A t e s|3=t | stable-from-2
pi_s=e pi_t=a E s|0=A s t|0=E t a s|3=t | stable-from-2
pi_s=e pi_t=a E s|0=A s t|0=E t e s|3=t | stable-from-2
pi_s=e pi_t=a E s|0=E s t|0=A t a s|3=t | stable-from-3
pi_s=e pi_t=a E s|0=E s t|0=A t e s|3=t | stable-from-2
pi_s=e pi_t=a E s|0=E s t|0=E t a s|3=t | stable-from-3
pi_s=e pi_t=a E s|0=E s t|0=E t e s|3=t | stable-from-3
pi_s=e pi_t=e a s|0=A s t|0=A t A s|3=t | growing S: orders [220, 1100, 4400]
pi_s=e pi_t=e a s|0=E s t|0=A t A s|3=t | growing S: orders [55, 275, 1100]
pi_s=e pi_t=e a s|0=E s t|0=E t E s|3=t | growing S: orders [55, 330, 1320]
pi_s=e pi_t=a a s|0=A s t|0=E t A s|3=t | growing S: orders [220, 1320, 58080]
pi_s=e pi_t=a a s|0=E s t|0=A t E s|3=t | growing S: orders [55, 330, 14520]
pi_s=e pi_t=a a s|0=E s t|0=E t A s|3=t | growing S: orders [55, 330, 14520]
pi_s=e pi_t=a a s|0=E s t|0=E t E s|3=t | growing S: orders [55, 440, 19360]
