family HBC2_2 T 24 p 5 girth surfaces 72 sec 0.3
surface 0 orientable False feasible False status done nodes 3789 first []
surface 1 orientable False feasible False status done nodes 3789 first []
surface 2 orientable False feasible False status done nodes 4961 first []
surface 3 orientable False feasible False status done nodes 4433 first []
surface 4 orientable False feasible False status done nodes 993 first []
surface 5 orientable False feasible True status done nodes 332 first [[1, 1, 1, 4, 3, 1, 3, 4, 1, 4, 1, 1, 1, 1, 2, 4, 4, 2, 3, 1, 1, 3, 4, 4, 1, 2, 3, 1, 2, 1, 2, 1, 1, 3, 1, 2]]
surface 6 orientable False feasible False status done nodes 4205 first []
surface 7 orientable False feasible False status done nodes 2381 first []
surface 8 orientable False feasible False status done nodes 2021 first []
surface 9 orientable False feasible False status done nodes 3917 first []
surface 10 orientable False feasible False status done nodes 2569 first []
surface 11 orientable False feasible False status done nodes 2809 first []
surface 12 orientable False feasible False status done nodes 4613 first []
surface 13 orientable False feasible False status done nodes 5629 first []
surface 14 orientable False feasible False status done nodes 2533 first []
surface 15 orientable False feasible False status done nodes 1421 first []
surface 16 orientable False feasible False status done nodes 1925 first []
surface 17 orientable False feasible False status done nodes 2725 first []
surface 18 orientable False feasible False status done nodes 2041 first []
surface 19 orientable False feasible False status done nodes 3373 first []
surface 20 orientable False feasible False status done nodes 3229 first []
surface 21 orientable False feasible False status done nodes 2321 first []
surface 22 orientable False feasible False status done nodes 2037 first []
surface 23 orientable False feasible False status done nodes 3125 first []
surface 24 orientable False feasible False status done nodes 2037 first []
surface 25 orientable True feasible False status done nodes 3177 first []
surface 26 orientable False feasible False status done nodes 281 first []
surface 27 orientable False feasible False status done nodes 1137 first []
surface 28 orientable False feasible False status done nodes 1137 first []
surface 29 orientable True feasible False status done nodes 8721 first []
surface 30 orientable False feasible False status done nodes 865 first []
surface 31 orientable True feasible False status done nodes 15157 first []
surface 32 orientable False feasible False status done nodes 2617 first []
surface 33 orientable False feasible False status done nodes 3049 first []
surface 34 orientable False feasible False status done nodes 2237 first []
surface 35 orientable False feasible False status done nodes 1841 first []
surface 36 orientable False feasible False status done nodes 2357 first []
surface 37 orientable False feasible False status done nodes 2201 first []
surface 38 orientable False feasible False status done nodes 3353 first []
surface 39 orientable False feasible False status done nodes 1865 first []
surface 40 orientable False feasible False status done nodes 565 first []
surface 41 orientable False feasible False status done nodes 565 first []
surface 42 orientable True feasible False status done nodes 8513 first []
surface 43 orientable True feasible False status done nodes 6497 first []
surface 44 orientable False feasible False status done nodes 257 first []
surface 45 orientable False feasible False status done nodes 1977 first []
surface 46 orientable False feasible False status done nodes 2505 first []
surface 47 orientable False feasible False status done nodes 1281 first []
surface 48 orientable False feasible False status done nodes 1865 first []
surface 49 orientable False feasible False status done nodes 929 first []
surface 50 orientable False feasible False status done nodes 2501 first []
surface 51 orientable True feasible False status done nodes 7937 first []
surface 52 orientable False feasible False status done nodes 2545 first []
surface 53 orientable False feasible False status done nodes 1361 first []
surface 54 orientable False feasible False status done nodes 2529 first []
surface 55 orientable False feasible False status done nodes 2765 first []
surface 56 orientable False feasible False status done nodes 2037 first []
surface 57 orientable False feasible False status done nodes 3873 first []
surface 58 orientable False feasible False status done nodes 2193 first []
surface 59 orientable False feasible False status done nodes 2761 first []
surface 60 orientable False feasible False status done nodes 3365 first []
surface 61 orientable False feasible False status done nodes 5429 first []
surface 62 orientable False feasible False status done nodes 3633 first []
surface 63 orientable False feasible False status done nodes 17617 first []
surface 64 orientable False feasible False status done nodes 1809 first []
surface 65 orientable True feasible False status done nodes 23497 first []
surface 66 orientable False feasible False status done nodes 12793 first []
surface 67 orientable True feasible True status done nodes 2111 first [[1, 1, 2, 1, 2, 3, 1, 1, 3, 2, 1, 2, 1, 1, 2, 2, 4, 1, 2, 4, 1, 2, 1, 1, 1, 3, 2, 1, 4, 3, 1, 3, 1, 3, 2, 4]]
surface 68 orientable False feasible False status done nodes 169 first []
surface 69 orientable False feasible False status done nodes 761 first []
surface 70 orientable False feasible False status done nodes 13873 first []
surface 71 orientable False feasible False status done nodes 56857 first []
