m  e(R)  bound4||b-P||^2  e([a,t])  m^2*e(R)
   3 5.000e-01 5.333e+00 1.0000 4.500
   5 2.353e-01 2.149e+00 1.5000 5.881
  11 5.326e-02 4.487e-01 1.8000 6.445
  13 3.837e-02 3.204e-01 1.8333 6.484
  19 1.810e-02 1.490e-01 1.8889 6.536
  29 7.802e-03 6.355e-02 1.9286 6.561
  37 4.798e-03 3.893e-02 1.9444 6.568
  53 2.340e-03 1.891e-02 1.9615 6.574
  59 1.889e-03 1.524e-02 1.9655 6.575
  61 1.767e-03 1.426e-02 1.9667 6.576
  67 1.465e-03 1.181e-02 1.9697 6.576
  83 9.548e-04 7.685e-03 1.9756 6.578
 101 6.449e-04 5.185e-03 1.9800 6.578
 107 5.746e-04 4.618e-03 1.9811 6.578
 131 3.834e-04 3.079e-03 1.9846 6.579
 139 3.405e-04 2.734e-03 1.9855 6.579
 149 2.963e-04 2.379e-03 1.9865 6.579
 163 2.476e-04 1.987e-03 1.9877 6.579
 173 2.198e-04 1.764e-03 1.9884 6.579
 179 2.053e-04 1.647e-03 1.9888 6.579
 181 2.008e-04 1.611e-03 1.9889 6.579
 197 1.695e-04 1.360e-03 1.9898 6.579
 211 1.478e-04 1.185e-03 1.9905 6.579
 227 1.277e-04 1.024e-03 1.9912 6.579
 269 9.093e-05 7.288e-04 1.9925 6.580
 293 7.664e-05 6.142e-04 1.9932 6.580
 317 6.548e-05 5.246e-04 1.9937 6.580
 347 5.464e-05 4.378e-04 1.9942 6.580
 349 5.402e-05 4.328e-04 1.9943 6.580
 373 4.729e-05 3.788e-04 1.9946 6.580
 379 4.581e-05 3.669e-04 1.9947 6.580
 389 4.348e-05 3.483e-04 1.9948 6.580
