# GENERATED by scripts/sentence_census.py -- do not edit.
# Edit metadata/NON_MF_SENTENCE_MAP.tsv and regenerate.
# Manuscript SHA-256: 3635091793cb04f0660c9c152ccdcb7ba58792167f68399848730c46814a8f93
key	line	section	env	label	status	decls	sentence
7b8f14aa4de8	59				structural		\frenchspacing
3393c0cf411c	66		abstract		formalized	GroupApproximation.Manuscript.OneSidedMFRadical.manuscriptNotEveryCountableGroupIsMF	\addtolength{\leftskip}{1.5pc}\addtolength{\rightskip}{1.5pc} Some groups are not MF\@.
113e60b5f202	66		abstract		formalized	GroupApproximation.Manuscript.OneSidedMFRadical.manuscriptOneSidedCompressionCriterion	The obstruction is a property-\textup{(T)} subgroup conjugated into a proper subgroup of itself, together with a property-\textup{(T)} subgroup of the resulting commutator defect that is normal in the whole group.
e82d3011b6cb	66		abstract		formalized	GroupApproximation.Manuscript.OneSidedMFRadical.UnitGroupHeadline.manuscriptUnitGroupHeadline GroupApproximation.Manuscript.OneSidedMFRadical.UnitGroupHeadline.PrintedUnitGroupHeadline	The unit group of the binary Leavitt algebra $L_{\F_2}(1,2)$ is a finitely generated simple property-\textup{(T)} group with no nontrivial homomorphism to an MF group, and its reduced $C^*$-algebra is separable and stably finite but not MF\@.
a16637da7249	66		abstract		partial	GroupApproximation.Manuscript.NonMF.TorsionFreeGreendlingerLeaf.printedTorsionFreeTheorem_of_greendlinger	We also construct a sofic group that is not MF, whose canonical trace on the maximal group $C^*$-algebra is amenable but not quasidiagonal, and a finitely presented torsion-free group with property~\textup{(T)} and no nontrivial homomorphism to an MF group.
cff73e6439ba	83				structural		\draftnotice
88e8012cb87e	87	Introduction			formalized	GroupApproximation.Manuscript.OneSidedMFRadical.manuscriptIntroductionMFDefinition GroupApproximation.Manuscript.OneSidedMFRadical.PrintedMFDefinitionLiteral GroupApproximation.Manuscript.NonMFSentences.IntroMFDefinitionCoronaBridge.manuscriptSentence_mfDefinitionCoronaForm GroupApproximation.Manuscript.NonMFSentences.IntroMFDefinitionCoronaBridge.PrintedMFDefinitionCoronaForm	A countable group $G$ is \emph{MF}~\cite{CDE} if there are positive integers $d_n$ and maps $V_n\colon G\to\U(d_n)$, with $V_n(1)=1$, such that
6201111b83a0	94	Introduction			definition	GroupApproximation.Manuscript.OneSidedMFRadical.manuscriptNormalizedMFModelSeparation	and
b1b04e376fe7	99	Introduction			formalized	GroupApproximation.IsStronglyOperatorMF GroupApproximation.leftRegularNorm GroupApproximation.IsStronglyOperatorMF.isOperatorMF GroupApproximation.not_isStronglyOperatorMF_of_not_isOperatorMF GroupApproximation.isStronglyOperatorMF_of_subsingleton GroupApproximation.isStronglyOperatorMF_unit GroupApproximation.Manuscript.NonMFSentences.KorchaginSentence.manuscriptSentence_korchaginFullSequenceSeparation GroupApproximation.Manuscript.NonMFSentences.KorchaginSentence.PrintedKorchaginFullSequenceSeparation GroupApproximation.Manuscript.NonMFSentences.KorchaginLiteralSentence.manuscriptSentence_korchaginLiteral GroupApproximation.Manuscript.NonMFSentences.KorchaginLiteralSentence.PrintedKorchaginLiteral	For countable $G$, the second condition may equivalently be required along the full sequence with a constant independent of $g$~\cite[Propositions~2 and~7]{Korchagin}.
837b7cffa562	99	Introduction			formalized	GroupApproximation.IsStronglyOperatorMF GroupApproximation.leftRegularNorm GroupApproximation.IsStronglyOperatorMF.isOperatorMF GroupApproximation.not_isStronglyOperatorMF_of_not_isOperatorMF	The strong convergence convention of~\cite{GaoEtAl,Schafhauser} also requires the models to reproduce the operator norms of the left regular representation, so a group that is not MF as defined here is not MF in that convention either.
