key	line	end	section	env	label	status	decls	sentence
f19a471905d5	483	486	LEF groups		cor:host	structural	GroupApproximation.Full.SKRoot.cor_host GroupApproximation.SimpleKazhdanSofic.lefUltraproductEmbeddingStatement GroupApproximation.SimpleKazhdanSofic.printedLamplighterHost GroupApproximation.SimpleKazhdanSofic.printedCountableLEFHost	We embed a countable LEF group in the derived subgroup of a $2$-generated LEF group $\Delta$ (Lemma~\ref{lem:nn}), and then $[\Delta,\Delta]$ in a group of Theorem~\ref{thm:general}\textup{(b)} built from a lamplighter action of $\Delta$ (Lemma~\ref{lem:host}).
73a7e1f78cbb	486	487	LEF groups		cor:host	formalized	GroupApproximation.Full.SK11.halflineA GroupApproximation.Full.SK11.halflineB GroupApproximation.Full.SK12.corLef_hostWithSameTuringDegree GroupApproximation.Full.SKRoot.cor_host GroupApproximation.SimpleKazhdanSofic.LamplighterWP.manuscriptSentence_halflineKeepsTuringDegree GroupApproximation.SimpleKazhdanSofic.LamplighterWP.manuscriptSentence_lefHostWordProblemAbove GroupApproximation.SimpleKazhdanSofic.LEFCorollaries.manuscriptSentence_lefHostWordProblemAbove GroupApproximation.SimpleKazhdanSofic.printedWordProblemReducesUnderEmbedding	Lemma~\ref{lem:halfline} keeps the Turing degree of the word problem in both steps.
597b938ffe5c	490	491	LEF groups	lemma	lem:nn	formalized	GroupApproximation.Full.SK09.LemmaNNStatement GroupApproximation.Full.SK09.lemmaNN GroupApproximation.Full.SKRoot.lem_nn	Every countable LEF group is a subgroup of $[\Delta,\Delta]$ for an infinite LEF group $\Delta$ generated by two elements.
72824238072d	495	497	LEF groups	proof	lem:nn	formalized	GroupApproximation.Full.SK09.isTextbookLEF_prod GroupApproximation.Full.SK09.lemmaNN GroupApproximation.Full.SKRoot.lem_nn	Let $\Gamma=\{\gamma_1,\gamma_2,\dots\}$ be a countable LEF group; replacing $\Gamma$ by $\Gamma\times\Z$, we may assume that $\Gamma$ is infinite.
8b9c8012260d	497	499	LEF groups	proof	lem:nn	formalized	GroupApproximation.Full.SK09.Models GroupApproximation.Full.SK09.models_nonempty GroupApproximation.Full.SK09.testSet GroupApproximation.Full.SKRoot.lem_nn GroupApproximation.SimpleKazhdanSofic.LEFLevelEmbedding.Models GroupApproximation.SimpleKazhdanSofic.LEFLevelEmbedding.models_nonempty GroupApproximation.SimpleKazhdanSofic.LEFLevelEmbedding.Models.μ_one	There are finite groups $Q_k$ and maps $\mu_k\colon\Gamma\to Q_k$ that are injective on $\{1,\gamma_1,\dots,\gamma_k\}$ and preserve the products that stay in this set.
b4a7b7c6fe7a	499	502	LEF groups	proof	lem:nn	formalized	GroupApproximation.Full.SK09.tPerm GroupApproximation.Full.SK09.fPerm GroupApproximation.Full.SK09.pow_val_add_one GroupApproximation.Full.SKRoot.lem_nn	On $Q_k\times\Z/m_k$, with $m_k=|Q_k|$, let $t_k$ add $1$ to the second coordinate, and let $f_{jk}$ multiply the first coordinate of $(x,i)$ from the left by $\mu_k(\gamma_j)^i$, which is well defined because the order of $\mu_k(\gamma_j)$ divides $m_k$.
d00f0309aff7	502	504	LEF groups	proof	lem:nn	formalized	GroupApproximation.Full.SK09.commutator_fPerm_tPerm GroupApproximation.Full.SKRoot.lem_nn GroupApproximation.SimpleKazhdanSofic.printedCommutatorMultipliesFirstCoordinate GroupApproximation.LevelCommutatorWords.commutator_fPerm_tPerm	Then $[f_{jk},t_k]$ multiplies the first coordinate by $\mu_k(\gamma_j)$, as in the embedding of B.~H.~Neumann and H.~Neumann~\cite{NeumannNeumann}.
bfda87b78048	504	508	LEF groups	proof	lem:nn	formalized	GroupApproximation.Full.SK09.aPerm GroupApproximation.Full.SK09.bPerm GroupApproximation.Full.SK09.levelAction GroupApproximation.Full.SKRoot.lem_nn	On $Q_k\times\Z/m_k\times\Z/4^{k+1}$ let $b_k$ add $1$ to the last coordinate, and let $a_k$ act on the level $i$, the set of points with last coordinate $i$, by $f_{jk}$ if $i=2^{2j-1}$ and by $t_k$ if $i=4^j$, for $j\le k$, and trivially on the other levels.
e4fdf594781d	508	509	LEF groups	proof	lem:nn	formalized	GroupApproximation.Full.SK09.conjPow_aPerm_bPerm GroupApproximation.Full.SK09.shift_inv_mul_levelwise_mul_shift GroupApproximation.Full.SKRoot.lem_nn GroupApproximation.SimpleKazhdanSofic.printedConjugateMovesLevels GroupApproximation.LevelCommutatorWords.conjPow_aPerm_bPerm	Then $b_k^{-n}a_kb_k^n$ acts on the level $i$ as $a_k$ acts on the level $i+n$.
f5195da75a78	509	513	LEF groups	proof	lem:nn	formalized	GroupApproximation.Full.SK09.two_pow_sub_two_pow_inj GroupApproximation.Full.SK09.level_difference_zero GroupApproximation.Full.SKRoot.lem_nn	As distinct ordered pairs of distinct powers of $2$ have distinct nonzero differences, all of absolute value below a quarter of the modulus, the two conjugates in $w_j=[b^{-2^{2j-1}}ab^{2^{2j-1}},\,b^{-4^j}ab^{4^j}]$, evaluated at $(a_k,b_k)$, cannot both act nontrivially on a level other than $0$.
91ec6641e988	513	515	LEF groups	proof	lem:nn	formalized	GroupApproximation.Full.SK09.word_aPerm_bPerm GroupApproximation.Full.SK09.word GroupApproximation.Full.SKRoot.lem_nn	So $w_j(a_k,b_k)$ acts by $[f_{jk},t_k]$ on the level $0$ and trivially on the other levels, for $j\le k$.
ef91849e35eb	515	519	LEF groups	proof	lem:nn	formalized	GroupApproximation.Full.SK09.embedding GroupApproximation.Full.SK09.embedding_injective GroupApproximation.Full.SK09.Ultraproduct GroupApproximation.Full.SKRoot.lem_nn GroupApproximation.SimpleKazhdanSofic.LEFLevelEmbedding.embedding GroupApproximation.SimpleKazhdanSofic.LEFLevelEmbedding.embedding_injective GroupApproximation.AlgebraicUltraproduct.Ultraproduct	In the algebraic ultraproduct over $\omega$ of the symmetric groups of these sets, sending $\gamma$ to the class of the permutations multiplying the first coordinate on the level $0$ by $\mu_k(\gamma)$ and acting trivially elsewhere is a homomorphism, injective as $\mu_k(\gamma)\ne1$ for $\gamma\ne1$ and large $k$.
2c6ae3ce7655	519	521	LEF groups	proof	lem:nn	formalized	GroupApproximation.Full.SK09.embedding_γ GroupApproximation.Full.SK09.embeddingΔ_mem_commutator GroupApproximation.Full.SK09.Delta GroupApproximation.Full.SKRoot.lem_nn GroupApproximation.SimpleKazhdanSofic.LEFLevelEmbedding.embedding_γ GroupApproximation.SimpleKazhdanSofic.LEFLevelEmbedding.Delta GroupApproximation.SimpleKazhdanSofic.LEFLevelEmbedding.embeddingΔ_mem_commutator	It sends $\gamma_j$ to $w_j(a,b)$, where $a=(a_k)_k$ and $b=(b_k)_k$, so $\Gamma\le[\Delta,\Delta]$ for the group $\Delta$ generated by $a$ and $b$.
59fd8ce03585	522	524	LEF groups	proof	lem:nn	formalized	GroupApproximation.Full.SK09.isLEF_delta GroupApproximation.Full.SK09.infinite_delta GroupApproximation.Full.SKRoot.lem_nn	Finitely many equations and inequalities that hold in the ultraproduct hold in some coordinate, so $\Delta$ is LEF, and $\Delta$ is infinite because it contains $\Gamma$.
4e29f22e91ee	528	532	LEF groups	lemma	lem:host	definition	GroupApproximation.Full.SK10.lamplighterHostObjects GroupApproximation.Full.SKRoot.lem_host GroupApproximation.SimpleKazhdanSofic.Host.manuscriptSentence_hostDefinitions	For a finitely generated group $\Delta$, let $\Delta$ act on $\Omega=\F_2^{\Delta}$ by $(\delta x)(\eta)=x(\delta^{-1}\eta)$, let $\Lambda$ be the group of maps $x\mapsto\delta x+c$ with $\delta\in\Delta$ and $c$ finitely supported, and put $R_\Delta=\LC(\Omega,\F_2)\rtimes\Lambda$ and $G_\Delta=\EL_3(R_\Delta)$.
e20ebda53fb2	533	537	LEF groups	lemma	lem:host	formalized	GroupApproximation.Full.SK10.hostLemma GroupApproximation.Full.SK10.printedHostLemma GroupApproximation.Full.SKRoot.lem_host GroupApproximation.SimpleKazhdanSofic.Host.manuscriptSentence_hostLemma GroupApproximation.SimpleKazhdanSofic.Host.manuscriptSentence_commutatorContainment	If $\Delta$ is infinite and LEF, then $G_\Delta$ is an infinite, finitely generated, simple Kazhdan group and an expander limit of finite simple groups $\SL_{3N}(\F_2)$, and $\xi\mapsto\operatorname{diag}(u_\xi,1,1)$ embeds $[\Lambda,\Lambda]$, which contains $[\Delta,\Delta]$, in $G_\Delta$.
642a12a8acb2	541	542	LEF groups	proof	lem:host	formalized	GroupApproximation.Full.SK10.lamplighterMinimalTopologicallyFree GroupApproximation.Full.SKRoot.lem_host GroupApproximation.SimpleKazhdanSofic.Host.manuscriptSentence_lambdaGenerationDenseOrbits	The group $\Lambda$ is generated by $\Delta$ and the map $z$ adding $1$ at $e$, and its orbits contain the dense sets $x+\bigoplus_\Delta\F_2$.
ac91c158ed24	542	544	LEF groups	proof	lem:host	formalized	GroupApproximation.Full.SK10.lamplighterMinimalTopologicallyFree GroupApproximation.Full.SKRoot.lem_host GroupApproximation.SimpleKazhdanSofic.printedLamplighterMinimalTopologicallyFree GroupApproximation.SimpleKazhdanSofic.Lamplighter.smul_eq_self_iff	If $(\delta,c)\ne(e,0)$, the fixed points of $x\mapsto\delta x+c$ satisfy $x(\eta)=x(\delta^{-1}\eta)+c(\eta)$ for all $\eta$.
a8760ee6d3af	544	547	LEF groups	proof	lem:host	formalized	GroupApproximation.Full.SK10.lamplighterMinimalTopologicallyFree GroupApproximation.Full.SKRoot.lem_host GroupApproximation.SimpleKazhdanSofic.printedLamplighterMinimalTopologicallyFree GroupApproximation.SimpleKazhdanSofic.Lamplighter.exists_moved_of_cylinder	In every cylinder over a finite set $W$ this fails at some point, for $\eta\in\operatorname{supp}c$ if $\delta=e$ and for $\eta\notin W\cup\delta W\cup\operatorname{supp}c$ if $\delta\ne e$.
2bcb951d302e	547	548	LEF groups	proof	lem:host	formalized	GroupApproximation.Full.SK10.lamplighterMinimalTopologicallyFree GroupApproximation.Full.SKRoot.lem_host GroupApproximation.SimpleKazhdanSofic.printedLamplighterMinimalTopologicallyFree GroupApproximation.SimpleKazhdanSofic.Lamplighter.isMinimal GroupApproximation.SimpleKazhdanSofic.Lamplighter.isTopologicallyFree GroupApproximation.SimpleKazhdanSofic.IsTopologicallyFreeAction	So the action is minimal and topologically free.
485cb4234583	548	550	LEF groups	proof	lem:host	formalized	GroupApproximation.Full.SK10.lamplighterRingGeneration GroupApproximation.Full.SKRoot.lem_host GroupApproximation.SimpleKazhdanSofic.Host.manuscriptSentence_ringGenerators	The ring $R_\Delta$ is generated by $1$, the units $u_\xi^{\pm1}$ for $\xi$ in a finite generating set of $\Lambda$, and the indicator $e_U$ of $U=\{x:x(e)=1\}$.
bd0a4c539428	552	555	LEF groups	proof	lem:host	formalized	GroupApproximation.Full.SK10.lamplighterBallModels GroupApproximation.Full.SKRoot.lem_host GroupApproximation.SimpleKazhdanSofic.printedLamplighterBallModels GroupApproximation.SimpleKazhdanSofic.Lamplighter.IsBallModel GroupApproximation.SimpleKazhdanSofic.Lamplighter.exists_isBallModel GroupApproximation.SimpleKazhdanSofic.Lamplighter.BallModelSequence	Let $\sigma_n\colon\Delta\to Q'_n$ be finite models of $\Delta$ that are injective on the ball of radius $n$ and preserve the products that stay in it, with $\sigma_n(e)=e$ and $Q'_n$ generated by the images of the generators.
050966bf6f7c	555	559	LEF groups	proof	lem:host	definition	GroupApproximation.Full.SK10.lamplighterModelPermutations GroupApproximation.Full.SKRoot.lem_host GroupApproximation.SimpleKazhdanSofic.Host.manuscriptSentence_modelPermutations	To $\xi\colon x\mapsto\delta x+c$ in $\Lambda$ assign the permutation $p_\xi$ of $Y_n=\F_2^{Q'_n}$ given by $y\mapsto\sigma_n(\delta)y+\sum_{\eta\in\operatorname{supp}c}1_{\sigma_n(\eta)}$, where $(qy)(q')=y(q^{-1}q')$, and attach to $y$ the point $y\circ\sigma_n$ of $\Omega$.
1d5467454e25	559	563	LEF groups	proof	lem:host	formalized	GroupApproximation.Full.SK10.lamplighterModelActionAsymptotics GroupApproximation.Full.SKRoot.lem_host	For fixed $\xi,\xi'\in\Lambda$ and large $n$ we have $p_\xi p_{\xi'}=p_{\xi\xi'}$, and for every finite $W\subseteq\Delta$ and large $n$ the attached points satisfy $(p_\xi y)\circ\sigma_n=\xi(y\circ\sigma_n)$ on $W$ for all $y$, since $\sigma_n$ respects the finitely many products and inequalities involved.
