META 5 31 1,1,2,1
CELL 0 1 24
STAB 0 1 1 2,1,7,4,5,6,3,10,9,8,12,11,13,16,15,14,21,22,20,19,17,18,23,25,24,29,28,27,26,31,30
STAB 0 1 1 2,1,4,7,15,3,6,16,9,8,21,22,24,10,5,14,12,11,17,18,20,19,25,23,13,29,27,28,30,31,26
STAB 0 1 1 2,1,3,6,5,4,7,16,9,14,19,20,23,10,15,8,18,17,11,12,22,21,13,24,25,31,28,27,30,29,26
STAB 0 1 1 2,1,6,3,15,7,4,10,9,14,18,17,25,16,5,8,19,20,22,21,11,12,24,13,23,31,27,28,26,29,30
STAB 0 1 1 3,7,6,2,9,1,4,17,15,22,16,10,28,18,5,21,20,19,14,8,11,12,27,23,13,30,24,25,26,29,31
STAB 0 1 1 3,7,4,1,9,2,6,18,15,21,8,14,27,17,5,22,12,11,10,16,19,20,28,13,23,29,24,25,31,30,26
STAB 0 1 1 3,7,2,6,5,4,1,18,15,22,20,19,13,17,9,21,16,10,11,12,14,8,23,27,28,30,25,24,31,29,26
STAB 0 1 1 3,7,1,4,5,6,2,17,15,21,12,11,23,18,9,22,8,14,19,20,10,16,13,28,27,29,25,24,26,30,31
STAB 0 1 1 4,6,7,2,9,1,3,11,5,20,16,10,27,12,15,19,22,21,8,14,17,18,28,24,25,30,23,13,26,31,29
STAB 0 1 1 4,6,3,1,9,2,7,12,5,19,14,8,28,11,15,20,18,17,10,16,21,22,27,25,24,31,23,13,29,30,26
STAB 0 1 1 4,6,2,7,15,3,1,12,5,20,22,21,25,11,9,19,16,10,17,18,8,14,24,28,27,30,13,23,29,31,26
STAB 0 1 1 4,6,1,3,15,7,2,11,5,19,18,17,24,12,9,20,14,8,21,22,10,16,25,27,28,31,13,23,26,30,29
STAB 0 1 1 1,2,7,6,5,4,3,14,9,16,20,19,23,8,15,10,22,21,12,11,18,17,13,25,24,30,27,28,31,26,29
STAB 0 1 1 1,2,6,7,15,3,4,8,9,16,22,21,24,14,5,10,20,19,18,17,12,11,25,13,23,30,28,27,29,26,31
STAB 0 1 1 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
STAB 0 1 1 1,2,4,3,15,7,6,14,9,10,17,18,25,8,5,16,11,12,21,22,19,20,24,23,13,26,28,27,31,30,29
STAB 0 1 1 6,4,7,1,9,2,3,19,5,12,8,14,28,20,15,11,21,22,16,10,18,17,27,24,25,29,13,23,31,26,30
STAB 0 1 1 6,4,1,7,15,3,2,20,5,12,21,22,25,19,9,11,8,14,18,17,16,10,24,27,28,29,23,13,30,26,31
STAB 0 1 1 6,4,3,2,9,1,7,20,5,11,10,16,27,19,15,12,17,18,14,8,22,21,28,25,24,26,13,23,30,29,31
STAB 0 1 1 6,4,2,3,15,7,1,19,5,11,17,18,24,20,9,12,10,16,22,21,14,8,25,28,27,26,23,13,31,29,30
STAB 0 1 1 7,3,6,1,9,2,4,21,15,18,14,8,27,22,5,17,19,20,16,10,12,11,28,23,13,31,25,24,29,26,30
STAB 0 1 1 7,3,1,6,5,4,2,22,15,18,19,20,13,21,9,17,14,8,12,11,16,10,23,28,27,31,24,25,30,26,29
STAB 0 1 1 7,3,4,2,9,1,6,22,15,17,10,16,28,21,5,18,11,12,8,14,20,19,27,13,23,26,25,24,30,31,29
STAB 0 1 1 7,3,2,4,5,6,1,21,15,17,11,12,23,22,9,18,10,16,20,19,8,14,13,27,28,26,24,25,29,31,30
CELL 1 1 8
STAB 1 1 1 1,2,7,6,5,4,3,14,9,16,20,19,23,8,15,10,22,21,12,11,18,17,13,25,24,30,27,28,31,26,29
STAB 1 1 -1 1,9,7,3,10,4,6,14,2,15,17,25,18,8,16,5,22,24,13,11,23,20,12,19,21,28,26,30,29,27,31
STAB 1 1 1 1,2,6,7,15,3,4,8,9,16,22,21,24,14,5,10,20,19,18,17,12,11,25,13,23,30,28,27,29,26,31
STAB 1 1 -1 1,9,6,4,10,3,7,8,2,5,11,13,12,14,16,15,20,23,25,17,24,22,18,21,19,27,26,30,31,28,29
STAB 1 1 -1 1,9,3,7,16,6,4,8,2,15,22,24,21,14,10,5,17,25,23,20,13,11,19,12,18,28,30,26,31,27,29
STAB 1 1 1 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
STAB 1 1 -1 1,9,4,6,16,7,3,14,2,5,20,23,19,8,10,15,11,13,24,22,25,17,21,18,12,27,30,26,29,28,31
STAB 1 1 1 1,2,4,3,15,7,6,14,9,10,17,18,25,8,5,16,11,12,21,22,19,20,24,23,13,26,28,27,31,30,29
BOUND 1 1 1 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
BOUND 1 1 -1 1,9,6,4,10,3,7,8,2,5,11,13,12,14,16,15,20,23,25,17,24,22,18,21,19,27,26,30,31,28,29
CELL 2 1 24
STAB 2 1 -1 2,1,7,4,5,6,3,10,9,8,12,11,13,16,15,14,21,22,20,19,17,18,23,25,24,29,28,27,26,31,30
STAB 2 1 1 2,9,7,3,14,6,4,10,1,15,18,25,17,16,8,5,21,24,23,19,13,12,20,11,22,27,31,29,30,28,26
STAB 2 1 -1 2,1,4,7,15,3,6,16,9,8,21,22,24,10,5,14,12,11,17,18,20,19,25,23,13,29,27,28,30,31,26
STAB 2 1 1 2,9,4,6,14,3,7,16,1,5,19,23,20,10,8,15,12,13,25,18,24,21,17,22,11,28,31,29,26,27,30
STAB 2 1 1 2,9,3,7,8,4,6,16,1,15,21,24,22,10,14,5,18,25,13,12,23,19,11,20,17,27,29,31,26,28,30
STAB 2 1 -1 2,1,3,6,5,4,7,16,9,14,19,20,23,10,15,8,18,17,11,12,22,21,13,24,25,31,28,27,30,29,26
