META 7 57 1,1,2,1
CELL 0 1 24
STAB 0 1 1 2,1,7,4,5,6,3,10,9,8,12,11,13,16,15,14,21,22,20,19,17,18,23,25,24,37,32,29,28,30,31,27,34,33,36,35,26,41,40,39,38,43,42,47,46,45,44,49,48,51,50,53,52,55,54,57,56
STAB 0 1 1 2,1,4,7,15,3,6,16,9,8,21,22,24,10,5,14,12,11,17,18,20,19,25,23,13,37,29,32,27,34,33,28,30,31,48,38,53,42,40,54,35,49,41,51,44,57,46,43,36,47,56,26,52,55,39,45,50
STAB 0 1 1 2,1,3,6,5,4,7,16,9,14,19,20,23,10,15,8,18,17,11,12,22,21,13,24,25,52,32,29,28,31,30,27,33,34,42,43,53,48,55,54,49,35,36,57,50,51,56,38,41,45,46,26,37,40,39,47,44
STAB 0 1 1 2,1,6,3,15,7,4,10,9,14,18,17,25,16,5,8,19,20,22,21,11,12,24,13,23,52,29,32,27,33,34,28,31,30,41,49,26,36,55,39,43,38,48,45,56,47,50,35,42,57,44,53,37,40,54,51,46
STAB 0 1 1 3,7,6,2,9,1,4,17,15,22,16,10,28,18,5,21,20,19,14,8,11,12,29,31,30,53,24,33,34,32,27,25,13,23,43,35,26,48,44,56,41,42,36,45,39,54,51,49,38,40,55,52,37,57,47,50,46
STAB 0 1 1 3,7,4,1,9,2,6,18,15,21,8,14,29,17,5,22,12,11,10,16,19,20,28,30,31,37,24,33,34,27,32,25,23,13,36,42,52,38,57,47,49,35,43,50,55,40,46,41,48,54,39,26,53,44,56,45,51
STAB 0 1 1 3,7,2,6,5,4,1,18,15,22,20,19,30,17,9,21,16,10,11,12,14,8,31,29,28,53,33,24,25,13,23,34,32,27,38,41,52,36,44,47,35,49,48,40,51,50,39,42,43,45,46,26,37,57,56,54,55
STAB 0 1 1 3,7,1,4,5,6,2,17,15,21,12,11,31,18,9,22,8,14,19,20,10,16,30,28,29,37,33,24,25,23,13,34,27,32,48,49,26,43,57,56,42,41,38,54,46,45,55,35,36,50,51,52,53,44,47,40,39
STAB 0 1 1 4,6,7,2,9,1,3,11,5,20,16,10,27,12,15,19,22,21,8,14,17,18,32,34,33,53,23,30,31,29,28,13,25,24,38,49,26,42,50,46,36,48,41,47,39,54,57,35,43,55,40,37,52,51,45,44,56
STAB 0 1 1 4,6,3,1,9,2,7,12,5,19,14,8,32,11,15,20,18,17,10,16,21,22,27,33,34,52,23,30,31,28,29,13,24,25,41,48,37,43,51,45,35,49,38,44,40,55,56,36,42,54,39,26,53,50,46,47,57
STAB 0 1 1 4,6,2,7,15,3,1,12,5,20,22,21,33,11,9,19,16,10,17,18,8,14,34,32,27,53,30,23,13,25,24,31,29,28,43,36,37,41,50,45,49,35,42,55,57,44,39,48,38,47,56,26,52,51,46,54,40
STAB 0 1 1 4,6,1,3,15,7,2,11,5,19,18,17,34,12,9,20,14,8,21,22,10,16,33,27,32,52,30,23,13,24,25,31,28,29,42,35,26,38,51,46,48,36,43,54,56,47,40,49,41,44,57,37,53,50,45,55,39
STAB 0 1 1 1,2,7,6,5,4,3,14,9,16,20,19,23,8,15,10,22,21,12,11,18,17,13,25,24,53,27,28,29,31,30,32,34,33,43,42,52,49,54,55,48,36,35,56,51,50,57,41,38,46,45,37,26,39,40,44,47
STAB 0 1 1 1,2,6,7,15,3,4,8,9,16,22,21,24,14,5,10,20,19,18,17,12,11,25,13,23,53,28,27,32,34,33,29,31,30,38,48,37,35,54,40,42,41,49,46,57,44,51,36,43,56,47,52,26,39,55,50,45
STAB 0 1 1 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57
STAB 0 1 1 1,2,4,3,15,7,6,14,9,10,17,18,25,8,5,16,11,12,21,22,19,20,24,23,13,26,28,27,32,33,34,29,30,31,49,41,52,43,39,55,36,48,38,50,47,56,45,42,35,44,57,37,53,54,40,46,51
STAB 0 1 1 6,4,7,1,9,2,3,19,5,12,8,14,32,20,15,11,21,22,16,10,18,17,27,34,33,37,13,31,30,28,29,23,25,24,48,41,52,35,45,51,43,38,49,56,55,40,44,42,36,39,54,53,26,46,50,57,47
STAB 0 1 1 6,4,1,7,15,3,2,20,5,12,21,22,33,19,9,11,8,14,18,17,16,10,34,27,32,37,31,13,23,25,24,30,28,29,36,43,53,49,45,50,41,42,35,39,44,57,55,38,48,56,47,52,26,46,51,40,54
STAB 0 1 1 6,4,3,2,9,1,7,20,5,11,10,16,27,19,15,12,17,18,14,8,22,21,32,33,34,26,13,31,30,29,28,23,24,25,49,38,53,36,46,50,42,41,48,57,54,39,47,43,35,40,55,52,37,45,51,56,44
STAB 0 1 1 6,4,2,3,15,7,1,19,5,11,17,18,34,20,9,12,10,16,22,21,14,8,33,32,27,26,31,13,23,24,25,30,29,28,35,42,52,48,46,51,38,43,36,40,47,56,54,41,49,57,44,53,37,45,50,39,55
STAB 0 1 1 7,3,6,1,9,2,4,21,15,18,14,8,29,22,5,17,19,20,16,10,12,11,28,31,30,52,25,34,33,27,32,24,13,23,42,36,37,49,47,57,38,43,35,46,40,55,50,48,41,39,54,53,26,56,44,51,45
STAB 0 1 1 7,3,1,6,5,4,2,22,15,18,19,20,30,21,9,17,14,8,12,11,16,10,31,28,29,52,34,25,24,13,23,33,27,32,41,38,53,35,47,44,36,48,49,39,50,51,40,43,42,46,45,37,26,56,57,55,54
STAB 0 1 1 7,3,4,2,9,1,6,22,15,17,10,16,28,21,5,18,11,12,8,14,20,19,29,30,31,26,25,34,33,32,27,24,23,13,35,43,53,41,56,44,48,36,42,51,54,39,45,38,49,55,40,37,52,47,57,46,50
STAB 0 1 1 7,3,2,4,5,6,1,21,15,17,11,12,31,22,9,18,10,16,20,19,8,14,30,29,28,26,34,25,24,23,13,33,32,27,49,48,37,42,56,57,43,38,41,55,45,46,54,36,35,51,50,53,52,47,44,39,40
CELL 1 1 8
STAB 1 1 1 1,2,7,6,5,4,3,14,9,16,20,19,23,8,15,10,22,21,12,11,18,17,13,25,24,53,27,28,29,31,30,32,34,33,43,42,52,49,54,55,48,36,35,56,51,50,57,41,38,46,45,37,26,39,40,44,47
STAB 1 1 -1 1,9,7,3,10,4,6,14,2,15,17,25,18,8,16,5,22,24,13,11,23,20,12,19,21,28,26,53,54,49,35,39,38,43,33,41,55,31,29,52,48,36,30,57,44,45,56,42,34,47,50,40,27,32,37,51,46
STAB 1 1 1 1,2,6,7,15,3,4,8,9,16,22,21,24,14,5,10,20,19,18,17,12,11,25,13,23,53,28,27,32,34,33,29,31,30,38,48,37,35,54,40,42,41,49,46,57,44,51,36,43,56,47,52,26,39,55,50,45
STAB 1 1 -1 1,9,6,4,10,3,7,8,2,5,11,13,12,14,16,15,20,23,25,17,24,22,18,21,19,27,26,53,54,35,49,39,43,38,30,36,40,34,32,37,42,41,33,51,50,47,46,48,31,45,44,55,28,29,52,57,56
STAB 1 1 -1 1,9,3,7,16,6,4,8,2,15,22,24,21,14,10,5,17,25,23,20,13,11,19,12,18,28,53,26,39,38,43,54,49,35,34,48,40,30,29,37,41,42,31,47,56,51,44,36,33,57,46,55,27,32,52,45,50
STAB 1 1 1 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57
STAB 1 1 -1 1,9,4,6,16,7,3,14,2,5,20,23,19,8,10,15,11,13,24,22,25,17,21,18,12,27,53,26,39,43,38,54,35,49,31,42,55,33,32,52,36,48,34,45,46,57,50,41,30,51,56,40,28,29,37,47,44
STAB 1 1 1 1,2,4,3,15,7,6,14,9,10,17,18,25,8,5,16,11,12,21,22,19,20,24,23,13,26,28,27,32,33,34,29,30,31,49,41,52,43,39,55,36,48,38,50,47,56,45,42,35,44,57,37,53,54,40,46,51
BOUND 1 1 1 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57
BOUND 1 1 -1 1,9,6,4,10,3,7,8,2,5,11,13,12,14,16,15,20,23,25,17,24,22,18,21,19,27,26,53,54,35,49,39,43,38,30,36,40,34,32,37,42,41,33,51,50,47,46,48,31,45,44,55,28,29,52,57,56
CELL 2 1 24
STAB 2 1 -1 2,1,7,4,5,6,3,10,9,8,12,11,13,16,15,14,21,22,20,19,17,18,23,25,24,37,32,29,28,30,31,27,34,33,36,35,26,41,40,39,38,43,42,47,46,45,44,49,48,51,50,53,52,55,54,57,56
STAB 2 1 1 2,9,7,3,14,6,4,10,1,15,18,25,17,16,8,5,21,24,23,19,13,12,20,11,22,29,52,37,40,41,42,55,48,36,33,49,39,30,28,26,38,43,31,44,57,50,47,35,34,56,45,54,32,27,53,46,51
STAB 2 1 -1 2,1,4,7,15,3,6,16,9,8,21,22,24,10,5,14,12,11,17,18,20,19,25,23,13,37,29,32,27,34,33,28,30,31,48,38,53,42,40,54,35,49,41,51,44,57,46,43,36,47,56,26,52,55,39,45,50
STAB 2 1 1 2,9,4,6,14,3,7,16,1,5,19,23,20,10,8,15,12,13,25,18,24,21,17,22,11,32,52,37,40,42,41,55,36,48,31,43,54,34,27,53,35,49,33,46,45,56,51,38,30,50,57,39,29,28,26,44,47
STAB 2 1 1 2,9,3,7,8,4,6,16,1,15,21,24,22,10,14,5,18,25,13,12,23,19,11,20,17,29,37,52,55,48,36,40,41,42,34,38,54,31,28,53,49,35,30,56,47,46,57,43,33,44,51,39,32,27,26,50,45
STAB 2 1 -1 2,1,3,6,5,4,7,16,9,14,19,20,23,10,15,8,18,17,11,12,22,21,13,24,25,52,32,29,28,31,30,27,33,34,42,43,53,48,55,54,49,35,36,57,50,51,56,38,41,45,46,26,37,40,39,47,44
STAB 2 1 1 2,9,6,4,8,7,3,10,1,5,12,13,11,16,14,15,19,23,24,21,25,18,22,17,20,32,37,52,55,36,48,40,42,41,30,35,39,33,27,26,43,38,34,50,51,44,45,49,31,46,47,54,29,28,53,56,57
STAB 2 1 -1 2,1,6,3,15,7,4,10,9,14,18,17,25,16,5,8,19,20,22,21,11,12,24,13,23,52,29,32,27,33,34,28,31,30,41,49,26,36,55,39,43,38,48,45,56,47,50,35,42,57,44,53,37,40,54,51,46
STAB 2 1 1 1,2,7,6,5,4,3,14,9,16,20,19,23,8,15,10,22,21,12,11,18,17,13,25,24,53,27,28,29,31,30,32,34,33,43,42,52,49,54,55,48,36,35,56,51,50,57,41,38,46,45,37,26,39,40,44,47
STAB 2 1 -1 1,9,7,3,10,4,6,14,2,15,17,25,18,8,16,5,22,24,13,11,23,20,12,19,21,28,26,53,54,49,35,39,38,43,33,41,55,31,29,52,48,36,30,57,44,45,56,42,34,47,50,40,27,32,37,51,46
STAB 2 1 1 1,2,6,7,15,3,4,8,9,16,22,21,24,14,5,10,20,19,18,17,12,11,25,13,23,53,28,27,32,34,33,29,31,30,38,48,37,35,54,40,42,41,49,46,57,44,51,36,43,56,47,52,26,39,55,50,45
STAB 2 1 -1 1,9,6,4,10,3,7,8,2,5,11,13,12,14,16,15,20,23,25,17,24,22,18,21,19,27,26,53,54,35,49,39,43,38,30,36,40,34,32,37,42,41,33,51,50,47,46,48,31,45,44,55,28,29,52,57,56
STAB 2 1 -1 1,9,3,7,16,6,4,8,2,15,22,24,21,14,10,5,17,25,23,20,13,11,19,12,18,28,53,26,39,38,43,54,49,35,34,48,40,30,29,37,41,42,31,47,56,51,44,36,33,57,46,55,27,32,52,45,50
STAB 2 1 1 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57
STAB 2 1 -1 1,9,4,6,16,7,3,14,2,5,20,23,19,8,10,15,11,13,24,22,25,17,21,18,12,27,53,26,39,43,38,54,35,49,31,42,55,33,32,52,36,48,34,45,46,57,50,41,30,51,56,40,28,29,37,47,44
STAB 2 1 1 1,2,4,3,15,7,6,14,9,10,17,18,25,8,5,16,11,12,21,22,19,20,24,23,13,26,28,27,32,33,34,29,30,31,49,41,52,43,39,55,36,48,38,50,47,56,45,42,35,44,57,37,53,54,40,46,51
STAB 2 1 -1 9,2,7,6,14,3,4,5,1,16,23,19,20,15,8,10,24,21,18,25,12,13,17,11,22,54,55,40,37,42,41,52,48,36,43,31,32,35,53,27,34,33,49,51,56,45,46,30,38,57,50,29,39,26,28,47,44
STAB 2 1 1 9,1,7,4,10,3,6,5,2,8,13,11,12,15,16,14,24,22,17,25,20,23,18,19,21,40,39,54,53,35,49,26,38,43,36,30,27,42,37,32,34,33,41,46,47,50,51,31,48,44,45,28,55,52,29,56,57
STAB 2 1 -1 9,2,6,7,8,4,3,15,1,16,24,21,22,5,14,10,23,19,12,13,18,25,11,17,20,54,40,55,52,48,36,37,42,41,38,34,29,49,53,28,31,30,35,57,46,47,56,33,43,51,44,32,39,26,27,45,50
STAB 2 1 1 9,1,6,3,10,4,7,15,2,14,25,17,18,5,16,8,23,20,11,13,22,24,12,21,19,55,39,54,53,49,35,26,43,38,41,33,28,48,52,29,31,30,36,56,45,44,57,34,42,50,47,27,40,37,32,46,51
STAB 2 1 1 9,1,4,7,16,6,3,15,2,8,24,22,21,5,10,14,13,11,20,23,17,25,19,18,12,40,54,39,26,38,43,53,35,49,48,34,28,41,37,29,30,31,42,44,51,56,47,33,36,46,57,27,55,52,32,50,45
STAB 2 1 -1 9,2,4,3,14,6,7,15,1,10,25,18,17,5,8,16,13,12,19,23,21,24,20,22,11,39,55,40,37,41,42,52,36,48,49,33,29,38,26,28,30,31,43,47,50,57,44,34,35,45,56,32,54,53,27,51,46
STAB 2 1 1 9,1,3,6,16,7,4,5,2,14,23,20,19,15,10,8,25,17,22,24,11,13,21,12,18,55,54,39,26,43,38,53,49,35,42,31,27,36,52,32,33,34,48,50,57,46,45,30,41,56,51,28,40,37,29,44,47
STAB 2 1 -1 9,2,3,4,8,7,6,5,1,10,13,12,11,15,14,16,25,18,21,24,19,23,22,20,17,39,40,55,52,36,48,37,41,42,35,30,32,43,26,27,33,34,38,45,44,51,50,31,49,47,46,29,54,53,28,57,56
BOUND 2 1 1 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57
BOUND 2 1 -1 2,1,7,4,5,6,3,10,9,8,12,11,13,16,15,14,21,22,20,19,17,18,23,25,24,37,32,29,28,30,31,27,34,33,36,35,26,41,40,39,38,43,42,47,46,45,44,49,48,51,50,53,52,55,54,57,56
BOUND 2 1 -1 9,2,3,4,8,7,6,5,1,10,13,12,11,15,14,16,25,18,21,24,19,23,22,20,17,39,40,55,52,36,48,37,41,42,35,30,32,43,26,27,33,34,38,45,44,51,50,31,49,47,46,29,54,53,28,57,56
CELL 2 2 12
STAB 2 2 1 3,4,6,9,2,1,7,17,10,11,5,15,26,25,16,13,20,23,14,8,22,24,39,43,38,27,12,49,35,54,53,18,21,19,31,34,28,36,47,45,41,42,48,56,29,32,46,33,30,37,52,55,40,50,44,57,51
STAB 2 2 1 3,11,6,5,10,1,7,17,2,4,9,26,15,34,27,12,20,46,36,8,48,33,32,21,19,16,13,50,40,28,29,47,43,38,45,25,54,14,18,31,41,42,22,52,53,39,23,24,37,30,56,57,35,49,51,55,44
STAB 2 2 -1 3,10,1,9,11,6,7,17,4,2,5,26,15,25,13,16,8,39,38,20,43,24,23,22,14,12,27,40,50,31,30,47,48,36,54,34,45,19,18,28,42,41,21,52,37,46,32,33,53,29,56,44,49,35,55,51,57
STAB 2 2 -1 3,2,1,5,4,6,7,17,11,10,9,15,26,34,12,27,8,32,19,20,21,33,46,48,36,13,16,35,49,45,37,18,22,14,28,25,31,38,47,54,42,41,43,56,30,23,39,24,29,53,52,51,50,40,57,44,55
STAB 2 2 -1 1,5,6,11,2,3,7,8,10,9,4,12,13,36,27,26,20,46,34,17,33,48,47,43,38,16,15,29,28,40,50,32,21,19,37,14,35,25,39,30,42,41,24,44,49,18,23,22,45,31,51,57,54,53,56,55,52
STAB 2 2 -1 1,9,6,4,10,3,7,8,2,5,11,13,12,14,16,15,20,23,25,17,24,22,18,21,19,27,26,53,54,35,49,39,43,38,30,36,40,34,32,37,42,41,33,51,50,47,46,48,31,45,44,55,28,29,52,57,56
