30_30 10 R=6 census_30_30.json 10 certificate OK: 250 leaves, 4242 product steps; Gamma^+ is not left-orderable
30_30 16 R=4 census_30_30.json 16 certificate OK: 8 leaves, 104 product steps; Gamma^+ is not left-orderable
40_30 16 R=6 census_40_30.json 16 certificate OK: 8 leaves, 101 product steps; Gamma^+ is not left-orderable
40_30 23 R=4 census_40_30.json 23 certificate OK: 8 leaves, 90 product steps; Gamma^+ is not left-orderable
40_30 59 R=6 census_40_30.json 59 certificate OK: 42 leaves, 1207 product steps; Gamma^+ is not left-orderable
40_30 60 R=6 census_40_30.json 60 certificate OK: 42 leaves, 1212 product steps; Gamma^+ is not left-orderable
40_30 70 R=4 census_40_30.json 70 certificate OK: 8 leaves, 180 product steps; Gamma^+ is not left-orderable
40_30 72 R=4 census_40_30.json 72 certificate OK: 8 leaves, 58 product steps; Gamma^+ is not left-orderable
40_30 74 R=6 census_40_30.json 74 certificate OK: 8 leaves, 109 product steps; Gamma^+ is not left-orderable
40_30 75 R=6 census_40_30.json 75 certificate OK: 8 leaves, 109 product steps; Gamma^+ is not left-orderable
40_30 76 R=6 census_40_30.json 76 certificate OK: 8 leaves, 89 product steps; Gamma^+ is not left-orderable
40_30 77 R=6 census_40_30.json 77 certificate OK: 12 leaves, 201 product steps; Gamma^+ is not left-orderable
40_30 80 R=6 census_40_30.json 80 certificate OK: 12 leaves, 201 product steps; Gamma^+ is not left-orderable
40_30 81 R=6 census_40_30.json 81 certificate OK: 8 leaves, 109 product steps; Gamma^+ is not left-orderable
40_30 86 R=6 census_40_30.json 86 certificate OK: 12 leaves, 274 product steps; Gamma^+ is not left-orderable
40_30 103 R=6 census_40_30.json 103 certificate OK: 12 leaves, 323 product steps; Gamma^+ is not left-orderable
40_30 106 R=6 census_40_30.json 106 certificate OK: 30 leaves, 806 product steps; Gamma^+ is not left-orderable
40_30 116 R=4 census_40_30.json 116 certificate OK: 6 leaves, 167 product steps; Gamma^+ is not left-orderable
40_30 117 R=4 census_40_30.json 117 certificate OK: 8 leaves, 94 product steps; Gamma^+ is not left-orderable
40_30 118 R=4 census_40_30.json 118 certificate OK: 8 leaves, 94 product steps; Gamma^+ is not left-orderable
40_30 119 R=4 census_40_30.json 119 certificate OK: 8 leaves, 172 product steps; Gamma^+ is not left-orderable
40_30 155 R=4 census_40_30.json 155 certificate OK: 8 leaves, 152 product steps; Gamma^+ is not left-orderable
40_40 57 R=4 census_40_40.json 57 certificate OK: 162 leaves, 2615 product steps; Gamma^+ is not left-orderable
40_40 59 R=4 census_40_40.json 59 certificate OK: 98 leaves, 1340 product steps; Gamma^+ is not left-orderable
40_40 61 R=4 census_40_40.json 61 certificate OK: 22 leaves, 347 product steps; Gamma^+ is not left-orderable
40_40 117 R=4 census_40_40.json 117 certificate OK: 8 leaves, 94 product steps; Gamma^+ is not left-orderable
40_40 126 R=4 census_40_40.json 126 certificate OK: 10 leaves, 212 product steps; Gamma^+ is not left-orderable
40_40 127 R=4 census_40_40.json 127 certificate OK: 8 leaves, 161 product steps; Gamma^+ is not left-orderable
40_40 128 R=4 census_40_40.json 128 certificate OK: 10 leaves, 231 product steps; Gamma^+ is not left-orderable
40_40 140 R=4 census_40_40.json 140 certificate OK: 10 leaves, 221 product steps; Gamma^+ is not left-orderable
40_40 221 R=4 census_40_40.json 221 certificate OK: 10 leaves, 158 product steps; Gamma^+ is not left-orderable
40_40 226 R=4 census_40_40.json 226 certificate OK: 154 leaves, 3359 product steps; Gamma^+ is not left-orderable
40_40 227 R=4 census_40_40.json 227 certificate OK: 8 leaves, 85 product steps; Gamma^+ is not left-orderable
40_40 229 R=4 census_40_40.json 229 certificate OK: 8 leaves, 85 product steps; Gamma^+ is not left-orderable
40_40 235 R=4 census_40_40.json 235 certificate OK: 16 leaves, 260 product steps; Gamma^+ is not left-orderable
40_40 241 R=4 census_40_40.json 241 certificate OK: 168 leaves, 2190 product steps; Gamma^+ is not left-orderable
40_40 259 R=4 census_40_40.json 259 certificate OK: 24 leaves, 331 product steps; Gamma^+ is not left-orderable
40_40 267 R=4 census_40_40.json 267 certificate OK: 118 leaves, 1217 product steps; Gamma^+ is not left-orderable
40_40 306 R=4 census_40_40.json 306 certificate OK: 156 leaves, 3421 product steps; Gamma^+ is not left-orderable
40_40 312 R=4 census_40_40.json 312 certificate OK: 154 leaves, 2732 product steps; Gamma^+ is not left-orderable
40_40 313 R=4 census_40_40.json 313 certificate OK: 10 leaves, 130 product steps; Gamma^+ is not left-orderable
40_40 314 R=4 census_40_40.json 314 certificate OK: 10 leaves, 130 product steps; Gamma^+ is not left-orderable
