OVERFLOW active=3001 total=3672
  dd -> 1
  cc -> 1
  bb -> 1
  aa -> 1
  Tt -> 1
  tT -> 1
  D -> d
  C -> c
  B -> b
  A -> a
  cd -> b
  bc -> d
  cb -> d
  bd -> c
  dc -> b
  td -> bt
  Tb -> dT
  tc -> dt
  Td -> cT
  tb -> ct
  Tc -> bT
  db -> c
  dada -> adad
  cadad -> bada
  badad -> cada
  Tat -> aca
  tac -> ata
  Tadad -> cTada
  tadad -> btada
  cadac -> badab
  cadab -> badac
  Tact -> acab
  Tadt -> acac
  Tabt -> acad
  atab -> tad
  atad -> tab
  tabada -> abtad
  cTadab -> Tadac
  cTadac -> Tadab
  btadab -> tadac
  btadac -> tadab
  dTadab -> bTadac
  dtadac -> ctadab
  dTadac -> bTadab
  dtadab -> ctadac
  caT -> aTa
  adabaT -> dadTa
  Tacata -> acabac
  Tadata -> acacac
  Tabata -> abadab
  adadtab -> dadtad
  abtada -> tabad
  adadtad -> dadtab
  tabadtab -> abtadtad
  tabadtad -> abtadtab
  abadacada -> Tababtad
  acacabada -> Tadabtad
  acababada -> Tacabtad
  bTTadab -> TTadac
  bTTadac -> TTadab
  cttadab -> ttadac
  cttadac -> ttadab
  dTTadac -> cTTadab
  dttadab -> bttadac
  dTTadab -> cTTadac
  dttadac -> bttadab
  daTa -> baT
  baTa -> daT
  TaTa -> bTaT
  cabT -> aTac
  cacT -> aTad
  taTa -> dtaT
  cadT -> aTab
  adadTa -> dabaT
  adababT -> dadTac
  adabacT -> dadTad
  adabadT -> dadTab
  tababaT -> abtadTa
  acabactad -> Tacattab
  acabactab -> Tacattad
  TacabtadTa -> acabababaT
  acacactad -> Tadattab
  acacactab -> Tadattad
  TadabtadTa -> acacababaT
  abadabtad -> Tabattab
  abadabtab -> Tabattad
  TababtadTa -> abadacabaT
  Tababtadtad -> abadacadtab
  Tadabtadtad -> acacabadtab
  Tacabtadtad -> acababadtab
  tadtada -> attabad
  badactada -> cadtabad
  dadtabad -> adactada
  tadactada -> btadtabad
  Tadactada -> aTadactad
