OVERFLOW active=3001 total=3198
  Tt -> 1
  tT -> 1
  Aa -> 1
  aA -> 1
  TTat -> aaT
  att -> ttaa
  taaT -> Tat
  aaTT -> TTa
  TTaTat -> aaTaaT
  taaaaT -> Taat
  TTaat -> aaaaT
  TTaaTat -> aaaaTaaT
  TTaTaTat -> aaTaaTaaT
  TTaTaat -> aaTaaaaT
  taaaaaaT -> Taaat
  TTaTaTaat -> aaTaaTaaaaT
  ATT -> aTTA
  TTaaat -> aaaaaaT
  taaaaaaaaT -> Taaaat
  TTaaTaat -> aaaaTaaaaT
  taTAtaTAt -> TatAtATAta
  taTAtaTATat -> TatAtATAtaaaT
  taTAtaTATaat -> TatAtATAtaaaaaT
  taTAtaTATaTat -> TatAtATAtaaaTaaT
  Att -> ttAA
  TTaaaTat -> aaaaaaTaaT
  TTaTaaTat -> aaTaaaaTaaT
  TTaaTaTat -> aaaaTaaTaaT
  TTaaTaTaat -> aaaaTaaTaaaaT
  TTaTaTaTat -> aaTaaTaaTaaT
  TTaTaTaTaat -> aaTaaTaaTaaaaT
  TTaTaaTaat -> aaTaaaaTaaaaT
  TTaTaaat -> aaTaaaaaaT
  TTaaTaaat -> aaaaTaaaaaaT
  taaaaaaaaaaT -> Taaaaat
  TTaTaTaaat -> aaTaaTaaaaaaT
  TTaTaaTaaat -> aaTaaaaTaaaaaaT
  TTaaTaTaaat -> aaaaTaaTaaaaaaT
  TTaTaTaTaaat -> aaTaaTaaTaaaaaaT
  TTaTaTaaTat -> aaTaaTaaaaTaaT
  TTaTaTaaTaat -> aaTaaTaaaaTaaaaT
  TTaTaTaaTaaat -> aaTaaTaaaaTaaaaaaT
  TTaaaat -> aaaaaaaaT
  TTaaaTaat -> aaaaaaTaaaaT
  taaaaaaaaaaaaT -> Taaaaaat
  TTaaaTaaat -> aaaaaaTaaaaaaT
  TTaTaaaat -> aaTaaaaaaaaT
  TTaaTaaaat -> aaaaTaaaaaaaaT
  TTaTaTaaaat -> aaTaaTaaaaaaaaT
  TTaaaTaaaat -> aaaaaaTaaaaaaaaT
  taaaaaaaaaaaaaaT -> Taaaaaaat
  TTaTaaTaaaat -> aaTaaaaTaaaaaaaaT
  TTaaTaTaaaat -> aaaaTaaTaaaaaaaaT
  TTaTaTaTaaaat -> aaTaaTaaTaaaaaaaaT
  TTaTaTaaTaaaat -> aaTaaTaaaaTaaaaaaaaT
  TTaaTaaTat -> aaaaTaaaaTaaT
  TTaaTaaTaat -> aaaaTaaaaTaaaaT
  TTaaTaaTaaat -> aaaaTaaaaTaaaaaaT
  TTaaTaaTaaaat -> aaaaTaaaaTaaaaaaaaT
  AtATAtaT -> tATAtaTA
  ATAtaTAt -> TAtATAta
  ATAtaTATat -> TAtATAtaaaT
  ATAtaTATaat -> TAtATAtaaaaaT
  ATAtaTATaTat -> TAtATAtaaaTaaT
  ATAtaTATaaat -> TAtATAtaaaaaaaT
  ATAtaTATaTaat -> TAtATAtaaaTaaaaT
  ATAtaTATaaTat -> TAtATAtaaaaaTaaT
  ATAtaTATaTaTat -> TAtATAtaaaTaaTaaT
  ATAtaTATaaTaat -> TAtATAtaaaaaTaaaaT
  ATAtaTATaTaTaat -> TAtATAtaaaTaaTaaaaT
  aTAtATAt -> TAtaTAtA
  aTAtATATat -> TAtaTAtaT
  taaaTAtaTAt -> TaatAtATAta
  aTAtATATaat -> TAtaTAtaaaT
  taaaaaTAtaTAt -> TaaatAtATAta
  aTAtATATaaat -> TAtaTAtaaaaaT
