F relators hold and x0,x1 do not commute: True
F_dyadic_Lambda 34.8s [(800, 0.06103492808762244, 52), (900, 0.059521237785241134, 59), (1000, 0.05771089759042645, 62)]
F2_self_Lambda 46.0s [(800, 0.3038149570407602, 85), (900, 0.30101259442411343, 91), (1000, 0.29827552041926575, 101)]
Z3_self_Lambda 35.3s [(800, 0.20260945356770052, 114), (900, 0.19629167327933, 116), (1000, 0.19087307649626836, 122)]
lamplighter_self_Lambda 77.3s [(800, 0.1265737340359164, 55), (900, 0.12331099524498505, 56), (1000, 0.12044359150222539, 58)]
F_band_C1 1.6s [(800, 0.6934023202903119, 1), (900, 0.6938761305175486, 1), (1000, 0.6944061904172494, 1)]
F_band_C2 3.5s [(800, 0.33124409602065924, 3), (900, 0.3325722875838341, 3), (1000, 0.33247122765652654, 3)]
F_band_C3 7.3s [(800, 0.1954353725953813, 7), (900, 0.19584602180017896, 7), (1000, 0.1962255898925141, 7)]
F_band_C4 15.1s [(800, 0.1282459384140914, 15), (900, 0.12934848553586875, 15), (1000, 0.1300811818847716, 15)]
F_band_C5 32.1s [(800, 0.08958150250376068, 31), (900, 0.09097648496061006, 31), (1000, 0.09163604777533038, 31)]
F_band_C6 65.4s [(800, 0.06233271898047967, 63), (900, 0.0639302709629808, 63), (1000, 0.06473505076380023, 63)]
inexact halvings: 0
