TRACE carrier=4 rotations=39 syllables=39
TRACE carrier=4 rotation=0 target=0 states=10
TRACE carrier=4 rotation=0 target=1 states=10
TRACE carrier=4 rotation=0 target=2 states=15
TRACE carrier=4 rotation=0 target=3 states=13
TRACE carrier=4 rotation=1 target=0 states=10
TRACE carrier=4 rotation=1 target=1 states=10
TRACE carrier=4 rotation=1 target=2 states=12
TRACE carrier=4 rotation=1 target=3 states=13
TRACE carrier=4 rotation=2 target=0 states=14
TRACE carrier=4 rotation=2 target=1 states=14
TRACE carrier=4 rotation=2 target=2 states=25
TRACE carrier=4 rotation=2 target=3 states=16
TRACE carrier=4 rotation=3 target=0 states=10
TRACE carrier=4 rotation=3 target=1 states=10
TRACE carrier=4 rotation=3 target=2 states=16
TRACE carrier=4 rotation=3 target=3 states=15
TRACE carrier=4 rotation=4 target=0 states=11
TRACE carrier=4 rotation=4 target=1 states=8
TRACE carrier=4 rotation=4 target=2 states=16
TRACE carrier=4 rotation=4 target=3 states=13
TRACE carrier=4 rotation=5 target=0 states=10
TRACE carrier=4 rotation=5 target=1 states=10
TRACE carrier=4 rotation=5 target=2 states=13
TRACE carrier=4 rotation=5 target=3 states=11
TRACE carrier=4 rotation=6 target=0 states=9
TRACE carrier=4 rotation=6 target=1 states=8
TRACE carrier=4 rotation=6 target=2 states=11
TRACE carrier=4 rotation=6 target=3 states=11
TRACE carrier=4 rotation=7 target=0 states=12
TRACE carrier=4 rotation=7 target=1 states=12
TRACE carrier=4 rotation=7 target=2 states=17
TRACE carrier=4 rotation=7 target=3 states=13
TRACE carrier=4 rotation=8 target=0 states=12
TRACE carrier=4 rotation=8 target=1 states=15
TRACE carrier=4 rotation=8 target=2 states=16
TRACE carrier=4 rotation=8 target=3 states=13
TRACE carrier=4 rotation=9 target=0 states=20
TRACE carrier=4 rotation=9 target=1 states=15
TRACE carrier=4 rotation=9 target=2 states=14
TRACE carrier=4 rotation=9 target=3 states=25
TRACE carrier=4 rotation=10 target=0 states=10
TRACE carrier=4 rotation=10 target=1 states=10
TRACE carrier=4 rotation=10 target=2 states=13
TRACE carrier=4 rotation=10 target=3 states=11
TRACE carrier=4 rotation=11 target=0 states=24
TRACE carrier=4 rotation=11 target=1 states=14
TRACE carrier=4 rotation=11 target=2 states=16
TRACE carrier=4 rotation=11 target=3 states=16
TRACE carrier=4 rotation=12 target=0 states=15
TRACE carrier=4 rotation=12 target=1 states=10
TRACE carrier=4 rotation=12 target=2 states=9
TRACE carrier=4 rotation=12 target=3 states=13
TRACE carrier=4 rotation=13 target=0 states=15
TRACE carrier=4 rotation=13 target=1 states=8
TRACE carrier=4 rotation=13 target=2 states=10
TRACE carrier=4 rotation=13 target=3 states=13
TRACE carrier=4 rotation=14 target=0 states=16
TRACE carrier=4 rotation=14 target=1 states=10
TRACE carrier=4 rotation=14 target=2 states=10
