RANK_WIN ---+++--++++++ 9 ((((0,), (0, 1)), ((1,), (1, 1)), ((2,), (2, 1))), (((0,), (2, -1)), ((1, 2, 3), (3, 1)), ((4,), (4, 1))), (((0,), (4, -1)), ((1, 2, 3), (5, 1)), ((4,), (0, -1))))
RANK_WIN ---+++--++++++ 9 ((((0,), (0, 1)), ((1,), (1, 1)), ((2,), (2, 1))), (((0,), (2, -1)), ((1, 2, 3), (3, 1)), ((4,), (4, 1))), (((1, 2, 3), (5, 1)), ((4,), (0, -1)), ((0,), (4, -1))))
RANK_WIN ---+++--++++++ 9 ((((0,), (0, 1)), ((1,), (1, 1)), ((2,), (2, 1))), (((0,), (2, -1)), ((1, 2, 3), (3, 1)), ((4,), (4, 1))), (((4,), (0, -1)), ((0,), (4, -1)), ((1, 2, 3), (5, 1))))
RANK_WIN ---+++--++++++ 9 ((((0,), (0, 1)), ((1,), (1, 1)), ((2,), (2, 1))), (((1, 2, 3), (3, 1)), ((4,), (4, 1)), ((0,), (2, -1))), (((0,), (4, -1)), ((1, 2, 3), (5, 1)), ((4,), (0, -1))))
RANK_WIN ---+++--++++++ 9 ((((0,), (0, 1)), ((1,), (1, 1)), ((2,), (2, 1))), (((1, 2, 3), (3, 1)), ((4,), (4, 1)), ((0,), (2, -1))), (((1, 2, 3), (5, 1)), ((4,), (0, -1)), ((0,), (4, -1))))
RANK_WIN ---+++--++++++ 9 ((((0,), (0, 1)), ((1,), (1, 1)), ((2,), (2, 1))), (((1, 2, 3), (3, 1)), ((4,), (4, 1)), ((0,), (2, -1))), (((4,), (0, -1)), ((0,), (4, -1)), ((1, 2, 3), (5, 1))))
RANK_WIN ---+++--++++++ 9 ((((0,), (0, 1)), ((1,), (1, 1)), ((2,), (2, 1))), (((4,), (4, 1)), ((0,), (2, -1)), ((1, 2, 3), (3, 1))), (((0,), (4, -1)), ((1, 2, 3), (5, 1)), ((4,), (0, -1))))
RANK_WIN ---+++--++++++ 9 ((((0,), (0, 1)), ((1,), (1, 1)), ((2,), (2, 1))), (((4,), (4, 1)), ((0,), (2, -1)), ((1, 2, 3), (3, 1))), (((1, 2, 3), (5, 1)), ((4,), (0, -1)), ((0,), (4, -1))))
RANK_WIN ---+++--++++++ 9 ((((0,), (0, 1)), ((1,), (1, 1)), ((2,), (2, 1))), (((4,), (4, 1)), ((0,), (2, -1)), ((1, 2, 3), (3, 1))), (((4,), (0, -1)), ((0,), (4, -1)), ((1, 2, 3), (5, 1))))
RANK_WIN ---+++--++++++ 9 ((((0,), (2, -1)), ((1,), (1, -1)), ((2,), (0, -1))), (((0,), (4, -1)), ((1, 2, 3), (3, -1)), ((4,), (2, 1))), (((0,), (0, 1)), ((1, 2, 3), (5, -1)), ((4,), (4, 1))))
RANK_WIN ---+++--++++++ 9 ((((0,), (2, -1)), ((1,), (1, -1)), ((2,), (0, -1))), (((0,), (4, -1)), ((1, 2, 3), (3, -1)), ((4,), (2, 1))), (((1, 2, 3), (5, -1)), ((4,), (4, 1)), ((0,), (0, 1))))
RANK_WIN ---+++--++++++ 9 ((((0,), (2, -1)), ((1,), (1, -1)), ((2,), (0, -1))), (((0,), (4, -1)), ((1, 2, 3), (3, -1)), ((4,), (2, 1))), (((4,), (4, 1)), ((0,), (0, 1)), ((1, 2, 3), (5, -1))))
RANK_WIN ---+++--++++++ 9 ((((0,), (2, -1)), ((1,), (1, -1)), ((2,), (0, -1))), (((0, 1, 2), (4, -1)), ((3,), (3, -1)), ((4,), (2, 1))), (((0, 1, 2), (0, 1)), ((3,), (5, -1)), ((4,), (4, 1))))
RANK_WIN ---+++--++++++ 9 ((((0,), (2, -1)), ((1,), (1, -1)), ((2,), (0, -1))), (((0, 1, 2), (4, -1)), ((3,), (3, -1)), ((4,), (2, 1))), (((3,), (5, -1)), ((4,), (4, 1)), ((0, 1, 2), (0, 1))))
RANK_WIN ---+++--++++++ 9 ((((0,), (2, -1)), ((1,), (1, -1)), ((2,), (0, -1))), (((0, 1, 2), (4, -1)), ((3,), (3, -1)), ((4,), (2, 1))), (((4,), (4, 1)), ((0, 1, 2), (0, 1)), ((3,), (5, -1))))
RANK_WIN ---+++--++++++ 9 ((((0,), (2, -1)), ((1,), (1, -1)), ((2,), (0, -1))), (((1, 2, 3), (3, -1)), ((4,), (2, 1)), ((0,), (4, -1))), (((0,), (0, 1)), ((1, 2, 3), (5, -1)), ((4,), (4, 1))))
RANK_WIN ---+++--++++++ 9 ((((0,), (2, -1)), ((1,), (1, -1)), ((2,), (0, -1))), (((1, 2, 3), (3, -1)), ((4,), (2, 1)), ((0,), (4, -1))), (((1, 2, 3), (5, -1)), ((4,), (4, 1)), ((0,), (0, 1))))
RANK_WIN ---+++--++++++ 9 ((((0,), (2, -1)), ((1,), (1, -1)), ((2,), (0, -1))), (((1, 2, 3), (3, -1)), ((4,), (2, 1)), ((0,), (4, -1))), (((4,), (4, 1)), ((0,), (0, 1)), ((1, 2, 3), (5, -1))))
RANK_WIN ---+++--++++++ 9 ((((0,), (2, -1)), ((1,), (1, -1)), ((2,), (0, -1))), (((3,), (3, -1)), ((4,), (2, 1)), ((0, 1, 2), (4, -1))), (((0, 1, 2), (0, 1)), ((3,), (5, -1)), ((4,), (4, 1))))
RANK_WIN ---+++--++++++ 9 ((((0,), (2, -1)), ((1,), (1, -1)), ((2,), (0, -1))), (((3,), (3, -1)), ((4,), (2, 1)), ((0, 1, 2), (4, -1))), (((3,), (5, -1)), ((4,), (4, 1)), ((0, 1, 2), (0, 1))))
RANK_WIN ---+++--++++++ 9 ((((0,), (2, -1)), ((1,), (1, -1)), ((2,), (0, -1))), (((3,), (3, -1)), ((4,), (2, 1)), ((0, 1, 2), (4, -1))), (((4,), (4, 1)), ((0, 1, 2), (0, 1)), ((3,), (5, -1))))
RANK_WIN ---+++--++++++ 9 ((((0,), (2, -1)), ((1,), (1, -1)), ((2,), (0, -1))), (((4,), (2, 1)), ((0,), (4, -1)), ((1, 2, 3), (3, -1))), (((0,), (0, 1)), ((1, 2, 3), (5, -1)), ((4,), (4, 1))))
RANK_WIN ---+++--++++++ 9 ((((0,), (2, -1)), ((1,), (1, -1)), ((2,), (0, -1))), (((4,), (2, 1)), ((0,), (4, -1)), ((1, 2, 3), (3, -1))), (((1, 2, 3), (5, -1)), ((4,), (4, 1)), ((0,), (0, 1))))
RANK_WIN ---+++--++++++ 9 ((((0,), (2, -1)), ((1,), (1, -1)), ((2,), (0, -1))), (((4,), (2, 1)), ((0,), (4, -1)), ((1, 2, 3), (3, -1))), (((4,), (4, 1)), ((0,), (0, 1)), ((1, 2, 3), (5, -1))))
RANK_WIN ---+++--++++++ 9 ((((0,), (2, -1)), ((1,), (1, -1)), ((2,), (0, -1))), (((4,), (2, 1)), ((0, 1, 2), (4, -1)), ((3,), (3, -1))), (((0, 1, 2), (0, 1)), ((3,), (5, -1)), ((4,), (4, 1))))
RANK_WIN ---+++--++++++ 9 ((((0,), (2, -1)), ((1,), (1, -1)), ((2,), (0, -1))), (((4,), (2, 1)), ((0, 1, 2), (4, -1)), ((3,), (3, -1))), (((3,), (5, -1)), ((4,), (4, 1)), ((0, 1, 2), (0, 1))))
