TRACE carrier=12 rotations=39 syllables=39
TRACE carrier=12 rotation=0 target=0 states=32
TRACE carrier=12 rotation=0 target=1 states=30
TRACE carrier=12 rotation=0 target=2 states=54
TRACE carrier=12 rotation=0 target=3 states=48
TRACE carrier=12 rotation=1 target=0 states=37
TRACE carrier=12 rotation=1 target=1 states=31
TRACE carrier=12 rotation=1 target=2 states=39
TRACE carrier=12 rotation=1 target=3 states=42
TRACE carrier=12 rotation=2 target=0 states=51
TRACE carrier=12 rotation=2 target=1 states=61
TRACE carrier=12 rotation=2 target=2 states=89
TRACE carrier=12 rotation=2 target=3 states=65
TRACE carrier=12 rotation=3 target=0 states=27
TRACE carrier=12 rotation=3 target=1 states=29
TRACE carrier=12 rotation=3 target=2 states=56
TRACE carrier=12 rotation=3 target=3 states=54
TRACE carrier=12 rotation=4 target=0 states=35
TRACE carrier=12 rotation=4 target=1 states=27
TRACE carrier=12 rotation=4 target=2 states=59
TRACE carrier=12 rotation=4 target=3 states=59
TRACE carrier=12 rotation=5 target=0 states=33
TRACE carrier=12 rotation=5 target=1 states=27
TRACE carrier=12 rotation=5 target=2 states=49
TRACE carrier=12 rotation=5 target=3 states=41
TRACE carrier=12 rotation=6 target=0 states=32
TRACE carrier=12 rotation=6 target=1 states=25
TRACE carrier=12 rotation=6 target=2 states=39
TRACE carrier=12 rotation=6 target=3 states=32
TRACE carrier=12 rotation=7 target=0 states=37
TRACE carrier=12 rotation=7 target=1 states=35
TRACE carrier=12 rotation=7 target=2 states=60
TRACE carrier=12 rotation=7 target=3 states=46
TRACE carrier=12 rotation=8 target=0 states=42
TRACE carrier=12 rotation=8 target=1 states=59
TRACE carrier=12 rotation=8 target=2 states=65
TRACE carrier=12 rotation=8 target=3 states=52
TRACE carrier=12 rotation=9 target=0 states=85
TRACE carrier=12 rotation=9 target=1 states=56
TRACE carrier=12 rotation=9 target=2 states=43
TRACE carrier=12 rotation=9 target=3 states=90
TRACE carrier=12 rotation=10 target=0 states=32
TRACE carrier=12 rotation=10 target=1 states=31
TRACE carrier=12 rotation=10 target=2 states=41
TRACE carrier=12 rotation=10 target=3 states=37
TRACE carrier=12 rotation=11 target=0 states=105
TRACE carrier=12 rotation=11 target=1 states=60
TRACE carrier=12 rotation=11 target=2 states=46
TRACE carrier=12 rotation=11 target=3 states=56
TRACE carrier=12 rotation=12 target=0 states=69
TRACE carrier=12 rotation=12 target=1 states=29
TRACE carrier=12 rotation=12 target=2 states=29
TRACE carrier=12 rotation=12 target=3 states=74
TRACE carrier=12 rotation=13 target=0 states=64
TRACE carrier=12 rotation=13 target=1 states=24
TRACE carrier=12 rotation=13 target=2 states=37
TRACE carrier=12 rotation=13 target=3 states=41
TRACE carrier=12 rotation=14 target=0 states=33
TRACE carrier=12 rotation=14 target=1 states=28
TRACE carrier=12 rotation=14 target=2 states=55
TRACE carrier=12 rotation=14 target=3 states=45
TRACE carrier=12 rotation=15 target=0 states=29
TRACE carrier=12 rotation=15 target=1 states=28
TRACE carrier=12 rotation=15 target=2 states=50
TRACE carrier=12 rotation=15 target=3 states=43
TRACE carrier=12 rotation=16 target=0 states=38
TRACE carrier=12 rotation=16 target=1 states=33
TRACE carrier=12 rotation=16 target=2 states=87
TRACE carrier=12 rotation=16 target=3 states=63
TRACE carrier=12 rotation=17 target=0 states=40
TRACE carrier=12 rotation=17 target=1 states=61
TRACE carrier=12 rotation=17 target=2 states=88
TRACE carrier=12 rotation=17 target=3 states=56
TRACE carrier=12 rotation=18 target=0 states=58
TRACE carrier=12 rotation=18 target=1 states=30
TRACE carrier=12 rotation=18 target=2 states=30
TRACE carrier=12 rotation=18 target=3 states=49
TRACE carrier=12 rotation=19 target=0 states=27
TRACE carrier=12 rotation=19 target=1 states=27
TRACE carrier=12 rotation=19 target=2 states=45
TRACE carrier=12 rotation=19 target=3 states=41
TRACE carrier=12 rotation=20 target=0 states=37
TRACE carrier=12 rotation=20 target=1 states=25
TRACE carrier=12 rotation=20 target=2 states=35
TRACE carrier=12 rotation=20 target=3 states=35
TRACE carrier=12 rotation=21 target=0 states=36
TRACE carrier=12 rotation=21 target=1 states=37
TRACE carrier=12 rotation=21 target=2 states=58
TRACE carrier=12 rotation=21 target=3 states=60
TRACE carrier=12 rotation=22 target=0 states=51
TRACE carrier=12 rotation=22 target=1 states=56
TRACE carrier=12 rotation=22 target=2 states=71
TRACE carrier=12 rotation=22 target=3 states=56
TRACE carrier=12 rotation=23 target=0 states=70
TRACE carrier=12 rotation=23 target=1 states=63
TRACE carrier=12 rotation=23 target=2 states=38
TRACE carrier=12 rotation=23 target=3 states=41
TRACE carrier=12 rotation=24 target=0 states=80
TRACE carrier=12 rotation=24 target=1 states=58
TRACE carrier=12 rotation=24 target=2 states=46
TRACE carrier=12 rotation=24 target=3 states=62
TRACE carrier=12 rotation=25 target=0 states=63
TRACE carrier=12 rotation=25 target=1 states=66
TRACE carrier=12 rotation=25 target=2 states=29
TRACE carrier=12 rotation=25 target=3 states=40
TRACE carrier=12 rotation=26 target=0 states=79
TRACE carrier=12 rotation=26 target=1 states=52
TRACE carrier=12 rotation=26 target=2 states=37
TRACE carrier=12 rotation=26 target=3 states=32
TRACE carrier=12 rotation=27 target=0 states=49
TRACE carrier=12 rotation=27 target=1 states=50
TRACE carrier=12 rotation=27 target=2 states=30
TRACE carrier=12 rotation=27 target=3 states=35
TRACE carrier=12 rotation=28 target=0 states=111
TRACE carrier=12 rotation=28 target=1 states=94
TRACE carrier=12 rotation=28 target=2 states=43
TRACE carrier=12 rotation=28 target=3 states=57
TRACE carrier=12 rotation=29 target=0 states=65
TRACE carrier=12 rotation=29 target=1 states=28
TRACE carrier=12 rotation=29 target=2 states=29
TRACE carrier=12 rotation=29 target=3 states=44
TRACE carrier=12 rotation=30 target=0 states=53
TRACE carrier=12 rotation=30 target=1 states=24
TRACE carrier=12 rotation=30 target=2 states=28
TRACE carrier=12 rotation=30 target=3 states=44
TRACE carrier=12 rotation=31 target=0 states=96
TRACE carrier=12 rotation=31 target=1 states=36
TRACE carrier=12 rotation=31 target=2 states=50
TRACE carrier=12 rotation=31 target=3 states=78
TRACE carrier=12 rotation=32 target=0 states=94
TRACE carrier=12 rotation=32 target=1 states=53
TRACE carrier=12 rotation=32 target=2 states=32
TRACE carrier=12 rotation=32 target=3 states=72
TRACE carrier=12 rotation=33 target=0 states=47
