n,word_length,c_n_trivial_words,c_n_over_c_n_minus_1,c_n_over_16^n,c_n^(1/n),provenance
0,0,1,,1.000000e+00,,computed in repo (out15.json) + EP-G + HHR
1,2,4,4.000000,2.500000e-01,4.000000,computed in repo (out15.json) + EP-G + HHR
2,4,28,7.000000,1.093750e-01,5.291503,computed in repo (out15.json) + EP-G + HHR
3,6,232,8.285714,5.664062e-02,6.144634,computed in repo (out15.json) + EP-G + HHR
4,8,2092,9.017241,3.192139e-02,6.763016,computed in repo (out15.json) + EP-G + HHR
5,10,19884,9.504780,1.896286e-02,7.239370,computed in repo (out15.json) + EP-G + HHR
6,12,196096,9.862000,1.168823e-02,7.622161,computed in repo (out15.json) + EP-G + HHR
7,14,1988452,10.140197,7.407561e-03,7.939403,computed in repo (out15.json) + EP-G + HHR
8,16,20612364,10.366035,4.799190e-03,8.208541,computed in repo (out15.json) + EP-G + HHR
9,18,217561120,10.554884,3.165931e-03,8.441078,computed in repo (out15.json) + EP-G + HHR
10,20,2331456068,10.716327,2.120447e-03,8.644955,computed in repo (out15.json) + EP-G + HHR
11,22,25311956784,10.856716,1.438818e-03,8.825857,computed in repo (out15.json) + EP-G + HHR
12,24,277937245744,10.980473,9.874315e-04,8.987983,computed in repo (out15.json) + EP-G + HHR
13,26,3082543843552,11.090791,6.844622e-04,9.134512,computed in repo (out15.json) + EP-G + HHR
14,28,34493827011868,11.190052,4.786980e-04,9.267904,computed in repo (out15.json) + EP-G + HHR
15,30,389093033592912,11.280077,3.374844e-04,9.390100,computed in repo (out15.json) + EP-G + HHR
16,32,4420986174041164,11.362286,2.396621e-04,9.502655,"EP-G table, agrees with HHR Case 2 table"
17,34,50566377945667804,11.437805,1.713256e-04,9.606830,"EP-G table, agrees with HHR Case 2 table"
18,36,581894842848487960,11.507544,1.232210e-04,9.703665,"EP-G table, agrees with HHR Case 2 table"
19,38,6733830314028209908,11.572246,8.912150e-05,9.794024,"EP-G table, agrees with HHR Case 2 table"
20,40,78331435477025276852,11.632523,6.479424e-05,9.878632,"EP-G table, agrees with HHR Case 2 table"
21,42,915607264080561034564,11.688887,4.733579e-05,9.958103,"EP-G table, agrees with HHR Case 2 table"
22,44,10750847942401254987096,11.741768,3.473786e-05,10.032963,"EP-G table, agrees with HHR Case 2 table"
23,46,126768974481834814357308,11.791533,2.560079e-05,10.103662,"EP-G table, agrees with HHR Case 2 table"
24,48,1500753741925909645997904,11.838494,1.894218e-05,10.170592,"EP-G table, agrees with HHR Case 2 table"
25,50,17833339046478612301547884,11.882922,1.406802e-05,10.234092,"EP-G table only (arXiv:1706.07571), not recomputed"
26,52,212663448005862463186139032,11.925049,1.048512e-05,10.294460,"EP-G table only (arXiv:1706.07571), not recomputed"
27,54,2544535423071442709522261116,11.965081,7.840955e-06,10.351959,"EP-G table only (arXiv:1706.07571), not recomputed"
28,56,30542557512715560857221200908,12.003196,5.882283e-06,10.406820,"EP-G table only (arXiv:1706.07571), not recomputed"
29,58,367718694478039302564802454628,12.039552,4.426253e-06,10.459250,"EP-G table only (arXiv:1706.07571), not recomputed"
30,60,4439941127401928226610731571976,12.074287,3.340240e-06,10.509432,"EP-G table only (arXiv:1706.07571), not recomputed"
31,62,53756708216952135677787623701460,12.107527,2.527628e-06,10.557530,"EP-G table only (arXiv:1706.07571), not recomputed"
