260 130
0 0 1
0 0 -1
1 1 1
1 1 -1
2 5 1
2 2 -1
3 6 1
3 3 -1
4 12 1
4 4 -1
5 2 1
5 5 -1
6 3 1
6 6 -1
7 7 1
7 7 -1
8 8 1
8 8 -1
9 11 1
9 9 -1
10 10 1
10 10 -1
11 9 1
11 11 -1
12 4 1
12 12 -1
13 13 1
13 13 -1
14 14 1
14 14 -1
15 19 1
15 15 -1
16 18 1
16 16 -1
17 17 1
17 17 -1
18 16 1
18 18 -1
19 15 1
19 19 -1
20 23 1
20 20 -1
21 21 1
21 21 -1
22 24 1
22 22 -1
23 20 1
23 23 -1
24 22 1
24 24 -1
25 25 1
25 25 -1
26 26 -1
26 32 1
27 27 -1
27 28 1
28 28 -1
28 29 1
29 29 -1
29 27 1
30 30 -1
30 34 1
31 31 -1
31 26 1
32 32 -1
32 31 1
33 33 -1
33 36 1
34 34 -1
34 38 1
35 35 -1
35 33 1
36 36 -1
36 35 1
37 37 -1
37 37 1
38 38 -1
38 30 1
39 0 -1
39 0 -1
39 39 1
39 39 1
40 1 -1
40 1 -1
40 40 1
40 40 1
41 2 -1
41 3 -1
41 44 1
41 41 1
42 3 -1
42 2 -1
42 45 1
42 42 1
43 4 -1
43 12 -1
43 51 1
43 43 1
44 5 -1
44 6 -1
44 41 1
44 44 1
45 6 -1
45 5 -1
45 42 1
45 45 1
46 7 -1
46 10 -1
46 46 1
46 46 1
47 8 -1
47 8 -1
47 47 1
47 47 1
48 9 -1
48 9 -1
48 50 1
48 48 1
49 10 -1
49 7 -1
49 49 1
49 49 1
50 11 -1
50 11 -1
50 48 1
50 50 1
51 12 -1
51 4 -1
51 43 1
51 51 1
52 13 -1
52 13 1
52 39 -1
52 39 1
53 14 -1
53 14 1
53 40 -1
53 40 1
54 15 -1
54 16 1
54 41 -1
54 42 1
55 16 -1
55 15 1
55 42 -1
55 41 1
56 17 -1
56 25 1
56 43 -1
56 51 1
57 18 -1
57 19 1
57 44 -1
57 45 1
58 19 -1
58 18 1
58 45 -1
58 44 1
59 20 -1
59 23 1
59 46 -1
59 49 1
60 21 -1
60 21 1
60 47 -1
60 47 1
61 22 -1
61 22 1
61 48 -1
61 48 1
62 23 -1
62 20 1
62 49 -1
62 46 1
63 24 -1
63 24 1
63 50 -1
63 50 1
64 25 -1
64 17 1
64 51 -1
64 43 1
65 13 1
65 18 -1
65 65 -1
65 71 1
66 14 1
66 16 -1
66 66 -1
66 67 1
67 15 1
67 14 -1
67 67 -1
67 70 1
68 16 1
68 15 -1
68 68 -1
68 65 1
69 17 1
69 25 -1
69 69 -1
69 73 1
70 18 1
70 19 -1
70 70 -1
70 66 1
71 19 1
71 13 -1
71 71 -1
71 68 1
72 20 1
72 22 -1
72 72 -1
72 74 1
73 21 1
73 17 -1
73 73 -1
73 77 1
74 22 1
74 23 -1
74 74 -1
74 76 1
75 23 1
75 20 -1
75 75 -1
75 75 1
76 24 1
76 24 -1
76 76 -1
76 72 1
77 25 1
77 21 -1
77 77 -1
77 69 1
78 26 -1
78 26 -1
78 52 1
78 57 1
78 58 1
79 27 -1
79 27 -1
79 53 1
79 55 1
79 54 1
80 28 -1
80 29 -1
80 54 1
80 53 1
80 55 1
81 29 -1
81 28 -1
81 55 1
81 54 1
81 53 1
82 30 -1
82 38 -1
82 56 1
82 64 1
82 60 1
83 31 -1
83 32 -1
83 57 1
83 58 1
83 52 1
84 32 -1
84 31 -1
84 58 1
84 52 1
84 57 1
85 33 -1
85 36 -1
85 59 1
85 61 1
85 62 1
86 34 -1
86 34 -1
86 60 1
86 56 1
86 64 1
87 35 -1
87 35 -1
87 61 1
87 62 1
87 59 1
88 36 -1
88 33 -1
88 62 1
88 59 1
88 61 1
89 37 -1
89 37 -1
89 63 1
89 63 1
89 63 1
90 38 -1
90 30 -1
90 64 1
90 60 1
90 56 1
91 13 1
91 19 -1
91 39 -1
91 44 1
91 52 -1
91 58 1
92 14 1
92 15 -1
92 40 -1
92 42 1
92 53 -1
92 54 1
93 16 1
93 14 -1
93 41 -1
93 40 1
93 54 -1
93 53 1
94 15 1
94 16 -1
94 42 -1
94 41 1
94 55 -1
94 55 1
95 25 1
95 17 -1
95 43 -1
95 51 1
95 56 -1
95 56 1
96 19 1
