classes 46
density 1.52685 c<=10.68796 edges 18 C_13^4 W=(0, 1, 2, 3, 4, 5, 6)
density 1.52853 c<=10.69969 edges 17 C_13^4 W=(0, 1, 2, 3, 4, 5, 7)
density 1.49917 c<=10.49421 edges 16 C_13^4 W=(0, 1, 2, 3, 4, 5, 8)
density 1.46495 c<=10.25462 edges 16 C_13^4 W=(0, 1, 2, 3, 4, 5, 9)
density 1.49166 c<=10.44159 edges 16 C_13^4 W=(0, 1, 2, 3, 4, 6, 7)
density 1.48918 c<=10.42428 edges 15 C_13^4 W=(0, 1, 2, 3, 4, 6, 8)
density 1.49316 c<=10.45211 edges 15 C_13^4 W=(0, 1, 2, 3, 4, 6, 9)
density 1.48584 c<=10.40091 edges 16 C_13^4 W=(0, 1, 2, 3, 4, 6, 10)
density 1.48001 c<=10.36010 edges 16 C_13^4 W=(0, 1, 2, 3, 4, 6, 11)
density 1.46144 c<=10.23005 edges 14 C_13^4 W=(0, 1, 2, 3, 4, 7, 8)
density 1.45849 c<=10.20945 edges 14 C_13^4 W=(0, 1, 2, 3, 4, 7, 9)
density 1.43695 c<=10.05868 edges 15 C_13^4 W=(0, 1, 2, 3, 4, 7, 10)
density 1.43946 c<=10.07624 edges 13 C_13^4 W=(0, 1, 2, 3, 4, 8, 9)
density 1.44238 c<=10.09663 edges 15 C_13^4 W=(0, 1, 2, 3, 5, 6, 7)
density 1.46691 c<=10.26835 edges 14 C_13^4 W=(0, 1, 2, 3, 5, 6, 8)
density 1.46143 c<=10.22999 edges 15 C_13^4 W=(0, 1, 2, 3, 5, 6, 9)
density 1.44537 c<=10.11756 edges 13 C_13^4 W=(0, 1, 2, 3, 5, 7, 8)
density 1.45002 c<=10.15017 edges 14 C_13^4 W=(0, 1, 2, 3, 5, 7, 9)
density 1.47518 c<=10.32627 edges 14 C_13^4 W=(0, 1, 2, 3, 5, 7, 10)
density 1.45334 c<=10.17335 edges 13 C_13^4 W=(0, 1, 2, 3, 5, 8, 9)
density 1.45420 c<=10.17941 edges 13 C_13^4 W=(0, 1, 2, 3, 5, 8, 10)
density 1.47002 c<=10.29011 edges 14 C_13^4 W=(0, 1, 2, 3, 5, 8, 11)
density 1.42857 c<=10.00000 edges 13 C_13^4 W=(0, 1, 2, 3, 6, 7, 9)
density 1.42790 c<=9.99528 edges 14 C_13^4 W=(0, 1, 2, 3, 6, 7, 10)
density 1.44296 c<=10.10071 edges 13 C_13^4 W=(0, 1, 2, 3, 6, 8, 10)
density 1.43305 c<=10.03134 edges 14 C_13^4 W=(0, 1, 2, 4, 5, 7, 8)
density 1.45257 c<=10.16799 edges 13 C_13^4 W=(0, 1, 2, 4, 6, 7, 8)
density 1.38929 c<=9.72505 edges 13 C_13^4 W=(0, 1, 2, 4, 7, 8, 10)
density 1.37846 c<=9.64924 edges 14 C_13^4 W=(0, 1, 2, 4, 7, 8, 11)
density 1.41745 c<=9.92213 edges 13 C_13^4 W=(0, 1, 2, 5, 6, 7, 10)
density 1.47065 c<=10.29457 edges 14 C_13^4 W=(0, 1, 2, 5, 6, 9, 10)
density 1.47494 c<=10.32456 edges 14 C_13^4 W=(0, 1, 3, 4, 6, 7, 9)
density 1.45816 c<=10.20712 edges 15 C_13^4 W=(0, 1, 3, 4, 6, 7, 10)
density 1.43756 c<=10.06295 edges 13 C_13^4 W=(0, 1, 3, 4, 6, 8, 11)
density 1.45852 c<=10.20964 edges 15 C_14^4 W=(0, 1, 2, 3, 4, 5, 9)
density 1.44688 c<=10.12819 edges 14 C_14^4 W=(0, 1, 2, 3, 4, 6, 9)
density 1.47014 c<=10.29099 edges 15 C_14^4 W=(0, 1, 2, 3, 4, 6, 11)
density 1.41356 c<=9.89490 edges 13 C_14^4 W=(0, 1, 2, 3, 4, 7, 9)
density 1.41936 c<=9.93552 edges 13 C_14^4 W=(0, 1, 3, 4, 6, 7, 9)
density 1.21821 c<=8.52748 edges 14 C_19^4 W=(0, 1, 2, 3, 4, 5, 10)
density 1.25866 c<=8.81064 edges 13 C_19^4 W=(0, 1, 2, 3, 4, 6, 11)
density 1.41467 c<=9.90271 edges 14 C_19^4 W=(0, 1, 2, 3, 4, 6, 15)
density 1.41187 c<=9.88310 edges 13 C_19^4 W=(0, 1, 2, 3, 4, 7, 15)
density 1.37500 c<=9.62503 edges 14 C_19^4 W=(0, 1, 2, 3, 4, 7, 16)
density 1.38941 c<=9.72587 edges 13 C_19^4 W=(0, 1, 2, 3, 5, 6, 10)
density 1.38187 c<=9.67312 edges 13 C_19^4 W=(0, 1, 2, 3, 5, 7, 16)
TOP
density 1.52853 c<=10.69969 edges 17 C_13^4 W=(0, 1, 2, 3, 4, 5, 7)
density 1.52685 c<=10.68796 edges 18 C_13^4 W=(0, 1, 2, 3, 4, 5, 6)
density 1.49917 c<=10.49421 edges 16 C_13^4 W=(0, 1, 2, 3, 4, 5, 8)
density 1.49316 c<=10.45211 edges 15 C_13^4 W=(0, 1, 2, 3, 4, 6, 9)
density 1.49166 c<=10.44159 edges 16 C_13^4 W=(0, 1, 2, 3, 4, 6, 7)
density 1.48918 c<=10.42428 edges 15 C_13^4 W=(0, 1, 2, 3, 4, 6, 8)
density 1.48584 c<=10.40091 edges 16 C_13^4 W=(0, 1, 2, 3, 4, 6, 10)
density 1.48001 c<=10.36010 edges 16 C_13^4 W=(0, 1, 2, 3, 4, 6, 11)
density 1.47518 c<=10.32627 edges 14 C_13^4 W=(0, 1, 2, 3, 5, 7, 10)
density 1.47494 c<=10.32456 edges 14 C_13^4 W=(0, 1, 3, 4, 6, 7, 9)
density 1.47065 c<=10.29457 edges 14 C_13^4 W=(0, 1, 2, 5, 6, 9, 10)
density 1.47014 c<=10.29099 edges 15 C_14^4 W=(0, 1, 2, 3, 4, 6, 11)
density 1.47002 c<=10.29011 edges 14 C_13^4 W=(0, 1, 2, 3, 5, 8, 11)
density 1.46691 c<=10.26835 edges 14 C_13^4 W=(0, 1, 2, 3, 5, 6, 8)
density 1.46495 c<=10.25462 edges 16 C_13^4 W=(0, 1, 2, 3, 4, 5, 9)
