E=(0, 1, 2) F=(-2, -1) n=6 nv=49 LP=1.000000
E=(0, 1, 2) F=(-2, 0) n=7 nv=105 LP=1.000000
E=(0, 1, 2) F=(-1, 0) n=6 nv=49 LP=1.000000
E=(0, 1, 2) F=(-5, -2, -1) n=10 nv=881 LP=1.000000
E=(0, 1, 2) F=(-5, -2, 0) n=11 nv=1825 LP=1.000000
E=(0, 1, 2) F=(-5, -1, 0) n=10 nv=942 LP=1.000000
E=(0, 1, 2) F=(-4, -2, -1) n=9 nv=433 LP=1.000000
E=(0, 1, 2) F=(-4, -2, 0) n=10 nv=865 LP=1.000000
E=(0, 1, 2) F=(-4, -1, 0) n=10 nv=881 LP=1.000000
E=(0, 1, 2) F=(-3, -2, -1) n=8 nv=193 LP=1.000000
E=(0, 1, 2) F=(-3, -2, 0) n=9 nv=433 LP=1.000000
E=(0, 1, 2) F=(-3, -1, 0) n=9 nv=433 LP=1.000000
E=(0, 1, 2) F=(-2, -1, 0) n=8 nv=193 LP=1.000000
E=(0, 1, 2) F=(-2, -1, 1) n=9 nv=433 LP=1.000000
E=(0, 1, 2) F=(-2, -1, 2) n=10 nv=881 LP=1.000000
E=(0, 1, 2) F=(-2, -1, 3) n=10 nv=942 LP=1.000000
E=(0, 1, 2) F=(-2, -1, 4) n=10 nv=948 LP=1.000000
E=(0, 1, 2) F=(-2, -1, 5) n=10 nv=949 LP=1.000000
E=(0, 1, 2) F=(-2, 0, 1) n=9 nv=433 LP=1.000000
E=(0, 1, 2) F=(-2, 0, 2) n=10 nv=865 LP=1.000000
E=(0, 1, 2) F=(-2, 0, 3) n=11 nv=1825 LP=1.000000
E=(0, 1, 2) F=(-2, 0, 4) n=11 nv=1915 LP=1.000000
E=(0, 1, 2) F=(-2, 0, 5) n=11 nv=1953 LP=1.000000
E=(0, 1, 2) F=(-1, 0, 1) n=8 nv=193 LP=1.000000
E=(0, 1, 2) F=(-1, 0, 2) n=9 nv=433 LP=1.000000
E=(0, 1, 2) F=(-1, 0, 3) n=10 nv=881 LP=1.000000
E=(0, 1, 2) F=(-1, 0, 4) n=10 nv=942 LP=1.000000
E=(0, 1, 2) F=(-1, 0, 5) n=10 nv=948 LP=1.000000
E=(0, 1, 2) F=(-5, -4, -2, -1) n=11 nv=1745 LP=1.000000
E=(0, 1, 2) F=(-5, -4, -2, 0) n=12 nv=3649 LP=1.000000
E=(0, 1, 2) F=(-5, -4, -1, 0) n=12 nv=3537 LP=1.000000
E=(0, 1, 2) F=(-5, -3, -2, -1) n=11 nv=1729 LP=1.000000
E=(0, 1, 2) F=(-5, -3, -2, 0) n=12 nv=3617 LP=1.000000
E=(0, 1, 2) F=(-5, -3, -1, 0) n=12 nv=3649 LP=1.000000
E=(0, 1, 2) F=(-5, -2, -1, 0) n=12 nv=3553 LP=1.000000
E=(0, 1, 2) F=(-5, -1, 0, 1) n=12 nv=3787 LP=1.000000
E=(0, 1, 2) F=(-4, -3, -2, -1) n=10 nv=769 LP=1.000000
E=(0, 1, 2) F=(-4, -3, -2, 0) n=11 nv=1729 LP=1.000000
E=(0, 1, 2) F=(-4, -3, -1, 0) n=11 nv=1745 LP=1.000000
E=(0, 1, 2) F=(-4, -2, -1, 0) n=11 nv=1729 LP=1.000000
E=(0, 1, 2) F=(-4, -2, -1, 1) n=12 nv=3617 LP=1.000000
E=(0, 1, 2) F=(-4, -2, 0, 1) n=12 nv=3649 LP=1.000000
E=(0, 1, 2) F=(-4, -1, 0, 1) n=12 nv=3553 LP=1.000000
E=(0, 1, 2) F=(-3, -2, -1, 0) n=10 nv=769 LP=1.000000
E=(0, 1, 2) F=(-3, -2, -1, 1) n=11 nv=1729 LP=1.000000
E=(0, 1, 2) F=(-3, -2, -1, 2) n=12 nv=3553 LP=1.000000
E=(0, 1, 2) F=(-3, -2, -1, 3) n=12 nv=3787 LP=1.000000
E=(0, 1, 2) F=(-3, -2, -1, 4) n=12 nv=3825 LP=1.000000
E=(0, 1, 2) F=(-3, -2, -1, 5) n=12 nv=3828 LP=1.000000
E=(0, 1, 2) F=(-3, -2, 0, 1) n=11 nv=1745 LP=0.833333  FAKE?
E=(0, 1, 2) F=(-3, -2, 0, 2) n=12 nv=3649 LP=1.000000
E=(0, 1, 2) F=(-3, -1, 0, 1) n=11 nv=1729 LP=1.000000
E=(0, 1, 2) F=(-3, -1, 0, 2) n=12 nv=3617 LP=1.000000
E=(0, 1, 2) F=(-2, -1, 0, 1) n=10 nv=769 LP=1.000000
E=(0, 1, 2) F=(-2, -1, 0, 2) n=11 nv=1729 LP=1.000000
E=(0, 1, 2) F=(-2, -1, 0, 3) n=12 nv=3553 LP=1.000000
E=(0, 1, 2) F=(-2, -1, 0, 4) n=12 nv=3787 LP=1.000000
