targets 31
PSL(2,7) order=168 simple=true
PSL(2,8) order=504 simple=true
PSL(2,11) order=660 simple=true
PSL(2,13) order=1092 simple=true
PSL(2,16) order=4080 simple=true
PSL(2,17) order=2448 simple=true
PSL(2,19) order=3420 simple=true
A6 order=360 simple=true
A7 order=2520 simple=true
PSL(2,23) order=6072 simple=true
PSL(2,25) order=7800 simple=true
PSL(3,3) order=5616 simple=true
PSU(3,3) order=6048 simple=true
M11 order=7920 simple=true
A8 order=20160 simple=true
PSL(2,27) order=9828 simple=true
PSL(2,29) order=12180 simple=true
PSL(2,31) order=14880 simple=true
PSL(2,32) order=32736 simple=true
PSL(2,37) order=25308 simple=true
PSL(2,41) order=34440 simple=true
PSL(2,43) order=39732 simple=true
PSL(2,47) order=51888 simple=true
PSL(2,49) order=58800 simple=true
PSL(3,4) order=20160 simple=true
PSU(3,4) order=62400 simple=true
PSp(4,3) order=25920 simple=true
Sz(8) order=29120 simple=true
A9 order=181440 simple=true
PSL(3,5) order=372000 simple=true
M12 order=95040 simple=true
