coordinate qsharp lift
0 -6882930690755101992020697025020959534730784257716467822789391158895606496415042626362780038331892964982961393587/784027680124070571244902013018900874324624829344998811622894236133560467890375653648339615390452725402770059419298 0
1 -1893834675439928866930265102194107364575528516857916780162623814566037005873648861445855587385226715655056974217/784027680124070571244902013018900874324624829344998811622894236133560467890375653648339615390452725402770059419298 0
2 2857434717432347840137380181676382360730375707333881625508440750743448498688094139305818778898381695244309358859/392013840062035285622451006509450437162312414672499405811447118066780233945187826824169807695226362701385029709649 0
3 4962861054111106363487334682890334479801129259053248002413734808608935103240290519316920419016688741402235120943/392013840062035285622451006509450437162312414672499405811447118066780233945187826824169807695226362701385029709649 0
4 13719733138815878437358576819036605687860373144688586535352026386492676184377411698088929140465782888200950014831/784027680124070571244902013018900874324624829344998811622894236133560467890375653648339615390452725402770059419298 0
5 5403170290763614211967712350681121419270494581466849848693762473337322283505284448893632559428668974738691079057/784027680124070571244902013018900874324624829344998811622894236133560467890375653648339615390452725402770059419298 0
6 -7414712614104721072165911948897271852287990163160922043207012121817437136046735351345256432115669230801305504139/784027680124070571244902013018900874324624829344998811622894236133560467890375653648339615390452725402770059419298 0
7 -3299684112344703877701192976158243678586692230419244592331352819160078228045675512497131933697142241088183206808/392013840062035285622451006509450437162312414672499405811447118066780233945187826824169807695226362701385029709649 0
8 -8503375559172059012214065956800411420760914831318679840016504829811357664183174467296297054346722336172518143120/392013840062035285622451006509450437162312414672499405811447118066780233945187826824169807695226362701385029709649 0
9 9084411732983556936758542745151300092678860031469658913422139837547100211006512922979859862255629568336927845601/784027680124070571244902013018900874324624829344998811622894236133560467890375653648339615390452725402770059419298 0
10 5793647083151982594906134826778083439770434897072509082229677854827633743368596000540433227902303901972421092424/392013840062035285622451006509450437162312414672499405811447118066780233945187826824169807695226362701385029709649 0
11 -8064996802530014345475052147237113237454773864222714180997833536240911341699466024597834820113560911561496182359/784027680124070571244902013018900874324624829344998811622894236133560467890375653648339615390452725402770059419298 0
12 1333671712936445710412980529372690414980727120131179085115631568492257156377651475385770771197196728024352427227/784027680124070571244902013018900874324624829344998811622894236133560467890375653648339615390452725402770059419298 0
13 134118585626309554426793553264427094671515239289161400934857167046883504656891255367608780510531553595421010857/784027680124070571244902013018900874324624829344998811622894236133560467890375653648339615390452725402770059419298 0
14 -3480649760574242667093785981216625714484809179798305394252322705096694264961734115103399617569608714379580059039/784027680124070571244902013018900874324624829344998811622894236133560467890375653648339615390452725402770059419298 0
15 -132804322999601203547210081767780726919191434314752535800363133350815582375497037948154623908080664191136399123/784027680124070571244902013018900874324624829344998811622894236133560467890375653648339615390452725402770059419298 0
16 -13171847364299324477222473816404509764914488367963007766695651206935510260348449585711364989913504868165777982059/392013840062035285622451006509450437162312414672499405811447118066780233945187826824169807695226362701385029709649 0
17 14219941200561492485676313476365678262367611648944965593352933737799260897958548390857721818035579391264442393273/784027680124070571244902013018900874324624829344998811622894236133560467890375653648339615390452725402770059419298 0
18 30943207882580705566684632477638830668155267847857732500382662074124059611228378117521123389473543783658896833460/392013840062035285622451006509450437162312414672499405811447118066780233945187826824169807695226362701385029709649 0
19 23928830587314697966325093920928937720020149255957338316106929772526962220791237572740940711102262272716422175081/784027680124070571244902013018900874324624829344998811622894236133560467890375653648339615390452725402770059419298 0
20 26577092125816554964926342647041968232399304116358934247247393383509394585402378573418589045635944754801996778257/784027680124070571244902013018900874324624829344998811622894236133560467890375653648339615390452725402770059419298 0
21 -9578356253717485269023955235576932318488254053854735273901284942453635705184950564262749273832413699460984630545/392013840062035285622451006509450437162312414672499405811447118066780233945187826824169807695226362701385029709649 0
22 -19612200617728098113047609666808139496564489112413847446686917032591052577361368316383905110524754195439594533940/392013840062035285622451006509450437162312414672499405811447118066780233945187826824169807695226362701385029709649 0
23 -26291800159950743765908034257350749580083284363233529910100431614965069937068953165560183186871369696184445276331/784027680124070571244902013018900874324624829344998811622894236133560467890375653648339615390452725402770059419298 0
24 -8174926766054354670822757039357171158339882652395622053429180797677671007778387561031157349930145760963169957153/392013840062035285622451006509450437162312414672499405811447118066780233945187826824169807695226362701385029709649 0
25 -9245801204528095175235531679462250065440526939251159616679671330763767060334488956790534457805356214657724571779/784027680124070571244902013018900874324624829344998811622894236133560467890375653648339615390452725402770059419298 0
26 -4471674967224214564917758720692174033020829846357902043182115916397163453322886439253806458823085064411799515884/392013840062035285622451006509450437162312414672499405811447118066780233945187826824169807695226362701385029709649 0
27 -3295962589180567817966745650737505191183810915210657209909817813404903440613034526343905430143517435859447777329/392013840062035285622451006509450437162312414672499405811447118066780233945187826824169807695226362701385029709649 0
28 -19124600484382663497634704635032682277944570463936737039398981893924340156527749837105711332821505573594685433749/392013840062035285622451006509450437162312414672499405811447118066780233945187826824169807695226362701385029709649 0
29 48009388795157216283452985921502498470767225899361106791885240582470502152103762859956895646863420528661255416803/784027680124070571244902013018900874324624829344998811622894236133560467890375653648339615390452725402770059419298 0
30 -5341261462405796835081926380697586916944774883226501408269330258921093847489758296713813582354289703152552088997/784027680124070571244902013018900874324624829344998811622894236133560467890375653648339615390452725402770059419298 0
31 21197785523601332529100439688968316971104796980764430502739208242496382186685683284283871517681762791688162736357/392013840062035285622451006509450437162312414672499405811447118066780233945187826824169807695226362701385029709649 0
32 55345757443972642597360694299617266703142499411049397021133552557916967414550479095633563592444165810822492720481/784027680124070571244902013018900874324624829344998811622894236133560467890375653648339615390452725402770059419298 0
33 39163222103320705471299573812345129466267675720366165532824082274489357270392201565515145711477800001198937365067/784027680124070571244902013018900874324624829344998811622894236133560467890375653648339615390452725402770059419298 0
