coordinate qsharp_0 qsharp_1 lift_0 lift_1
0 -599640416223664797987916170043200024339502073573795111 62478790282726771264314082236443114317635997991178644780825733740844522299316792024277430595611473523792523897537545692079608780634382730148825302739054764804183742647/784027680124070571244902013018900874324624829344998811622894236133560467890375653648339615390452725402770059419298 0 0
1 -1876976132536135405839885476377225060573776277017355471 195569202771460332811555043269920357339696978784797302614143895452148139771940662868070480147017753614295554460171501365293189914281401989136652796493618093205842433437/784027680124070571244902013018900874324624829344998811622894236133560467890375653648339615390452725402770059419298 -22220357942267023232950749628380136718119657115464628338828400988731648330595884943452041152 2952985877939003380064210824060328154762759768759209154688571352699863541450769595130014701
2 -1196483599628003304423748998320703783795987312097564794 62333063178647232479312090433930530715987511728445837796882546973258867331401932004757941148496605355135448818357119276037568738653855928140537037775796739586266810113/392013840062035285622451006509450437162312414672499405811447118066780233945187826824169807695226362701385029709649 0 0
3 -1073478777227839597151154152246058298904517628469834126 55924895638087960435030167523089838281639853241879872175857060726891908551556487557612874535068801607225138773792802707713057513791565161751638991533303743049845874053/392013840062035285622451006509450437162312414672499405811447118066780233945187826824169807695226362701385029709649 -37649785858361414429308889560081695373284430476899685061809371534485492051230867640652676244 5003487623198289156975488904656167227833973923698320676562087240642756706855150756184180806
4 1477631927285811153194661292595287347699354110147814780 -153960028047069012718663349404393589573909067533022330101036488298752750960766311575690315238627920103083951249773537100147317860128387101513273795512738037883517102007/784027680124070571244902013018900874324624829344998811622894236133560467890375653648339615390452725402770059419298 37649785858361414429308889560081695373284430476899685061809371534485492051230867640652676244 -5003487623198289156975488904656167227833973923698320676562087240642756706855150756184180806
5 1642815726165363843199477518777163884433091689255010016 -171171149327543489560452674710242268940869383886734250048389467914744667230898327854807103143097761080857057902032762264221364532840344650808426503168995872922539469177/784027680124070571244902013018900874324624829344998811622894236133560467890375653648339615390452725402770059419298 4094346059842876896865256595375514147782543578522329444498564147001535424896896623663976876 -544120221894035066128445934107231502042953662793502076900377717448274942261669360389246262
6 1507462249308080680218034208635593438364285714884114049 -157068161493831886844102494802169882476607285099358967371295318300904816558961612361799909484195297108912706667495031400247168582673107253611826400434611195865866716369/784027680124070571244902013018900874324624829344998811622894236133560467890375653648339615390452725402770059419298 -16257087986502791285934063390038899770725065108000000185408708234846852113514536504525511240 2160494055284182323112844137585002899174051419986868217935353353551098898568631977797962601
7 -2331300265407284003784521300133302231767949508164988910 121453471470239612990335563031714724988784869969768965369919966559885729263245188693017279818674350483995427693746935077215386895365871163674497477803641998149048407396/392013840062035285622451006509450437162312414672499405811447118066780233945187826824169807695226362701385029709649 28293967317236248474609732166258751441466737105243839965473403898404053829268877707008224316 -3760141314363634578132099741746860882720316564689003127595280395954310293668092276695483588
8 -1316376504400238333838623874751121373511211985656260720 68579109518239994945537613145414518691395868656046462582942605131360809558399406235284648408615682803404915139285174149617989358515440559781200184257058230287150948720/392013840062035285622451006509450437162312414672499405811447118066780233945187826824169807695226362701385029709649 23357687613191589224712560914641880233224636510694110840289077753936388854136293308525253661 -3104131888526563059748776398863899601532344073427271064676293057015482618717678497788260821
9 -2085236358860913011510598701251832831629996119568196908 217268619042837206841656729083429557188927563064865514468901177593096753974838905707894921843674635508018734225203464801750248783183426495404092331576958876243941053607/784027680124070571244902013018900874324624829344998811622894236133560467890375653648339615390452725402770059419298 0 0
