prime	projective_degree	source_degree_three_C2_coordinates	target_second_degree_two_C2_coordinates	rank_over_F2	kernel_dimension	cokernel_dimension	zero_rows	weight_two_rows	zero_columns	weight_one_columns
3	13	3	5	2	1	3	1	2	1	4
5	31	5	7	3	2	4	2	3	1	6
7	57	5	9	4	1	5	1	4	1	8
11	133	7	13	6	1	7	1	6	1	12
13	183	9	15	7	2	8	2	7	1	14
17	307	11	19	9	2	10	2	9	1	18
19	381	11	21	10	1	11	1	10	1	20
23	553	13	25	12	1	13	1	12	1	24
29	871	17	31	15	2	16	2	15	1	30
31	993	17	33	16	1	17	1	16	1	32
53	2863	29	55	27	2	28	2	27	1	54
61	3783	33	63	31	2	32	2	31	1	62
