coordinate basis_0 basis_1
0 -599640416223664797987916170043200024339502073573795111 18609936473229466525722021787504499393947934789729918021
1 -1876976132536135405839885476377225060573776277017355471 10003070464756996109972086735961450528017872240962877051
2 -1196483599628003304423748998320703783795987312097564794 -10619458240884511418745550317416988282090492067006250378
3 -1073478777227839597151154152246058298904517628469834126 -21309240824125192005124118357583763001731529944108466010
4 1477631927285811153194661292595287347699354110147814780 -37900466639546267280059398155715826958397469533055172527
5 1642815726165363843199477518777163884433091689255010016 -17951777034802516530510437612373188009409086128215019321
6 1507462249308080680218034208635593438364285714884114049 13906204291302178808871824156210711810393252088448051565
7 -2331300265407284003784521300133302231767949508164988910 22852368668919038143888164562377041321541390929785533732
8 -1316376504400238333838623874751121373511211985656260720 45511237032419007285974650913266661205409618843585193920
9 -2085236358860913011510598701251832831629996119568196908 -16358040525243093130791590428997473227645930373855006721
10 -5474632690385547012661632256560431621273902870149539335 -12836901166579043989272786166947306470531074053221582966
11 -912275161461616479211480078662310297487262548283993960 22403912086421402101014764423821142906947299965927364383
12 772754755866904456046738417843865006904300920751301991 -5478470611282411846241342801685652965454247780588188461
13 -2764363424443180824288848876651141751289286592922532986 7554619154372308878276722364313760011073249998645256363
14 2580320489429261570333707782733221101603581111751126274 1187060645555655105168536950258900674696060853565579915
15 -458163240689048433204794606316431988984388386070867533 1632751237382246975083226055639127377916337681479249897
16 -6800747327913781736278286364359646739018920599560194430 84077728387486486870046367018529901533122546649796888986
17 -1088406586338033670908028784759156811673197479088438071 -31810332545119098794785130565997702933988240866581376679
18 -2781648992347175502367002187868355985399680483935083033 -144017496925822441982417516843112538495727687286968378754
19 5395104476086503662976153273478098171173867112726165084 -74139601236008528441479580288986163518080067437907053945
20 -5037950516249681866689139138837731461342217155093850438 -50887005550691935463925435777240957361025045288227515253
21 598606911371067252512100753560734158528146793598204962 45328568266050031517798755490006204020826835937187691526
22 7750835366388676433016629887820891936264468473680498723 74203041636738064376959921247563193438017361803635459494
23 -7883388531262993310436275476461061333221590673647759589 87037987155205117035756347248209606632778570006444749905
24 4986486508589373205601155193506962179294662243033074262 25922675752781026117658485144299617626858066887469246638
25 -1419274487257321677604307584976750686213452953005147430 26749114648005950021000871651481752721132864115240712063
26 -1047914939043826104271941973596452279310361031185840083 24947389335412314612731962981581432369175111276181240762
27 2389486681545848434338415355858757524583613705470749875 9370480645833086918661329718529652424244116480436309456
28 -628482608069999103601826443227294065426434027459863693 95706304807556380311336705414739797851486058899760411992
