CLIMB k 2 iters 4000 rng 1: final ell 1 kernel merges 16; best ell-|P| -1
CLIMB k 2 iters 4000 rng 2: final ell 1 kernel merges 16; best ell-|P| -1
CLIMB k 2 iters 4000 rng 3: final ell 1 kernel merges 16; best ell-|P| -1
CLIMB k 3 iters 4000 rng 1: final ell 2 kernel merges 36; best ell-|P| -1
CLIMB k 3 iters 4000 rng 2: final ell 2 kernel merges 36; best ell-|P| -1
CLIMB k 3 iters 4000 rng 3: final ell 2 kernel merges 36; best ell-|P| -1
CLIMB k 4 iters 4000 rng 1: final ell 3 kernel merges 52; best ell-|P| -1
CLIMB k 4 iters 4000 rng 2: final ell 3 kernel merges 52; best ell-|P| -1
CLIMB k 4 iters 4000 rng 3: final ell 3 kernel merges 52; best ell-|P| -1
CLIMB k 5 iters 4000 rng 1: final ell 3 kernel merges 52; best ell-|P| -2
CLIMB k 5 iters 4000 rng 2: final ell 3 kernel merges 52; best ell-|P| -2
CLIMB k 5 iters 4000 rng 3: final ell 4 kernel merges 72; best ell-|P| -1
CLIMB k 6 iters 4000 rng 1: final ell 4 kernel merges 72; best ell-|P| -2
CLIMB k 6 iters 4000 rng 2: final ell 5 kernel merges 88; best ell-|P| -1
CLIMB k 6 iters 4000 rng 3: final ell 4 kernel merges 72; best ell-|P| -2
CLIMB k 7 iters 4000 rng 1: final ell 6 kernel merges 108; best ell-|P| -1
CLIMB k 7 iters 4000 rng 2: final ell 5 kernel merges 88; best ell-|P| -2
CLIMB k 7 iters 4000 rng 3: final ell 4 kernel merges 72; best ell-|P| -3
CLIMB k 8 iters 4000 rng 1: final ell 6 kernel merges 108; best ell-|P| -2
CLIMB k 8 iters 4000 rng 2: final ell 6 kernel merges 108; best ell-|P| -2
CLIMB k 8 iters 4000 rng 3: final ell 6 kernel merges 108; best ell-|P| -2
CLIMB k 10 iters 4000 rng 1: final ell 8 kernel merges 144; best ell-|P| -2
CLIMB k 10 iters 4000 rng 2: final ell 8 kernel merges 144; best ell-|P| -2
CLIMB k 10 iters 4000 rng 3: final ell 8 kernel merges 144; best ell-|P| -2
