n  log10(E(n)-1)  log10(T(n)-1)
1 -inf -inf
2 -inf -inf
3 -inf -inf
4 -inf -inf
5 -inf -inf
6 -inf -inf
7 -inf -inf
8 2.535 6.296
9 2.836 7.250
10 3.012 7.949
11 3.137 8.513
12 3.234 8.990
13 3.313 9.405
14 3.380 9.773
15 7.071 17.196
16 7.979 19.007
17 8.554 20.335
18 8.979 21.414
19 9.317 22.332
20 9.599 23.136
21 9.840 23.855
22 10.052 24.506
23 11.977 30.767
24 12.767 32.466
25 13.313 33.809
26 13.736 34.948
27 14.083 35.949
28 14.650 39.044
29 15.090 41.088
30 16.683 44.038
31 17.972 46.347
32 18.907 48.186
33 19.633 49.732
34 20.227 51.079
35 20.743 53.059
36 21.230 55.652
37 21.783 57.939
38 22.799 60.378
39 23.795 62.408
40 24.592 64.116
41 25.243 65.604
42 25.793 66.933
43 26.374 70.556
44 26.935 72.765
45 27.894 75.196
46 29.150 77.574
47 30.267 79.671
48 31.199 81.507
49 31.986 83.139
50 32.668 85.562
51 33.286 88.326
52 33.900 90.760
53 34.681 93.102
54 35.656 95.270
55 36.591 97.204
56 37.411 99.088
57 38.129 101.543
58 38.785 104.363
59 39.422 106.767
60 40.179 109.104
