propagation: surviving windows ['bbb', 'bbc', 'bcb', 'bcc', 'cbb', 'ccb', 'ccc', 'BBB', 'BBC', 'BCB', 'BCC', 'CBB', 'CCB', 'CCC']
phi0 {'a': 'abb', 'b': 'bcaa', 'c': 'babb'} m 2 r 2 mask bcBC windows alive 14 slots 46656
phase 1 it 1 obj 15.000000 cols 3000 pairs 2503 min rc -4 LB -47 best -16 {2: -2.0, 3: inf, 4: -4.0} added 3000 t 1.5 tm 0.0  dartLB -16
phase 1 it 2 obj 3.000004 cols 4806 pairs 3186 min rc -6.616 LB -59.85 best -16 {2: -3.9225, 3: inf, 4: -6.616} added 1806 t 3.6 tm 0.8  dartLB -24.01
phase 1 it 3 obj 1.912116 cols 6165 pairs 3329 min rc -6.528 LB -56.56 best -16 {2: -2.498, 3: inf, 4: -6.5284} added 1359 t 6.4 tm 2.3  dartLB -18.51
phase 1 it 4 obj 1.475656 cols 7465 pairs 3449 min rc -7.252 LB -61.89 best -16 {2: -0.8363, 3: inf, 4: -7.252} added 1300 t 9.9 tm 4.5  dartLB -18.9
phase 1 it 5 obj 1.228635 cols 8718 pairs 3555 min rc -6.389 LB -53.81 best -16 {2: -0.5932, 3: inf, 4: -6.3893} added 1253 t 14.2 tm 7.3  dartLB -17.37
phase 1 it 6 obj 1.088201 cols 9900 pairs 3646 min rc -6.575 LB -55.09 best -16 {2: -0.1995, 3: inf, 4: -6.5752} added 1182 t 19.4 tm 11.1  dartLB -17.76
phase 1 it 7 obj 0.961483 cols 11110 pairs 3729 min rc -6.759 LB -56.36 best -16 {2: -0.0121, 3: inf, 4: -6.7586} added 1210 t 25.4 tm 15.4  dartLB -16.44
phase 1 it 8 obj 0.831377 cols 12115 pairs 3810 min rc -5.887 LB -48.71 best -15.69 {2: -0.1836, 3: inf, 4: -5.8871} added 1005 t 32.3 tm 20.8  dartLB -15.69
phase 1 it 9 obj 0.730563 cols 13187 pairs 3888 min rc -4.916 LB -40.4 best -12.69 {2: -0.0, 3: inf, 4: -4.9164} added 1072 t 39.7 tm 26.6  dartLB -12.69
phase 1 it 10 obj 0.672506 cols 14226 pairs 3959 min rc -5.963 LB -49.03 best -12.69 {2: -0.0147, 3: inf, 4: -5.9626} added 1039 t 48.2 tm 33.3  dartLB -13.64
phase 1 it 11 obj 0.583945 cols 15186 pairs 4050 min rc -4.913 LB -40.15 best -10.89 {2: -0.1675, 3: inf, 4: -4.9125} added 960 t 57.3 tm 41.0  dartLB -10.89
phase 1 it 12 obj 0.560112 cols 16070 pairs 4125 min rc -5.104 LB -41.7 best -10.89 {2: 0.0, 3: inf, 4: -5.1035} added 884 t 66.9 tm 49.2  dartLB -11.08
phase 1 it 13 obj 0.526225 cols 17014 pairs 4190 min rc -5.628 LB -45.98 best -9.796 {2: 0.0, 3: inf, 4: -5.6282} added 944 t 76.9 tm 57.7  dartLB -9.796
phase 1 it 14 obj 0.439476 cols 17861 pairs 4214 min rc -4.231 LB -34.34 best -7.137 {2: 0.0, 3: inf, 4: -4.2313} added 847 t 87.6 tm 67.1  dartLB -7.137
phase 1 it 15 obj 0.326194 cols 18565 pairs 4232 min rc -2.615 LB -21.02 best -4.577 {2: 0.0, 3: inf, 4: -2.6148} added 704 t 98.1 tm 76.5  dartLB -4.577
phase 1 it 16 obj 0.232243 cols 19078 pairs 4236 min rc -2.215 LB -17.74 best -3.852 {2: 0.0, 3: inf, 4: -2.2146} added 513 t 109.8 tm 86.8  dartLB -3.852
