# GENERATED by scripts/display_census.py -- do not edit.
# Edit metadata/MF_RECOGNITION_DISPLAY_MAP.tsv and regenerate.
key	kind	line	section	env	anchor	label	status	decls	body
9b9adba2d4a8	block	115	Introduction	figure	thm:recognition	fig:levels	unassigned		[htb] \centering \begin{tikzpicture}[font=\small, cls/.style={draw, rounded corners=2pt, inner sep=4pt}, probs/.style={font=\small, align=center, inner sep=1pt}] \node[cls] (d1) at (0,0) {$\Delta^0_1$}; \node[cls] (s1) at (-2.0,1.5) {$\Sigma^0_1$}; \node[cls] (p1) at (2.0,1.5) {$\Pi^0_1$}; \node[cls] (s2) at (-2.0,3.2) {$\Sigma^0_2$}; \node[cls] (p2) at (2.0,3.2) {$\Pi^0_2$}; \draw[thin] (d1)--(s1); \draw[thin] (d1)--(p1); \draw[thin] (s1)--(s2); \draw[thin] (p1)--(p2); \draw[thin] (s1)--(p2); \draw[thin] (p1)--(s2); \node[probs, above=2mm of s2] {$\mathrm{FIN}$\\ $\boldsymbol{\mathrm{NONMF}_{\mathrm{fp}}}$}; \node[probs, above=2mm of p2] {$\mathrm{INF}$; $\mathrm{TOT}$\\ torsion-freeness\\ $\boldsymbol{\mathrm{MF}_{\mathrm{fp}}}$}; \node[probs, anchor=east] at (-3.0,1.5) {halting\\ problem}; \end{tikzpicture} \caption{The arithmetical hierarchy. Lines indicate inclusions, and each listed problem is complete at its level. The two sets of Theorem~\ref{thm:recognition} appear in bold: $\mathrm{MF}_{\mathrm{fp}}\in\Pi^0_2$ by the finite certificates of Section~\ref{sec:local}, and the family $\widehat R_e$ of Section~\ref{sec:compiler} reduces $\mathrm{INF}$ to $\mathrm{MF}_{\mathrm{fp}}$ and $\mathrm{FIN}$ to $\mathrm{NONMF}_{\mathrm{fp}}$.} \label{fig:levels}
1694f1608ead	block	198	MF groups	\[	sec:prelim		unassigned		\opnorm{V_n(gh)-V_n(g)V_n(h)}\longrightarrow0 \qquad(g,h\in G),
adc6e7597473	block	203	MF groups	\[	sec:prelim		unassigned		\limsup_n\opnorm{V_n(g)-1}>0 \qquad(g\in G\setminus\{1\}).
fbad204b6f9b	block	215	MF groups	\[	sec:prelim		unassigned		\mathcal Q_{\mathbf d} =\prod_nM_{d_n}(\C)\big/\bigoplus_nM_{d_n}(\C),
f0227b187f0f	block	246	Locality and finite certificates	gather*	lem:local-models		unassigned		\opnorm{V(gh)-V(g)V(h)}\le\varepsilon\quad\text{whenever }g,h,gh\in F,\\ \opnorm{V(g)-1}\ge1\quad\text{for }g\in F\setminus\{1\}.
982d444ec65c	block	294	Locality and finite certificates	\[	prop:mf-upper-bound		unassigned		\opnorm{r_i(U)-1}<\frac1{k+1}\quad(1\le i\le m), \qquad \opnorm{w(U)-1}>\frac13\quad(w\in W).
f66d6dfbf113	block	301	Locality and finite certificates	equation	prop:mf-upper-bound	eq:open-challenges	unassigned		\label{eq:open-challenges} G_P\text{ is MF} \quad\Longleftrightarrow\quad \text{every finite challenge $(W,k)$ is answered}.
df7e0d9424a5	block	336	Locality and finite certificates	\[	prop:mf-upper-bound		unassigned		P\in\mathrm{MF}_{\mathrm{fp}} \quad\Longleftrightarrow\quad \forall n\,\exists c\ C(P,n,c).
1f2de74ad291	block	395	HNN extensions with a corona conjugator	equation	lem:rf-regular	eq:hnn	unassigned		\label{eq:hnn} R=\langle G,t\mid tst^{-1}=\theta(s)\ (s\in S)\rangle
ff39b086ebed	block	406	HNN extensions with a corona conjugator	\[	thm:hnn-permanence		unassigned		W\,\iota\rho(s)\,W^*=\iota\rho(\theta(s)) \qquad(s\in S).
3f9fee2c5dfc	block	435	HNN extensions with a corona conjugator	\[	thm:hnn-permanence		unassigned		\iota_A(c_0,c_1)=\begin{pmatrix}c_0&0\\0&c_1\end{pmatrix}\in A_1, \qquad \iota_B(c_0,c_1)=\begin{pmatrix}c_0&0\\0&\Theta^{-1}(c_1)\end{pmatrix}\in A_2,
472f9290b067	block	462	HNN extensions with a corona conjugator	\[	thm:hnn-permanence		unassigned		\varphi_B(\iota_B(c_0,c_1)) =\begin{pmatrix}c_0&0\\0&W\Theta^{-1}(c_1)W^*\end{pmatrix} =\begin{pmatrix}c_0&0\\0&c_1\end{pmatrix} =\varphi_A(\iota_A(c_0,c_1)),
cf8a57e414c3	block	553	HNN extensions with a corona conjugator	\[	lem:tensor-sync		unassigned		\ker(\lambda_n|_S)\le\ker(\beta_n\circ\tau).
312e96d5e79f	block	560	HNN extensions with a corona conjugator	\[	lem:tensor-sync		unassigned		\bigl\langle\Gamma\times Q,\ u\ \bigm|\ u(s,1)u^{-1}=(s,\tau(s))\ (s\in S)\bigr\rangle
43ce5234122f	block	572	HNN extensions with a corona conjugator	\[	lem:tensor-sync		unassigned		V(g,q)=\bigl[\bigl(\rho_1(g)\otimes L_n(\lambda_n(g),\beta_n(q))\bigr)_n\bigr], \qquad T\bigl([(x_n)_n]\bigr)=\lim_\omega(\tau_1\otimes\operatorname{tr}_{k_n})(x_n),
8e88662874a0	block	608	The reduction	\[	sec:compiler		unassigned		\mathrm{INF}=\{e:W_e\text{ is infinite}\}, \qquad \mathrm{FIN}=\{e:W_e\text{ is finite}\}.
5b1fb7a27254	block	621	The reduction	table	sec:compiler	tab:objects	unassigned		[htb] \centering\small \begin{tabular}{@{}l@{\qquad}p{0.66\linewidth}@{}} $E$ & the finitely presented non-MF group of~\cite[Theorem~C]{NonMF} \\ $C_e$ & recursively presented; trivial for $e\in\mathrm{INF}$, isomorphic to $E$ for $e\in\mathrm{FIN}$ \\ $Q_e=F/N_e$ & three-generated recursively presented group containing $C_e$; here $F=F(x,y,t)$ \\ $Q_+=F/N_+$ & the value of $Q_e$ for trivial $C_e$; embeds in $F(x_1,y)\times F(x_2,t)$ \\ $\Lambda_e$; $M_e$ & finitely presented Higman host of $Q_e$; the Mihailova subgroup detecting equality in $\Lambda_e$ \\ $K_e$; $L_e$ & a product of six free groups; its finitely generated subgroup with $i(F)\cap L_e=i(N_e)$ \\ $\Gamma_e$; $S_e$ & the central HNN extension $\langle K_e,v\mid[v,\ell]=1\ (\ell\in L_e)\rangle$; $S_e=\langle i(F),v\,i(F)\,v^{-1}\rangle\cong F*_{N_e}F$ \\ $\alpha_e\colon S_e\to Q_e$ & $q_e$ on $i(F)$, trivial on $v\,i(F)\,v^{-1}$ \\ $\widehat R_e$ & the finite presentation of $\langle\Gamma_e\times Q_e,\ u\mid u(s,1)u^{-1}=(s,\alpha_e(s))\ (s\in S_e)\rangle$ \end{tabular} \caption{The objects of the construction, in order of appearance.} \label{tab:objects}
664ef706da66	block	701	A three-generator embedding	equation		eq:bridge	unassigned		\label{eq:bridge} B(C)=\bigl\langle C*F(x,y),\ t\ \bigm|\ ty_it^{-1}=c_iy_i\ (i\in\mathbb Z)\bigr\rangle.
4707d3b59b70	block	767	Detecting \texorpdfstring{$N_e$	\[	lem:mikhailova		unassigned		K^0_e=F\times F(X_e)\times F(X_e), \qquad i_e(f)=(f,w_f,1), \qquad L^0_e=F\times M_e,
729bfa07e707	block	797	The two HNN extensions	\[			unassigned		K^{\mathrm g}=F\times P, \qquad L^{\mathrm g}=\{(f,\,jq_+(f)):f\in F\},
38294e61b230	block	802	The two HNN extensions	\[			unassigned		K_e=K^0_e\times K^{\mathrm g}, \qquad L_e=L^0_e\times L^{\mathrm g}, \qquad i\colon F\to K_e,\quad i(f)=\bigl(i_e(f),(f,1)\bigr).
c17f3478c8d3	block	810	The two HNN extensions	equation		eq:central-rope	unassigned		\label{eq:central-rope} \Gamma_e=\bigl\langle K_e,\ v\ \bigm|\ [v,\ell]=1\ (\ell\in L_e)\bigr\rangle, \qquad S_e=\bigl\langle i(F),\ v\,i(F)\,v^{-1}\bigr\rangle\le\Gamma_e.
f5579722ca79	block	864	The two HNN extensions	equation	lem:central-rope	eq:twisted-rope	unassigned		\label{eq:twisted-rope} R_e=\bigl\langle\Gamma_e\times Q_e,\ u\ \bigm|\ u(s,1)u^{-1}=(s,\alpha_e(s))\ (s\in S_e)\bigr\rangle,
