562e5e07a357	structural		ms-intro-3 @e80dcf20a: "Can an infinite simple group with property (T) be hyperlinear?" The question; its answer is ca70bdd27b0c.
5c1db38e8d0c	attribution		ms-intro-3 @e80dcf20a: Brown 2001, embeddings into unitary groups of R^omega-embeddable McDuff factors [S11, Question 7]; quoted verbatim in Palomar/Pestov91Challenge.lean.
b1eef5e651ae	attribution		ms-intro-3 @e80dcf20a: Ozawa 2003 hyperlinear form [p. 527] and Pestov Open question 9.1 sofic form; quoted verbatim in Palomar/Pestov91Challenge.lean.
c85748f7d742	definition	GroupApproximation.SimpleKazhdanSofic.subshiftHomeo GroupApproximation.SimpleKazhdanSofic.IsMinimal GroupApproximation.SimpleKazhdanSofic.R	ms-intro-3 @e80dcf20a: thm:main setting: X a subshift of A^Z over a finite discrete alphabet (Mathlib SymbolicDynamics.FullShift.Subshift A Z), minimal (IsMinimal: no nonempty proper closed shift-invariant subset), infinite (Infinite S.carrier), shift (T x)_n = x_{n+1} (subshiftHomeo), LC(X,F_2) inside R = ClopenCrossedProduct (subshiftHomeo S) (ZMod 2). Setting LANDED f61392374 (probe 0913-193709-88848 compiled).
0597f441dcca	structural		ms-intro-3 @e80dcf20a: connective "Then" of thm:main.
c1c1f14f5a22	definition	GroupApproximation.SimpleKazhdanSofic.G GroupApproximation.SimpleKazhdanSofic.R	ms-intro-3 @e80dcf20a: display G_X = EL_3(LC(X,F_2) x_T Z): G S := elementaryGroup (Fin 3) (R S); Setting LANDED f61392374.
3331e8dcbf93	open		ms-intro-3 @e80dcf20a: abstract restatement of thm:main (infinite, f.g., simple, (T)); carrier = ct-two-ended PrintedSimpleKazhdanSoficMain (MainAssembly), not landed yet.
07a3f6913f1f	open		ms-intro-3 @e80dcf20a: abstract, marked limits of SL_{3N}(F_2) with expander Cayley graphs; carrier = ct-two-ended PrintedMarkedLimitExpanders clause of thm:main, not landed yet.
98730cf39196	open		ms-intro-3 @e80dcf20a: abstract, LEF, sofic and hyperlinear; carrier = ct-two-ended thm:main endpoint, not landed yet.
93bcebbc8293	open		ms-intro-3 @e80dcf20a: "This answers the question of Brown and Ozawa ... and Pestov's sofic version of it." Owner ms-intro-3: existence statements of Palomar/Pestov91Challenge through G_X, after the thm:main endpoint lands.
0f378151c024	open		ms-intro-3 @e80dcf20a: abstract, every Turing degree; owner skf-degrees (Word problems section).
ca70bdd27b0c	open		ms-intro-3 @e80dcf20a: "The groups below answer all three forms positively." Owner ms-intro-3, same carrier as 93bcebbc8293.
65cb2a78b690	open		ms-intro-3 @e80dcf20a: thm:main, infinite, f.g., simple, (T); carrier = ct-two-ended PrintedSimpleKazhdanSoficMain, not landed yet.
314f2d26a6bd	open		ms-intro-3 @e80dcf20a: thm:main, marked limit of SL_{3N}(F_2) with expander Cayley graphs; carrier = ct-two-ended thm:main endpoint, not landed yet.
8e2fecfd278a	open		ms-intro-3 @e80dcf20a: thm:main, LEF, sofic, hyperlinear; carrier = ct-two-ended thm:main endpoint, not landed yet.
62a22eeef657	open		ms-intro-3 @e80dcf20a: thm:main, the same for EL_n, n>=3, with SL_{nN}(F_2); carrier = ct-two-ended thm:main endpoint (quantified over n >= 3), not landed yet.
a036174dadc8	attribution	GroupApproximation.Pestov91.elementary_hasKazhdanPropertyT	ms-intro-3 @e80dcf20a: "Property (T) follows from the theorem of Ershov and Jaikin-Zapirain." Attribution; the cited theorem is proved in the repository (Pestov91.elementary_hasKazhdanPropertyT via IntegralColumnPlaneClosure), not assumed.
30dcdf15b13a	attribution		ms-intro-3 @e80dcf20a: periodic approximation as in Grigorchuk-Medynets [Theorem 2.6], expanders as in Kassabov; credit for the Finite models route (ms-units / ms-core-3), whose carriers carry the mathematics.
bf137432ddb7	open		ms-intro-3 @e80dcf20a: "Simplicity also follows from Stepanov's theorem ... since the ring is simple and any two of its elements p,q satisfy pr+qs=0 with (r,s)!=0, by a dimension count on one cylinder." Owner ms-intro-3: the cylinder dimension count is a claim to carry; the Stepanov consequence needs Stepanov Theorem 4.4 proved, else partial.
9dae19a3e894	open		ms-intro-3 @e80dcf20a: roadmap of the direct simplicity proof (nontrivial commutator in a copy of GL_d(F_2) over a clopen tower); carriers from the Simplicity section (ct-bilateral-mf, skf-consequences).
870306a8de13	attribution		ms-intro-3 @e80dcf20a: Matui [Lemma 3.4, Theorem 4.9], derived topological full groups; prior work, no step uses it.
858f409740bb	attribution		ms-intro-3 @e80dcf20a: Thom, a finitely generated Kazhdan LEF group that is not residually finite, not simple; prior work, no step uses it.
