(1, -2) (2, 1) const 5 20000
(1, -2) (-2, -1) const 5 20000
(1, 2) (2, -1) const 5 20000
(1, 2) (-2, 1) const 5 20000
(2, -2) (2, 1) const 3 20000
(2, -2) (-2, -1) const 3 20000
(2, -1) (1, 2) const 5 20000
(2, -1) (2, 1) unit 3
(2, -1) (2, 2) const 3 20000
(2, -1) (-1, -2) const 5 20000
(2, -1) (-2, -1) unit 3
(2, -1) (-2, -2) const 3 20000
(2, 1) (1, -2) const 5 20000
(2, 1) (2, -2) const 3 20000
(2, 1) (2, -1) unit 3
(2, 1) (-1, 2) const 5 20000
(2, 1) (-2, 2) const 3 20000
(2, 1) (-2, 1) unit 3
(2, 2) (2, -1) const 3 20000
(2, 2) (-2, 1) const 3 20000
(1, -3) (1, 2) const 5 20000
(1, -3) (2, -1) const 5 20000
(1, -3) (2, 1) const 7 20000
(1, -3) (2, 2) const 8 20000
(1, -3) (3, -2) const 7 20000
(1, -3) (3, -1) const 8 20000
(1, -3) (3, 1) const 10 20000
(1, -3) (3, 2) const 11 20000
(1, -3) (-1, -2) const 5 20000
(1, -3) (-2, 1) const 5 20000
(1, -3) (-2, -1) const 7 20000
(1, -3) (-2, -2) const 8 20000
(1, -3) (-3, 2) const 7 20000
(1, -3) (-3, 1) const 8 20000
(1, -3) (-3, -1) const 10 20000
(1, -3) (-3, -2) const 11 20000
(1, -2) (1, 3) const 5 20000
(1, -2) (2, 1) const 5 20000
(1, -2) (2, 3) const 7 20000
(1, -2) (3, -1) const 5 20000
(1, -2) (3, 1) const 7 20000
(1, -2) (3, 3) const 9 20000
(1, -2) (-1, -3) const 5 20000
(1, -2) (-2, -1) const 5 20000
(1, -2) (-2, -3) const 7 20000
(1, -2) (-3, 1) const 5 20000
(1, -2) (-3, -1) const 7 20000
(1, -2) (-3, -3) const 9 20000
(1, 2) (1, -3) const 5 20000
(1, 2) (2, -3) const 7 20000
(1, 2) (2, -1) const 5 20000
(1, 2) (3, -3) const 9 20000
(1, 2) (3, -1) const 7 20000
(1, 2) (3, 1) const 5 20000
(1, 2) (-1, 3) const 5 20000
(1, 2) (-2, 3) const 7 20000
(1, 2) (-2, 1) const 5 20000
(1, 2) (-3, 3) const 9 20000
(1, 2) (-3, 1) const 7 20000
(1, 2) (-3, -1) const 5 20000
(1, 3) (1, -2) const 5 20000
(1, 3) (2, -2) const 8 20000
(1, 3) (2, -1) const 7 20000
(1, 3) (2, 1) const 5 20000
(1, 3) (3, -2) const 11 20000
(1, 3) (3, -1) const 10 20000
(1, 3) (3, 1) const 8 20000
(1, 3) (3, 2) const 7 20000
(1, 3) (-1, 2) const 5 20000
(1, 3) (-2, 2) const 8 20000
(1, 3) (-2, 1) const 7 20000
(1, 3) (-2, -1) const 5 20000
(1, 3) (-3, 2) const 11 20000
(1, 3) (-3, 1) const 10 20000
(1, 3) (-3, -1) const 8 20000
(1, 3) (-3, -2) const 7 20000
(2, -3) (1, 2) const 7 20000
(2, -3) (2, -1) unit 3
(2, -3) (2, 1) unit 4
(2, -3) (2, 2) const 5 20000
(2, -3) (2, 3) unit 5
(2, -3) (3, -1) const 7 20000
(2, -3) (3, 1) const 11 20000
(2, -3) (3, 2) const 13 20000
(2, -3) (3, 3) const 5 20000
(2, -3) (-1, -2) const 7 20000
(2, -3) (-2, 1) unit 3
(2, -3) (-2, -1) unit 4
(2, -3) (-2, -2) const 5 20000
(2, -3) (-2, -3) unit 5
(2, -3) (-3, 1) const 7 20000
(2, -3) (-3, -1) const 11 20000
(2, -3) (-3, -2) const 13 20000
