ok n=8 nv=221 E={(-1, -1),(-1, 0),(0, -1),(0, 0)} F={(0, 0),(0, 1)} LP=1.000000 status=0
ok n=8 nv=221 E={(-2, -1),(-1, -1),(-1, 0),(0, 0)} F={(0, 0),(1, 0)} LP=1.000000 status=0
ok n=9 nv=469 E={(-1, -1),(-1, 0),(-1, 1),(0, 0)} F={(0, 0),(1, 0)} LP=1.000000 status=0
ok n=8 nv=221 E={(-2, -1),(-1, -1),(-1, 0),(0, 0)} F={(0, 0),(1, 1)} LP=1.000000 status=0
ok n=9 nv=469 E={(-2, 0),(-1, -1),(-1, 0),(0, 0)} F={(0, 0),(1, 1)} LP=1.000000 status=0
ok n=9 nv=465 E={(-1, -1),(-1, 0),(0, 0),(0, 1)} F={(0, 0),(1, 0)} LP=1.000000 status=0
ok n=9 nv=465 E={(-1, -1),(-1, 0),(0, -1),(0, 0)} F={(0, 0),(1, 1)} LP=1.000000 status=0
ok n=9 nv=473 E={(-2, -1),(-2, 0),(-1, -1),(0, 0)} F={(0, 0),(1, 1)} LP=1.000000 status=0
ok n=8 nv=223 E={(-2, 0),(-1, 0),(0, -1),(0, 0)} F={(0, 0),(1, 0)} LP=1.000000 status=0
ok n=8 nv=223 E={(-2, -1),(-2, 0),(-1, 0),(0, 0)} F={(0, 0),(1, 0)} LP=1.000000 status=0
ok n=9 nv=477 E={(-2, 0),(-1, -1),(0, -1),(0, 0)} F={(0, 0),(1, 1)} LP=1.000000 status=0
ok n=8 nv=223 E={(-2, -2),(-2, -1),(-1, -1),(0, 0)} F={(0, 0),(1, 1)} LP=1.000000 status=0
ok n=9 nv=445 E={(-2, -1),(-1, 0),(0, -1),(0, 0)} F={(0, 0),(1, 0)} LP=1.000000 status=0
ok n=8 nv=223 E={(-2, -2),(-1, -1),(-1, 0),(0, 0)} F={(0, 0),(1, 1)} LP=1.000000 status=0
ok n=9 nv=469 E={(-2, -1),(-1, 0),(0, 0),(0, 1)} F={(0, 0),(1, 0)} LP=1.000000 status=0
ok n=8 nv=223 E={(-2, -2),(-2, 0),(-1, -1),(0, 0)} F={(0, 0),(1, 1)} LP=1.000000 status=0
ok n=9 nv=469 E={(-2, -1),(-1, -1),(0, -1),(0, 0)} F={(0, 0),(1, 1)} LP=1.000000 status=0
ok n=9 nv=477 E={(-2, -1),(-1, -1),(0, -2),(0, 0)} F={(0, 0),(1, 1)} LP=1.000000 status=0
ok n=9 nv=469 E={(-2, 0),(-1, -1),(0, -2),(0, 0)} F={(0, 0),(1, 1)} LP=1.000000 status=0
ok n=9 nv=473 E={(-2, -1),(-1, 0),(-1, 1),(0, 0)} F={(0, 0),(1, 0)} LP=1.000000 status=0
ok n=8 nv=223 E={(-2, 0),(-1, -1),(-1, 0),(0, 0)} F={(0, 0),(1, 0)} LP=1.000000 status=0
ok n=9 nv=476 E={(-2, -1),(-2, 1),(-1, 0),(0, 0)} F={(0, 0),(1, 0)} LP=1.000000 status=0
ok n=9 nv=473 E={(-2, -1),(-1, -2),(-1, -1),(0, 0)} F={(0, 0),(1, 1)} LP=1.000000 status=0
